event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MNG243,2021-01-11,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Khovd,Jargalant,Jargalant,47.9831,91.6406,1,National,0
MNG269,2021-03-25,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Omnogovi,Dalanzadgad,Dalanzadgad,43.5717,104.426,1,National,0
MNG284,2021-05-07,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Dornod,Kherlen,Kherlen,48.0818,114.538,1,National,0
MNG291,2021-05-13,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Omnogovi,Dalanzadgad,Dalanzadgad,43.5717,104.426,1,National,0
MNG317,2021-07-05,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Bayankhongor,Bayankhongor,Bayankhongor,46.1909,100.7132,1,National,0
MNG312,2021-07-03,2,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Khovsgol,Moron,Moron,49.6423,100.1736,1,National,0
MNG315,2021-07-07,2,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Zavkhan,Uliastai,Uliastai,47.7434,96.8445,1,National,0
MNG314,2021-07-07,2,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Ovorkhangai,Arvaikheer,Arvaikheer,46.2614,102.7686,1,National,0
MNG313,2021-07-05,2,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Uvs,Ulaangom,Ulaangom,49.9924,92.0639,1,National,0
MNG311,2021-07-03,2,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Arkhangai,Erdenebulgan,Erdenebulgan,47.4703,101.4502,1,National,0
MNG261,2021-03-16,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Omnogovi,Khanbogd,Khanbogd,43.1914,107.2001,1,National,0
MNG330,2021-09-03,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Khovd,Jargalant,Jargalant,47.9831,91.6406,1,National,0
MNG353,2021-10-13,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Omnogovi,Khanbogd,Khanbogd,43.1914,107.2001,1,National,0
MNG363,2021-11-10,1,Protests,Peaceful protest,Protesters (Mongolia),Women (Mongolia),,,Mongolia,Omnogovi,Dalanzadgad,Dalanzadgad,43.5717,104.426,1,National,0
MNG364,2021-11-19,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Selenge,Sukhbaatar,Sukhbaatar,50.2369,106.207,1,National,0
MNG367,2021-12-03,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Khovsgol,Moron,Moron,49.6423,100.1736,1,National,0
MNG377,2021-10-12,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Omnogovi,Khanbogd,Khanbogd,43.1914,107.2001,1,National,0
MNG383,2021-12-10,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Uvs,Ulaangom,Ulaangom,49.9924,92.0639,1,National,0
MNG302,2021-06-17,1,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Orkhon,Bayan-Ondor,Bayan-Ondor,49.0522,104.1168,1,National,0
MNG316,2021-07-09,2,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Orkhon,Bayan-Ondor,Bayan-Ondor,49.0522,104.1168,1,National,0
MNG309,2021-07-06,1,Strategic developments,Arrests,Police Forces of Mongolia (2016-),,Civilians (Mongolia),Police Forces of Mongolia (2016-); Military Forces of Mongolia (2016-); Government of Mongolia (2016-),Mongolia,Dornogovi,Zamyn-Uud,Zamyn-Uud,43.7163,111.9034,1,National,0
MNG244,2021-01-13,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG246,2021-01-20,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National-International,0
MNG247,2021-01-21,1,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG248,2021-01-22,1,Protests,Peaceful protest,Protesters (Mongolia),Health Workers (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG249,2021-01-25,1,Strategic developments,Other,Government of Mongolia (2016-),MPRP: Mongolian People's Revolutionary Party,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,3,National,0
MNG250,2021-01-25,1,Protests,Protest with intervention,Protesters (Mongolia),MPRP: Mongolian People's Revolutionary Party,Police Forces of Mongolia (2016-),,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG251,2021-01-27,1,Strategic developments,Other,Government of Mongolia (2016-),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,3,National-Regional,0
MNG252,2021-01-29,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG253,2021-02-05,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG255,2021-02-10,1,Strategic developments,Change to group/activity,Government of Mongolia (2016-),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,3,National,0
MNG256,2021-02-07,1,Protests,Peaceful protest,Protesters (Mongolia),Women (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG257,2021-02-10,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG258,2021-02-23,1,Protests,Peaceful protest,Protesters (Mongolia),Nekhuul Movement,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG259,2021-03-08,1,Protests,Peaceful protest,Protesters (Mongolia),Women (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG260,2021-03-19,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG262,2021-03-19,1,Protests,Peaceful protest,Protesters (Mongolia),Women (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG263,2021-03-17,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG264,2021-03-15,1,Strategic developments,Change to group/activity,Government of Mongolia (2016-),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG265,2021-03-25,1,Strategic developments,Other,Civilians (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG266,2021-03-22,1,Protests,Peaceful protest,Protesters (Mongolia),Farmers (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG267,2021-03-26,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia); Teachers (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG268,2021-03-25,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG270,2021-03-25,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG271,2021-03-31,1,Protests,Peaceful protest,Protesters (Mongolia),Nekhuul Movement,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG272,2021-04-02,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG273,2021-03-31,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG274,2021-04-02,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG275,2021-03-30,1,Protests,Peaceful protest,Protesters (Mongolia),CMTU: Confederation of Mongolian Trade Unions; Health Workers (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG276,2021-04-02,2,Strategic developments,Arrests,Police Forces of Mongolia (2016-),,Civilians (Mongolia),Government of Mongolia (2016-),Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
