event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SAF16025,2022-01-05,1,Riots,Violent demonstration,Rioters (South Africa),,,,South Africa,Gauteng,City of Johannesburg,Johannesburg - Eikenhof,-26.279,27.9671,1,National,0
SAF16020,2022-01-03,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),Civilians (South Africa),,South Africa,Northern Cape,Frances Baard,Roodepan,-28.6549,24.7093,1,National,2
SAF16026,2022-01-06,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,North West,Ngaka Modiri Molema,Dinokana,-25.4561,25.8777,1,National,0
SAF16024,2022-01-04,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Western Cape,West Coast,Piketberg,-32.9032,18.757,1,National,0
SAF16027,2022-01-07,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Western Cape,West Coast,Piketberg,-32.9032,18.757,1,National,0
SAF16022,2022-01-04,1,Riots,Violent demonstration,Rioters (South Africa),Private Security Forces (South Africa),,,South Africa,KwaZulu-Natal,eThekwini,Durban,-29.8579,31.0292,1,National,0
SAF16021,2022-01-03,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),Civilians (South Africa),,South Africa,Free State,Thabo Mofutsanyane,Tseki,-28.5834,28.7759,2,National,1
SAF16052,2022-01-12,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,North West,Bojanala,Kroondal,-25.7194,27.316,2,National,0
SAF16035,2022-01-08,1,Protests,Peaceful protest,Protesters (South Africa),MKMVA: Umkhonto WeSizwe Military Association,,,South Africa,Limpopo,Capricorn,Polokwane,-23.9045,29.4689,1,National,0
SAF16040,2022-01-10,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Eastern Cape,O.R.Tambo,Mthatha,-31.5889,28.7844,2,Subnational,0
SAF16029,2022-01-05,1,Riots,Mob violence,Rioters (South Africa),Vigilante Group (South Africa),Civilians (South Africa),,South Africa,Eastern Cape,Amathole,Komga,-32.577,27.892,1,Subnational,0
SAF16047,2022-01-11,1,Protests,Peaceful protest,Protesters (South Africa),Health Workers (South Africa),,,South Africa,Gauteng,City of Tshwane,Pretoria,-25.7449,28.1878,1,National,0
SAF16043,2022-01-11,1,Protests,Peaceful protest,Protesters (South Africa),Labor Group (South Africa),,,South Africa,Gauteng,City of Tshwane,Ga-Rankuwa,-25.6169,27.9947,1,National,0
SAF16044,2022-01-11,1,Violence against civilians,Attack,Unidentified Armed Group (South Africa),,Civilians (Pakistan),Labor Group (Pakistan),South Africa,Mpumalanga,Ehlanzeni,Hluvukani,-24.6458,31.3416,1,National,0
SAF16033,2022-01-07,1,Protests,Peaceful protest,Protesters (South Africa),,,,South Africa,Northern Cape,Frances Baard,Kimberley,-28.7333,24.7667,1,National,0
SAF16058,2022-01-14,1,Riots,Violent demonstration,Rioters (South Africa),Labor Group (South Africa),,,South Africa,Northern Cape,Pixley ka Seme,Petrusville,-30.0811,24.6593,2,National,0
