event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
AFG8011,2017-12-31,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Nangarhar,Behsud,Behsud,34.4516,70.4589,2,National-International,15
AFG8000,2017-12-30,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),Prisoners (Afghanistan); Students (Afghanistan); Teachers (Afghanistan),Afghanistan,Nangarhar,Jalalabad,Jalalabad,34.4265,70.4515,3,National,2
AFG7989,2017-12-29,1,Battles,Armed clash,Afghan and/or NATO Forces,,Taliban,,Afghanistan,Laghman,Alingar,Alingar,34.8352,70.3607,2,National,9
AFG7978,2017-12-29,1,Battles,Armed clash,Afghan and/or NATO Forces,,Taliban,,Afghanistan,Helmand,Nahr-i-Saraj,Girishk,31.8209,64.57,2,National,2
AFG7986,2017-12-29,1,Battles,Armed clash,Afghan and/or NATO Forces,,Taliban,,Afghanistan,Ghazni,Qarabagh,Qarabagh,33.198,68.108,2,National,1
AFG7987,2017-12-29,1,Battles,Armed clash,Afghan and/or NATO Forces,,Taliban,,Afghanistan,Helmand,Sangin,Sangin,32.0728,64.8359,2,National,3
AFG7973,2017-12-28,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Ghazni,Qarabagh,Qarabagh,33.198,68.108,2,Subnational,2
AFG7956,2017-12-27,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Logar,Mohammad Agha,Lashkari Khel,34.1577,69.09,1,National,1
AFG7959,2017-12-27,1,Strategic developments,Disrupted weapons use,TTP: Tehreek-i-Taliban Pakistan,,,,Afghanistan,Kunar,Shigal,Shaigal Aw Shiltan,34.9692,71.2717,2,National,1
AFG7919,2017-12-25,1,Violence against civilians,Attack,Taliban,,Civilians (Afghanistan),,Afghanistan,Ghazni,Deh Yak,Arzu,33.4709,68.4845,1,National,5
AFG7913,2017-12-24,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,Civilians (Afghanistan),,Afghanistan,Helmand,Sangin,Sangin,32.0728,64.8359,2,International,7
AFG7862,2017-12-21,1,Strategic developments,Disrupted weapons use,Taliban,,,,Afghanistan,Kunduz,Khan Abad,Ibrahim Khel,36.7875,69.0222,1,National-International,1
AFG7811,2017-12-19,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),,Afghanistan,Kabul,Kabul,Kabul - PD8,34.5068,69.2255,1,National,0
AFG7807,2017-12-18,1,Explosions/Remote violence,Air/drone strike,NATO: North Atlantic Treaty Organization,,Civilians (Afghanistan),,Afghanistan,Herat,Shindand,Shindand,33.3029,62.1474,2,National,16
AFG7804,2017-12-18,1,Violence against civilians,Attack,Unidentified Armed Group (Afghanistan),,Civilians (Afghanistan),Muslim Group (Afghanistan),Afghanistan,Zabul,Qalat,Qalat,32.1058,66.9083,3,International,1
