event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GAM147,2017-01-31,1,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,National,0
GAM153,2017-03-20,1,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,International,0
GAM156,2017-04-03,1,Protests,Peaceful protest,Protesters (Gambia),GBA: Gambia Bar Association,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,National,0
GAM176,2017-07-31,1,Protests,Peaceful protest,Protesters (Gambia),Taxi Drivers (Gambia),,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,National,0
GAM172,2017-07-08,1,Riots,Violent demonstration,Rioters (Gambia),,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,Subnational,0
GAM163,2017-04-10,1,Protests,Protest with intervention,Protesters (Gambia),,Police Forces of Gambia (2017-),,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,Subnational,0
GAM173,2017-07-09,1,Riots,Violent demonstration,Rioters (Gambia),,Police Forces of Gambia (2017-),,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,Subnational,0
GAM179,2017-12-16,1,Protests,Peaceful protest,Protesters (Gambia),Journalists (Gambia),,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,International,0
GAM177,2017-11-07,1,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,International,0
GAM144,2017-01-19,1,Strategic developments,Change to group/activity,ECOWAS: Economic Community Of West African States,,,,Gambia,Kerewan,Illiasa,Farafenni,13.5667,-15.6,1,International,0
GAM148,2017-02-18,1,Riots,Mob violence,Rioters (Gambia),APRC: Alliance for Patriotic Re-orientation and Construction,Rioters (Gambia),,Gambia,Brikama,Foni Bondali,Kanilai,13.1764,-16.0165,2,International,0
GAM151,2017-03-09,1,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Kanifing,Kanifing,Bakote,13.4658,-16.7003,1,National,0
GAM154,2017-03-21,2,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Kanifing,Kanifing,Bakote,13.4658,-16.7003,1,National,0
GAM155,2017-03-30,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Gambia),,Civilians (Gambia),,Gambia,Kerewan,Lower Niumi,Fass Omar Sahor,13.4614,-16.3825,1,National,3
GAM158,2017-04-06,1,Riots,Mob violence,Rioters (Gambia),,Police Forces of Gambia (2017-),,Gambia,Central River,Upper Saloum,Panchang,13.7833,-15.15,1,National,0
