event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
ECU3011,2023-01-06,1,Protests,Peaceful protest,Protesters (Ecuador),Women (Ecuador),,,Ecuador,Pichincha,Ruminahui,Sangolqui,-0.3341,-78.4522,1,National,0
ECU3044,2023-02-13,1,Riots,Mob violence,Rioters (Ecuador),Vigilante Group (Ecuador); Indigenous Group (Ecuador),Civilians (Ecuador),,Ecuador,Chimborazo,Riobamba,Licto,-1.8055,-78.6037,1,Subnational,0
ECU3075,2023-02-21,1,Protests,Peaceful protest,Protesters (Ecuador),Quechua Indigenous Group (Ecuador),,,Ecuador,Orellana,Orellana,El Eden,-0.4953,-76.0769,1,National,0
ECU3079,2023-03-14,1,Protests,Peaceful protest,Protesters (Ecuador),Quechua Indigenous Group (Ecuador),,,Ecuador,Orellana,Orellana,El Eden,-0.4953,-76.0769,1,National,0
ECU3083,2023-03-21,1,Protests,Peaceful protest,Protesters (Ecuador),Indigenous Group (Ecuador),,,Ecuador,Morona Santiago,Huamboya,San Carlos,-1.9645,-77.8801,1,National,0
ECU3088,2023-03-24,1,Protests,Peaceful protest,Protesters (Ecuador),Labor Group (Ecuador),,,Ecuador,Chimborazo,Alausi,Alausi,-2.2051,-78.8453,1,Subnational,0
ECU3096,2023-04-05,1,Protests,Peaceful protest,Protesters (Ecuador),Quechua Indigenous Group (Ecuador),,,Ecuador,Orellana,Orellana,El Eden,-0.4953,-76.0769,1,National,0
ECU3108,2023-04-11,1,Protests,Peaceful protest,Protesters (Ecuador),Waorani Indigenous Group (Ecuador),,,Ecuador,Orellana,Aguarico,Tiputini,-0.7893,-75.5288,2,National,0
ECU3157,2023-05-09,1,Protests,Peaceful protest,Protesters (Ecuador),Women (Ecuador),,,Ecuador,Carchi,Tulcan,Tulcan,0.8119,-77.7173,1,National,0
ECU3173,2023-06-02,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Galapagos,Santa Cruz,Puerto Ayora,-0.7392,-90.3165,1,National,0
ECU3177,2023-06-07,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Galapagos,Isabela,Puerto Villamil,-0.9561,-90.9656,1,National,0
ECU3191,2023-06-21,1,Protests,Peaceful protest,Protesters (Ecuador),Farmers (Ecuador),,,Ecuador,Carchi,Bolivar,Bolivar,0.5024,-77.9041,1,National,0
ECU3203,2023-06-29,1,Riots,Mob violence,Rioters (Ecuador),Vigilante Group (Ecuador),Civilians (Ecuador),,Ecuador,Cotopaxi,La Mana,La Mana,-0.9409,-79.2251,1,National,0
ECU3215,2023-07-12,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Chimborazo,Chunchi,Chunchi,-2.2905,-78.9205,1,Subnational,0
ECU3231,2023-07-25,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Chimborazo,Alausi,Alausi,-2.2051,-78.8453,1,Subnational,0
ECU3243,2023-07-27,1,Protests,Peaceful protest,Protesters (Ecuador),Farmers (Ecuador),,,Ecuador,Pichincha,Mejia,Aloag,-0.4679,-78.5845,1,National,0
ECU3123,2023-04-24,1,Riots,Mob violence,Rioters (Ecuador),Vigilante Group (Ecuador),Civilians (Ecuador),Labor Group (Ecuador),Ecuador,Azuay,El Pan,El Pan,-2.7893,-78.6687,1,Subnational,0
ECU3301,2023-08-08,1,Riots,Mob violence,Rioters (Ecuador),Indigenous Group (Ecuador); Vigilante Group (Ecuador),Civilians (Ecuador),,Ecuador,Chimborazo,Alausi,Llactapamba,-2.1386,-78.8624,1,Subnational,0
ECU3308,2023-08-22,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Manabi,Jipijapa,Jipijapa,-1.3483,-80.5792,1,Subnational,0
ECU3309,2023-08-24,1,Riots,Violent demonstration,Rioters (Ecuador),,,,Ecuador,Manabi,Jipijapa,Jipijapa,-1.3483,-80.5792,1,Subnational,0
ECU3310,2023-08-25,1,Riots,Violent demonstration,Rioters (Ecuador),,,,Ecuador,Manabi,Jipijapa,Jipijapa,-1.3483,-80.5792,1,Subnational,0
ECU3322,2023-09-01,1,Protests,Peaceful protest,Protesters (Ecuador),Quechua Indigenous Group (Ecuador),,,Ecuador,Orellana,Aguarico,Tiputini,-0.7893,-75.5288,2,National,0
ECU3333,2023-09-02,1,Riots,Violent demonstration,Rioters (Ecuador),,,,Ecuador,Manabi,Jipijapa,Jipijapa,-1.3483,-80.5792,1,Subnational,0
ECU3392,2023-10-25,1,Protests,Peaceful protest,Protesters (Ecuador),Labor Group (Ecuador),,,Ecuador,Carchi,Tulcan,Tulcan,0.8119,-77.7173,1,National,0
ECU3393,2023-10-26,1,Protests,Peaceful protest,Protesters (Ecuador),Labor Group (Ecuador),,,Ecuador,Carchi,Tulcan,Tulcan,0.8119,-77.7173,1,National,0
ECU3419,2023-11-15,1,Riots,Violent demonstration,Rioters (Ecuador),Labor Group (Ecuador),,,Ecuador,Pichincha,Mejia,Aloag,-0.4679,-78.5845,1,National,0
ECU3424,2023-11-15,1,Protests,Peaceful protest,Protesters (Ecuador),Labor Group (Ecuador),,,Ecuador,Azuay,Giron,Pichanillas,-3.2605,-79.2098,1,Subnational,0
ECU3089,2023-03-27,1,Riots,Violent demonstration,Rioters (Ecuador),,Police Forces of Ecuador (2021-2023),Military Forces of Ecuador (2021-2023),Ecuador,Chimborazo,Alausi,Alausi,-2.2051,-78.8453,1,National,0
ECU3101,2023-04-05,1,Riots,Violent demonstration,Rioters (Ecuador),Waorani Indigenous Group (Ecuador),Military Forces of Ecuador (2021-2023),,Ecuador,Orellana,Aguarico,Tiputini,-0.7893,-75.5288,1,National,0
ECU3359,2023-09-26,1,Protests,Protest with intervention,Protesters (Ecuador),,Police Forces of Ecuador (2021-2023),,Ecuador,Cotopaxi,La Mana,La Mana,-0.9409,-79.2251,1,National,0
ECU3428,2023-11-16,1,Protests,Peaceful protest,Protesters (Ecuador),Government of Ecuador (2021-2023); Labor Group (Ecuador),,,Ecuador,Manabi,Jipijapa,Jipijapa,-1.3483,-80.5792,1,Subnational,0
ECU3460,2023-07-16,1,Violence against civilians,Attack,Unidentified Armed Group (Ecuador),,Civilians (Ecuador),SUMA: United Society More Action Party; Avanza (Ecuador),Ecuador,Esmeraldas,Quininde,La Union,0.136,-79.4038,1,National,1
ECU3472,2023-12-07,1,Protests,Peaceful protest,Protesters (Ecuador),Labor Group (Ecuador),,,Ecuador,Manabi,Jipijapa,Jipijapa,-1.3483,-80.5792,1,Subnational,0
ECU3343,2023-09-11,1,Riots,Mob violence,Rioters (Ecuador),,,,Ecuador,Imbabura,Otavalo,Otavalo,0.2346,-78.2625,1,National,0
ECU3141,2023-05-02,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Guayas,Guayaquil,Valle Alto,-2.2032,-80.0617,1,National,0
ECU3032,2023-02-01,1,Protests,Peaceful protest,Protesters (Ecuador),,,,Ecuador,Santa Elena,Santa Elena,Simon Bolivar,-1.8811,-80.7345,1,National,0
