event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SUD18713,2023-01-02,1,Protests,Peaceful protest,Protesters (Sudan),Labor Group (Sudan),,,Sudan,Red Sea,Port Sudan,Port Sudan,19.6148,37.2225,1,National,0
SUD18717,2023-01-01,1,Violence against civilians,Sexual violence,Darfur Communal Militia (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),Sudan,North Darfur,Kebkabiya,Sortine,13.4004,24.3098,2,National,0
SUD18718,2023-01-02,1,Strategic developments,Agreement,Rizeigat Ethnic Militia (Sudan),,Dajo Ethnic Militia (Sudan),,Sudan,South Darfur,Beliel,Bielel,11.9926,25.036,2,National,0
SUD18722,2023-01-04,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),,,Sudan,South Kordofan,Ghadeer,Gadier,10.8214,31.1333,1,National,0
SUD18723,2023-01-04,1,Violence against civilians,Abduction/forced disappearance,SPLM-N-Agar: Sudan People's Liberation Movement (North) (Malik Agar faction),,Civilians (Sudan),Pastoralists (Sudan),Sudan,Blue Nile,Bau,Bau,11.332,34.0631,2,National,0
SUD18725,2023-01-04,1,Violence against civilians,Attack,Military Forces of Sudan (2019-),,Civilians (Sudan),Prisoners (Sudan),Sudan,South Kordofan,Abu Jubayhah,El Rahmania,11.3582,31.0061,1,National,1
SUD18731,2023-01-04,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan),Sudan,Central Darfur,Gharb Jabal Marrah,Nertiti,12.9653,24.0427,1,National,0
SUD18736,2023-01-04,1,Protests,Peaceful protest,Protesters (Sudan),,,,Sudan,West Kordofan,Al Idia,Heglig Oil Field,11.9833,27.8833,1,New media,0
SUD18740,2023-01-05,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan),Sudan,South Darfur,Nyala Shimal,Silo,12.65,24.7666,2,New media-National,0
SUD18746,2023-01-03,1,Strategic developments,Disrupted weapons use,Police Forces of Sudan (2019-),,Unidentified Armed Group (Sudan),,Sudan,Northern,Dongola,Dongola,19.1842,30.4743,3,National,0
SUD18748,2023-01-02,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),,,Sudan,Northern,Dongola,Dongola,19.1842,30.4743,1,National,0
SUD18754,2023-01-05,1,Protests,Peaceful protest,Protesters (Sudan),Resistance Committees (Sudan),,,Sudan,North Darfur,Al Fasher,El Fasher,13.6264,25.3559,1,National,0
SUD18761,2023-01-01,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Civilians (Sudan),Refugees/IDPs (Sudan),Sudan,North Darfur,Kebkabiya,Sortine,13.4004,24.3098,2,National,0
SUD18940,2023-01-10,1,Protests,Peaceful protest,Protesters (Sudan),Health Workers (Sudan); Students (Sudan),,,Sudan,Northern,Dongola,Dongola,19.1842,30.4743,1,New media,0
SUD18967,2023-01-10,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan),,,Sudan,North Darfur,Al Fasher,El Fasher,13.6264,25.3559,1,New media-National,0
SUD18975,2023-01-09,1,Violence against civilians,Attack,Unidentified Ethnic Militia (Sudan),,Civilians (Sudan),Hausa Ethnic Group (Sudan),Sudan,Blue Nile,Wad Al Mahi,Wad al-Mahi Town 4,11.4595,34.6164,2,National,1
SUD18976,2023-01-07,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Civilians (Sudan),,Sudan,North Darfur,Al Fasher,El Fasher,13.6264,25.3559,2,National,1
SUD18977,2023-01-07,1,Violence against civilians,Attack,Darfur Communal Militia (Sudan),,Civilians (Sudan),,Sudan,North Darfur,Saraf Omra,Saraf Omra,13.4771,23.3117,1,National,0
SUD18980,2023-01-06,1,Strategic developments,Looting/property destruction,Darfur Communal Militia (Sudan),,Civilians (Sudan),Labor Group (Sudan),Sudan,West Darfur,Kulbus,Kulbus,14.3638,22.4597,2,National,0
