event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SVK264,2022-01-15,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK268,2022-02-02,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK269,2022-02-08,1,Protests,Peaceful protest,Protesters (Slovakia),Smer-SD: Direction - Social Democracy; LSNS: People's Party Our Slovakia,,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK272,2022-02-14,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK275,2022-02-16,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Trnavsky,Skalica,Brodske,48.6919,17.0137,2,International,0
SVK274,2022-02-15,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Trnavsky,Skalica,Brodske,48.6919,17.0137,2,International,0
SVK273,2022-02-15,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,International,0
SVK270,2022-02-15,1,Protests,Peaceful protest,Protesters (Slovakia),Farmers (Slovakia),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,2,International,0
SVK278,2022-02-15,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia); Judges (Slovakia),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK276,2022-02-16,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Nitriansky,Levice,Sahy,48.0689,18.9494,2,National,0
SVK277,2022-02-17,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Presovsky,Svidnik,Svidnik,49.3082,21.5727,2,National,0
SVK271,2022-02-16,1,Protests,Peaceful protest,Protesters (Slovakia),Farmers (Slovakia),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,2,National,0
SVK279,2022-02-23,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia),,,Slovakia,Kosicky,Kosice IV,Kosice,48.7154,21.2503,1,Subnational,0
SVK280,2022-02-23,1,Protests,Peaceful protest,Protesters (Slovakia),Protesters (Ukraine),,,Slovakia,Bratislavsky,Bratislava I,Bratislava,48.1505,17.1085,1,National,0
SVK317,2022-03-17,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK316,2022-03-16,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK311,2022-03-13,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK312,2022-03-14,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK314,2022-03-15,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK308,2022-03-12,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK313,2022-03-15,1,Protests,Peaceful protest,Protesters (Slovakia),Labor Group (Slovakia); Judges (Slovakia),,,Slovakia,Trenciansky,Trencin,Trencin,48.8909,18.0396,1,National,0
SVK294,2022-03-04,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
SVK321,2022-03-21,1,Strategic developments,Other,Civilians (Ukraine),Refugees/IDPs (Ukraine),,,Slovakia,Kosicky,Sobrance,Vysne Nemecke,48.6589,22.2638,3,New media,0
