event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
TOG8776,2024-03-12,1,Strategic developments,Change to group/activity,Government of Togo (2005-),,,,Togo,Savanes,Tone,Dapaong,10.8639,0.205,3,National-International,0
TOG8783,2024-01-15,3,Strategic developments,Other,Private Security Forces (International),,,,Togo,Savanes,Kpendjal,Borgou,10.7636,0.5769,3,National,0
TOG8794,2024-06-30,1,Violence against civilians,Attack,Police Forces of Togo (2005-),,Civilians (Togo),Women (Togo),Togo,Maritime,Zio,Alokoegbe,6.4458,1.0851,1,National,0
TOG8796,2024-06-25,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,Military Forces of Togo (2005-) Firefighters,,Togo,Savanes,Oti,Tianaka,10.5833,0.5833,2,Local partner-Other,5
TOG8772,2024-01-07,1,Explosions/Remote violence,Grenade,JNIM: Group for Support of Islam and Muslims,,Civilians (Togo),,Togo,Savanes,Kpendjal,Gnanle,10.8635,0.6683,1,New media,1
TOG8792,2024-06-25,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,Civilians (Togo),,Togo,Savanes,Kpendjal,Lidole,10.9124,0.5736,1,Local partner-Other,0
TOG8806,2024-05-30,1,Strategic developments,Arrests,Police Forces of Togo (2005-),,Civilians (Togo),Fulani Ethnic Group (Togo); Pastoralists (Togo),Togo,Kara,Bassar,Boulou,9.2833,0.95,2,Local partner-Other,0
TOG8791,2024-06-18,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,Civilians (Togo),,Togo,Savanes,Oti,Bonzoukou,10.3168,0.5554,1,New media-National,4
TOG8814,2024-10-18,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,Civilians (Togo),,Togo,Savanes,Kpendjal,Papri,10.9833,0.45,2,International,2
TOG8816,2024-05-22,1,Violence against civilians,Attack,Military Forces of Togo (2005-),,Civilians (Togo),Labor Group (Togo),Togo,Kara,Kozah,Kozah,9.5511,1.1861,1,National,0
TOG8779,2024-03-27,1,Violence against civilians,Attack,Police Forces of Togo (2005-) Gendarmerie,,Civilians (Togo),Don't Touch my Constitution; RSSD: Rally for the Support of Democracy and Development,Togo,Maritime,Golfe,Agoe,6.2319,1.215,1,Other-National,0
TOG8820,2024-07-13,2,Strategic developments,Arrests,Military Forces of Togo (2005-),,Civilians (Togo),Military Forces of Togo (2005-),Togo,Kara,Kozah,Kara,9.5489,1.1977,1,National,0
TOG8822,2024-06-20,1,Strategic developments,Other,Private Security Forces (International),,,,Togo,Savanes,Kpendjal,Borgou,10.7636,0.5769,3,National,0
TOG8808,2024-09-23,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,Al Qaeda,Military Forces of Togo (2005-),,Togo,Savanes,Kpendjal,Kankanti,10.9333,0.4,1,International,0
TOG8829,2024-11-14,1,Battles,Armed clash,Unidentified Armed Group (Togo),,Military Forces of Togo (2005-),,Togo,Savanes,Tone,Korbongou,10.9141,0.3113,2,National,0
TOG8819,2024-11-19,1,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,Civilians (Togo),,Togo,Savanes,Kpendjal,Koundjoare,10.9405,0.6444,2,Local partner-Other,1
TOG8801,2024-07-20,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,Military Forces of Togo (2005-),,Togo,Savanes,Kpendjal,Koundjoare,10.9405,0.6444,2,Other-National,46
TOG8803,2024-08-06,2,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,Military Forces of Togo (2005-),,Togo,Savanes,Kpendjal,Kankanti,10.9333,0.4,1,Other-International,3
TOG8797,2024-06-21,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,Military Forces of Togo (2005-),,Togo,Savanes,Kpendjal,Kpentendjoaga 3,10.814,0.5351,1,Local partner-Other,2
TOG8777,2024-03-19,1,Protests,Peaceful protest,Protesters (Togo),Labor Group (Togo),,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0
TOG8778,2024-03-28,1,Strategic developments,Arrests,Police Forces of Togo (2005-),,Civilians (Togo),Journalists (Togo),Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0
TOG8781,2024-04-03,1,Protests,Protest with intervention,Protesters (Togo),Action Bloc for Change (BAC); Bishop Kpodzro Dynamic (DMK),Police Forces of Togo (2005-) Gendarmerie,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National-International,0
