event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MNG654,2024-07-23,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Tov,Zaamar,Zaamar,48.2132,104.7737,1,National,0
MNG605,2024-01-08,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG606,2024-01-18,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG607,2024-01-25,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia); Teachers (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG608,2024-01-29,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG609,2024-02-01,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG610,2024-02-02,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG611,2024-02-05,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG612,2024-02-07,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG613,2024-02-07,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG614,2024-02-19,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG615,2024-02-26,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG616,2024-02-26,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG617,2024-02-27,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG618,2024-02-23,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG619,2024-02-29,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG620,2024-03-08,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia); Labor Group (Mongolia); Women (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG621,2024-03-06,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG622,2024-03-15,1,Protests,Peaceful protest,Protesters (Mongolia),CMTU: Confederation of Mongolian Trade Unions; Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG623,2024-03-28,1,Protests,Peaceful protest,Protesters (Mongolia),Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG624,2024-03-26,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG625,2024-04-02,1,Protests,Peaceful protest,Protesters (Mongolia),CMTU: Confederation of Mongolian Trade Unions; Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG626,2024-04-01,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG627,2024-04-12,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia); Journalists (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG628,2024-04-10,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG629,2024-04-18,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG630,2024-04-25,1,Protests,Peaceful protest,Protesters (Mongolia),Bosoo Khukh Mongol,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG631,2024-04-24,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG632,2024-04-26,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG633,2024-04-22,1,Protests,Peaceful protest,Protesters (Mongolia),,,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG634,2024-05-01,1,Protests,Peaceful protest,Protesters (Mongolia),CMTU: Confederation of Mongolian Trade Unions; Labor Group (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
MNG635,2024-05-03,1,Protests,Peaceful protest,Protesters (Mongolia),DP: Democratic Party (Mongolia),,,Mongolia,Ulaanbaatar,,Ulaanbaatar,47.9145,106.9148,1,National,0
