event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
TWN805,2020-03-06,1,Protests,Peaceful protest,Protesters (Taiwan),Farmers (Taiwan),,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN769,2020-01-21,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Fuli,23.1811,121.2503,1,National,0
TWN767,2020-01-20,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Miaoli,Miaoli,Zaoqiao,24.6425,120.8671,1,National,0
TWN745,2020-01-06,1,Protests,Peaceful protest,Protesters (Taiwan),KMT: Kuomintang,,,Taiwan,Yunlin,Yunlin,Douliu City,23.7095,120.5623,1,National,0
TWN812,2020-03-15,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Chiayi,Chiayi,Shuishang,23.4288,120.4,1,National,0
TWN902,2020-06-19,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Guangfu,23.669,121.4234,1,Subnational,0
TWN859,2020-05-18,1,Protests,Peaceful protest,Protesters (Taiwan),Fishers (Taiwan),,,Taiwan,Pingtung,Pingtung,Liuqiu,22.3404,120.3715,1,National,0
TWN746,2020-01-06,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yunlin,Yunlin,Xiluo Urban,23.7496,120.4359,1,National,0
TWN814,2020-03-18,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN882,2020-06-08,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yunlin,Yunlin,Mailiao,23.7987,120.2179,1,National,0
TWN847,2020-05-02,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yilan,Yilan,Yilan City,24.7606,121.7542,1,National,0
TWN897,2020-06-13,1,Protests,Peaceful protest,Protesters (Taiwan),Health Workers (Taiwan); NPP: New Power Party,,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN876,2020-06-02,1,Protests,Peaceful protest,Protesters (Taiwan),Students (Taiwan),,,Taiwan,Chiayi,Chiayi,Puzi City,23.447,120.2573,1,National,0
TWN752,2020-01-08,1,Protests,Peaceful protest,Protesters (Taiwan),KMT: Kuomintang,,,Taiwan,Taitung,Taitung,Daren,22.2971,120.883,1,National,0
TWN835,2020-04-20,1,Protests,Peaceful protest,Protesters (Taiwan),Farmers (Taiwan),,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN755,2020-01-09,1,Protests,Peaceful protest,Protesters (Taiwan),KMT: Kuomintang,,,Taiwan,Yunlin,Yunlin,Huwei Urban,23.7159,120.4338,1,National,0
TWN772,2020-02-01,1,Protests,Peaceful protest,Protesters (Taiwan),Labor Group (Taiwan),,,Taiwan,Chiayi,Chiayi,Puzi City,23.447,120.2573,1,National,0
TWN861,2020-05-19,1,Protests,Peaceful protest,Protesters (Taiwan),Farmers (Taiwan),,,Taiwan,Yunlin,Yunlin,Tuku Urban,23.706,120.3561,1,National,0
TWN779,2020-02-10,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Changhua,Changhua,Fangyuan,23.9245,120.3203,1,National,0
TWN822,2020-03-28,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN803,2020-03-05,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Kinmen,Kinmen,Jincheng Urban,24.4328,118.3205,1,National,0
TWN778,2020-02-10,1,Protests,Protest with intervention,Protesters (Taiwan),,Police Forces of Taiwan (2016-),,Taiwan,Changhua,Changhua,Tianwei,23.8896,120.5416,1,National,0
TWN819,2020-03-20,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Nantou,Nantou,Guoxing,24.0405,120.8571,1,National,0
TWN868,2020-05-25,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Hualien City,23.9914,121.6106,1,National,0
TWN816,2020-03-18,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yunlin,Yunlin,Kouhu,23.6208,120.1626,1,National,0
TWN872,2020-05-30,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Guangfu,23.669,121.4234,1,National,0
TWN941,2020-07-10,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yilan,Yilan,Datong,24.6775,121.609,1,National,0
TWN944,2020-07-10,1,Protests,Peaceful protest,Protesters (Taiwan),Farmers (Taiwan),,,Taiwan,Yilan,Yilan,Wujie,24.7,121.7833,1,National,0
TWN954,2020-07-15,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Miaoli,Miaoli,Miaoli City,24.5736,120.815,1,National,0
TWN957,2020-07-15,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yunlin,Yunlin,Mailiao,23.7987,120.2179,1,National,0
TWN963,2020-07-13,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Chiayi,Chiayi,Shuishang,23.4288,120.4,1,National,0
TWN968,2020-07-24,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Taitung,Taitung,Taitung City,22.7556,121.1141,1,National,0
TWN971,2020-07-23,1,Protests,Peaceful protest,Protesters (Taiwan),Labor Group (Taiwan),,,Taiwan,Changhua,Changhua,Yuanlin City,23.9598,120.5859,1,National,0
TWN976,2020-07-31,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Miaoli,Miaoli,Miaoli City,24.5736,120.815,1,National,0
TWN863,2020-05-20,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Fenglin Urban,23.7465,121.4475,1,National,0
TWN843,2020-04-28,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Changhua,Changhua,Tianzhong Urban,23.8588,120.5856,1,National,0
TWN851,2020-05-09,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Fenglin Urban,23.7465,121.4475,1,National,0
TWN990,2020-08-03,1,Protests,Peaceful protest,Protesters (Taiwan),Farmers (Taiwan),,,Taiwan,Taitung,Taitung,Taitung City,22.7556,121.1141,1,National,0
TWN1026,2020-08-31,1,Protests,Peaceful protest,Protesters (Taiwan),Farmers (Taiwan),,,Taiwan,Yunlin,Yunlin,Douliu City,23.7095,120.5623,1,National,0
TWN1005,2020-08-21,1,Protests,Peaceful protest,Protesters (Taiwan),Tax and Legal Reform League,,,Taiwan,Miaoli,Miaoli,Miaoli City,24.5736,120.815,1,National,0
TWN1001,2020-08-18,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Yunlin,Yunlin,Mailiao,23.7987,120.2179,1,National,0
TWN1002,2020-08-19,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Miaoli,Miaoli,Tongxiao Urban,24.4941,120.6803,1,National,0
TWN1004,2020-08-20,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Kinmen,Kinmen,Jincheng Urban,24.4328,118.3205,1,National,0
TWN992,2020-08-11,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Hualien,Hualien,Fenglin Urban,23.7465,121.4475,1,National,0
TWN1041,2020-09-11,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Changhua,Changhua,Hemei Urban,24.1093,120.494,1,National,0
TWN1060,2020-09-24,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Chiayi,Chiayi,Lucao,23.4115,120.3085,1,National,0
TWN1057,2020-09-23,1,Protests,Peaceful protest,Protesters (Taiwan),Government of Taiwan (2016-),,,Taiwan,Pingtung,Pingtung,Liuqiu,22.3404,120.3715,1,National,0
TWN791,2020-02-24,2,Protests,Peaceful protest,Protesters (Taiwan),Labor Group (Taiwan),,,Taiwan,Yunlin,Yunlin,Douliu City,23.7095,120.5623,1,National,0
TWN1077,2020-10-05,1,Protests,Peaceful protest,Protesters (Taiwan),Labor Group (Taiwan),,,Taiwan,Chiayi,Chiayi,Yizhu,23.357,120.2169,1,National,0
TWN1084,2020-10-05,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Changhua,Changhua,Yuanlin City,23.9598,120.5859,1,National,0
TWN1092,2020-10-15,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Nantou,Nantou,Nantou City,23.9188,120.6781,1,National,0
TWN1089,2020-10-13,1,Riots,Violent demonstration,Rioters (Taiwan),Indigenous Group (Taiwan),,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN1093,2020-10-16,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Nantou,Nantou,Zhushan Urban,23.7555,120.682,1,National,0
TWN1098,2020-10-15,1,Protests,Protest with intervention,Protesters (Taiwan),Indigenous Group (Taiwan),Police Forces of Taiwan (2016-),,Taiwan,Pingtung,Pingtung,Majia,22.7028,120.6476,1,National,0
TWN1119,2020-10-26,1,Protests,Peaceful protest,Protesters (Taiwan),Government of Taiwan (2016-),,,Taiwan,Hsinchu,Hsinchu,Hukou,24.8833,121.05,1,National,0
TWN1134,2020-11-06,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Nantou,Nantou,Yuchi,23.8973,120.9381,1,National,0
TWN1972,2020-02-03,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Changhua,Changhua,Fangyuan,23.9245,120.3203,1,National,0
TWN1992,2020-11-30,1,Protests,Peaceful protest,Protesters (Taiwan),Government of Taiwan (2016-),,,Taiwan,Pingtung,Pingtung,Fangliao,22.3668,120.5937,1,National,0
TWN1996,2020-12-04,1,Protests,Peaceful protest,Protesters (Taiwan),Journalists (Taiwan),,,Taiwan,Pingtung,Pingtung,Pingtung City,22.6832,120.4879,1,National,0
TWN2001,2020-12-05,1,Protests,Peaceful protest,Protesters (Taiwan),,,,Taiwan,Chiayi,Chiayi,Puzi City,23.447,120.2573,1,National,0
TWN2018,2020-12-18,1,Protests,Peaceful protest,Protesters (Taiwan),Government of Taiwan (2016-),,,Taiwan,Pingtung,Pingtung,Fangliao,22.3668,120.5937,1,National,0
TWN2019,2020-12-26,1,Protests,Peaceful protest,Protesters (Taiwan),Government of Taiwan (2016-),,,Taiwan,Pingtung,Pingtung,Fangliao,22.3668,120.5937,1,National,0
TWN1087,2020-10-16,1,Riots,Violent demonstration,Rioters (Taiwan),Students (Taiwan),Police Forces of Taiwan (2016-),,Taiwan,Taipei City,Taipei City,Taipei City - Zhongzheng,25.0326,121.5181,1,National,0
TWN1102,2020-10-18,1,Protests,Peaceful protest,Protesters (Thailand),Students (Thailand),,,Taiwan,Taipei City,Taipei City,Taipei City - Da'an,25.0267,121.5345,1,National,0
