event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PAN35,2019-01-23,1,Riots,Violent demonstration,Rioters (Panama),,,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0
PAN49,2019-02-09,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN72,2019-02-28,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN9,2019-01-09,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Burunga,8.9702,-79.6739,1,National,0
PAN126,2019-04-30,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Chiriqui,Dolega,Dolega,8.5667,-82.4141,1,National,0
PAN243,2019-08-15,1,Protests,Peaceful protest,Protesters (Panama),Students (Panama); Teachers (Panama),,,Panama,Panama Oeste,La Chorrera,La Chorrera,8.8803,-79.7833,1,National,0
PAN16,2019-01-14,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Arraijan,Arraijan,8.9519,-79.6601,1,National,0
PAN152,2019-05-26,1,Riots,Violent demonstration,Rioters (Nicaragua),,Rioters (Nicaragua),Students (Nicaragua),Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN147,2019-05-14,2,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Colon,Colon,Colon,9.3545,-79.9001,1,National,0
PAN332,2019-12-10,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN187,2019-06-21,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Colon,Colon,Colon,9.3545,-79.9001,1,National,0
PAN34,2019-01-19,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama); Students (Panama); Teachers (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN134,2019-05-07,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Bocas del Toro,Changuinola,Changuinola,9.43,-82.52,1,National,0
PAN133,2019-05-07,1,Riots,Violent demonstration,Rioters (Panama),,Rioters (Panama),PRD: Democratic Revolutionary Party,Panama,Bocas del Toro,Changuinola,Changuinola,9.43,-82.52,2,National,0
PAN169,2019-06-12,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Chiriqui,David,David,8.4273,-82.4309,1,National,0
PAN222,2019-07-23,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN43,2019-02-02,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN68,2019-02-27,1,Protests,Peaceful protest,Protesters (Panama),Health Workers (Panama),,,Panama,Los Santos,Las Tablas,Las Tablas,7.7647,-80.2748,1,National,0
PAN189,2019-06-22,2,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama Oeste,Chame,Chame,8.5775,-79.886,1,National,0
PAN28,2019-01-16,1,Protests,Peaceful protest,Protesters (Panama),MOCONA: Federico Britton National Movement,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN102,2019-04-17,1,Riots,Violent demonstration,Rioters (Panama),Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN44,2019-02-04,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN124,2019-04-30,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Colon,Colon,Colon,9.3545,-79.9001,1,National,0
PAN59,2019-02-19,1,Protests,Peaceful protest,Protesters (Panama),FAC: Wide Front for Colon,,,Panama,Colon,Colon,Colon,9.3545,-79.9001,1,National,0
PAN20,2019-01-15,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Chiriqui,David,David,8.4273,-82.4309,1,National,0
PAN206,2019-06-27,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Colon,Colon,Colon,9.3545,-79.9001,3,National,0
PAN194,2019-06-24,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama),,,Panama,Bocas del Toro,Chiriqui Grande,Chiriqui Grande,8.9486,-82.1164,2,National,0
PAN11,2019-01-11,1,Protests,Peaceful protest,Protesters (Panama),Farmers (Panama),,,Panama,Herrera,Chitre,Chitre,7.9608,-80.4294,1,National,0
