event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
COL29923,2025-01-06,1,Violence against civilians,Abduction/forced disappearance,ELN: National Liberation Army,,Civilians (Colombia),Former FARC: Revolutionary Armed Forces of Colombia,Colombia,Arauca,Arauquita,Cano Tigre,6.6304,-71.2857,1,Subnational-National,0
COL29957,2025-01-04,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),Embera Indigenous Group (Colombia); Unidentified Communal Group (Colombia),Colombia,Risaralda,Mistrato,Humaca,5.3774,-76.0162,1,Other-National,1
COL30036,2025-01-04,1,Strategic developments,Change to group/activity,Gulf Clan,,,,Colombia,Antioquia,Remedios,Lejanias,7.1715,-74.4252,1,National,0
COL29924,2025-01-08,1,Battles,Armed clash,Military Forces of Colombia (2022-),,ELN: National Liberation Army,,Colombia,Arauca,Arauquita,Arauquita,7.027,-71.4268,2,National,0
COL29925,2025-01-06,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Boyaca,Arcabuco,Arcabuco,5.7557,-73.4362,2,National,0
COL29927,2025-01-06,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Atlantico,Luruaco,Arroyo de Piedra,10.6312,-75.1043,1,Subnational-National,0
COL29936,2025-01-08,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,Atlantico,Soledad,Soledad,10.9102,-74.7848,1,Subnational,0
COL29955,2025-01-07,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Santander,Bucaramanga,Bucaramanga,7.1163,-73.1326,1,National,0
COL29956,2025-01-08,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia); Military Forces of Colombia (2022-),,,Colombia,Norte de Santander,Villa del Rosario,La Parada,7.8194,-72.4543,1,National,0
COL29958,2025-01-09,1,Protests,Peaceful protest,Protesters (Colombia),Former Government of Colombia (2022-); Government of Colombia (2022-); Protesters (Venezuela),,,Colombia,"Bogota, D.C.","Bogota, D.C.",Bogota - Chapinero,4.6353,-74.0661,1,National,0
COL29964,2025-01-09,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,Atlantico,Barranquilla,Barranquilla,10.9799,-74.8013,1,National,0
COL29968,2025-01-09,1,Explosions/Remote violence,Remote explosive/landmine/IED,ELN: National Liberation Army,,Military Forces of Colombia (2022-),,Colombia,Arauca,Saravena,El Consuelo,6.9312,-71.849,1,National,2
COL29975,2025-01-09,1,Protests,Peaceful protest,Protesters (Venezuela),,,,Colombia,Antioquia,Medellin,Medellin,6.2496,-75.5774,1,Subnational,0
COL30000,2025-01-09,1,Protests,Peaceful protest,Protesters (Venezuela),,,,Colombia,Santander,Bucaramanga,Bucaramanga,7.1163,-73.1326,1,Subnational,0
COL30009,2025-01-09,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,Santander,Bucaramanga,Bucaramanga,7.1163,-73.1326,1,Subnational,0
COL30015,2025-01-09,1,Riots,Mob violence,Rioters (Colombia),Vigilante Group (Colombia),Civilians (Colombia),,Colombia,"Bogota, D.C.","Bogota, D.C.",Bogota - Los Martires,4.6065,-74.0912,1,National,0
COL30018,2025-01-09,1,Protests,Peaceful protest,Protesters (Venezuela),,,,Colombia,Caldas,Manizales,Manizales,5.0577,-75.4911,1,Subnational,0
COL30021,2025-01-05,1,Violence against civilians,Attack,ELN: National Liberation Army,,Civilians (Colombia),,Colombia,Norte de Santander,Villa del Rosario,Juan Frio,7.7858,-72.474,1,Subnational,1
