event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LBR1800,2025-01-08,2,Riots,Violent demonstration,Rioters (Liberia),,,,Liberia,Lofa,Voinjama,Voinjama,8.4226,-9.7524,1,National,0
LBR1801,2025-01-02,1,Riots,Mob violence,Rioters (Liberia),,,,Liberia,Nimba,Garr-Bain,Ganta,7.235,-8.984,1,National,0
LBR1803,2025-01-07,1,Protests,Peaceful protest,Protesters (Liberia),Labor Group (Liberia); Students (Liberia); Women (Liberia),,,Liberia,Margibi,Kakata,Kakata,6.5318,-10.3514,1,National,0
LBR1804,2025-01-29,1,Protests,Peaceful protest,Protesters (Liberia),Labor Group (Liberia); Students (Liberia); Women (Liberia),,,Liberia,Margibi,Kakata,Kakata,6.5318,-10.3514,1,National,0
LBR1805,2025-01-20,1,Protests,Peaceful protest,Protesters (Liberia),Teachers (Liberia),,,Liberia,Maryland,Harper,Harper,4.3764,-7.7013,3,National,0
LBR1806,2025-02-19,1,Protests,Peaceful protest,Protesters (Liberia),Labor Group (Liberia),,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1807,2025-02-26,1,Battles,Armed clash,Military Forces of Liberia (2018-),,Police Forces of Liberia (2018-),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,National,0
LBR1808,2025-03-03,2,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1809,2025-03-02,1,Riots,Violent demonstration,Rioters (Liberia),Protestant Christian Group (Liberia),Police Forces of Liberia (2018-),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,National,0
LBR1810,2025-02-05,2,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Sinoe,Butaw,Butaw,5.1333,-9.0833,1,Regional,0
LBR1811,2025-02-20,2,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Grand Cape Mount,Commonwealth,Robertsport,6.7533,-11.3686,2,National,0
LBR1815,2025-03-17,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Maryland,Harper,Middle Town,4.4132,-7.8002,1,National,1
LBR1823,2025-02-16,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Bong,Tukpahblee,Botota,6.6523,-9.3728,2,National,0
