event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GUI1241,2019-12-10,1,Protests,Peaceful protest,Protesters (Guinea),Women (Guinea),,,Guinea,Kankan,Kankan,Kankan,10.3854,-9.3057,1,National,0
GUI1242,2019-12-10,1,Protests,Peaceful protest,Protesters (Guinea),FNDC: National Front for the Defense of the Constitution,,,Guinea,Labe,Labe,Labe,11.3182,-12.2833,1,National,0
GUI1243,2019-12-10,1,Protests,Peaceful protest,Protesters (Guinea),FNDC: National Front for the Defense of the Constitution,,,Guinea,Mamou,Mamou,Mamou,10.3833,-12.0833,1,National,0
GUI1231,2019-12-01,1,Protests,Peaceful protest,Protesters (Guinea),,,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI1255,2019-12-30,1,Protests,Peaceful protest,Protesters (Guinea),Women (Guinea),,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI1254,2019-12-24,1,Protests,Peaceful protest,Protesters (Guinea),Women (Guinea),,,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI1232,2019-12-02,1,Protests,Peaceful protest,Protesters (Guinea),,,,Guinea,Boke,Boke,Boke,10.9409,-14.2967,1,National,0
GUI1251,2019-12-21,1,Riots,Violent demonstration,Rioters (Guinea),Vigilante Group (Guinea),Military Forces of Guinea (2010-2021) Gendarmerie,,Guinea,Labe,Labe,Labe,11.3182,-12.2833,1,National,0
GUI1245,2019-12-14,1,Protests,Protest with intervention,Protesters (Guinea),,Military Forces of Guinea (2010-2021) Gendarmerie,,Guinea,Kindia,Dubreka,Dubreka,9.7911,-13.5233,1,National,0
GUI1256,2019-12-31,1,Protests,Peaceful protest,Protesters (Guinea),RPG: Rally of the Guinean People,,,Guinea,Kankan,Mandiana,Dialakoro,11.45,-8.8833,1,National,0
GUI1248,2019-12-18,1,Riots,Mob violence,Rioters (Guinea),RPG: Rally of the Guinean People,Rioters (Guinea),RPG: Rally of the Guinean People,Guinea,Kankan,Siguiri,Siguiri,11.4167,-9.1665,1,National,0
GUI1252,2019-12-23,1,Protests,Peaceful protest,Protesters (Guinea),RPG: Rally of the Guinean People,,,Guinea,Nzerekore,Yomou,Diecke,7.348,-8.954,1,National,0
GUI1253,2019-12-23,1,Protests,Peaceful protest,Protesters (Guinea),RPG: Rally of the Guinean People,,,Guinea,Nzerekore,Yomou,Yomou,7.5,-9.1667,1,National,0
GUI1249,2019-12-19,1,Protests,Peaceful protest,Protesters (Guinea),RPG: Rally of the Guinean People,,,Guinea,Kankan,Kankan,Kankan,10.3854,-9.3057,1,National,0
GUI1250,2019-12-20,1,Protests,Peaceful protest,Protesters (Guinea),RPG: Rally of the Guinean People,,,Guinea,Kankan,Kankan,Kankan,10.3854,-9.3057,1,National,0
GUI1235,2019-12-04,1,Riots,Mob violence,Rioters (Guinea),Unidentified Communal Militia (Guinea),Rioters (Guinea),Unidentified Communal Militia (Guinea),Guinea,Labe,Lelouma,Kouramangui,11.5,-12.4667,1,National,0
