event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
GAM217,2020-01-16,1,Protests,Peaceful protest,Protesters (Gambia),APRC: Alliance for Patriotic Re-orientation and Construction,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,Subnational-National,0
GAM216,2020-01-12,1,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,Subnational,0
GAM232,2020-04-06,1,Protests,Peaceful protest,Protesters (Gambia),,,,Gambia,Brikama,Kombo South,Sanyang,13.2667,-16.7606,1,National,0
GAM236,2020-06-08,1,Violence against civilians,Attack,Police Forces of Gambia (2017-),,Civilians (Gambia),,Gambia,Brikama,Kombo Central,Brikama,13.2675,-16.6461,1,National,0
GAM237,2020-06-13,1,Protests,Peaceful protest,Protesters (Gambia),BLM: Black Lives Matter,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,National,0
GAM239,2020-06-27,1,Protests,Peaceful protest,Protesters (Gambia),BLM: Black Lives Matter,,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,National,0
GAM240,2020-07-05,1,Battles,Armed clash,Waliba Kunda Communal Militia (Gambia),,Perai Tenda Communal Militia (Gambia),,Gambia,Basse,Tumana,Waliba Kunda,13.3532,-14.0183,2,National,0
GAM243,2020-08-11,1,Riots,Mob violence,Rioters (Gambia),Mandinka Ethnic Group (Gambia),Rioters (Gambia),Fulani Ethnic Group (Gambia),Gambia,Janjanbureh,Niamina Dankunku,Sambang,13.5412,-15.3311,1,National,0
GAM244,2020-08-15,1,Riots,Mob violence,Rioters (Gambia),,Police Forces of Gambia (2017-),,Gambia,Brikama,Foni Brefet,Foni Berefet,13.22,-16.3,2,National,0
GAM245,2020-08-30,2,Riots,Mob violence,Rioters (Gambia),Vigilante Group (Gambia),Civilians (Gambia),Fulani Ethnic Group (Gambia); Pastoralists (Gambia),Gambia,Basse,Basse Fulladu East,Basse,13.3167,-14.2167,2,National,0
GAM246,2020-08-31,1,Protests,Peaceful protest,Protesters (Gambia),Health Workers (Gambia),,,Gambia,Brikama,Kombo North,Sukuta,13.4147,-16.7076,1,National,0
GAM248,2020-11-03,1,Protests,Peaceful protest,Protesters (Gambia),Health Workers (Gambia),,,Gambia,Banjul,Banjul Central,Banjul,13.4531,-16.5775,1,Subnational,0
