event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BIH211,2018-10-12,1,Violence against civilians,Attack,Unidentified Armed Group (Bosnia and Herzegovina),,Civilians (Bosnia and Herzegovina),SDP: Social Democratic Party of Bosnia and Herzegovina,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Posavski,Odzak,45.0125,18.327,1,National,0
BIH261,2018-12-22,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Bosnia and Herzegovina),,Civilians (Bosnia and Herzegovina),Catholic Christian Group (Bosnia and Herzegovina),Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Sarajevo,Vogosca,43.9021,18.343,1,International,0
BIH51,2018-03-15,3,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Banja Luka,Gradiska,45.1448,17.2545,3,International,0
BIH52,2018-03-15,3,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Visegrad,Visegrad,43.7826,19.2926,3,International,0
BIH6,2018-01-15,3,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Banja Luka,Gradiska,45.1448,17.2545,3,International,0
BIH20,2018-02-14,3,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Banja Luka,Gradiska,45.1448,17.2545,3,International,0
BIH7,2018-01-15,3,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Visegrad,Visegrad,43.7826,19.2926,3,International,0
BIH62,2018-04-08,2,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Banja Luka,Gradiska,45.1448,17.2545,3,International,0
BIH63,2018-04-08,2,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Visegrad,Visegrad,43.7826,19.2926,3,International,0
BIH21,2018-02-14,3,Strategic developments,Arrests,Police Forces of Bosnia and Herzegovina (2014-2018),,Civilians (International),Refugees/IDPs (International),Bosnia and Herzegovina,Republika Srpska,Visegrad,Visegrad,43.7826,19.2926,3,International,0
BIH232,2018-10-28,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Labor Group (Bosnia and Herzegovina),,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Unsko-Sanski,Velika Kladusa,45.1849,15.8057,1,National,0
BIH227,2018-10-23,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Unsko-Sanski,Bihac,44.8169,15.8708,1,National-International,0
BIH228,2018-10-23,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Unsko-Sanski,Izacic,44.8748,15.7825,1,National,0
BIH224,2018-10-22,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Unsko-Sanski,Bihac,44.8169,15.8708,1,National,0
BIH220,2018-10-20,1,Riots,Mob violence,Rioters (International),Refugees/IDPs (International),Rioters (International),Refugees/IDPs (International),Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Sarajevo,Sarajevo-Stari Grad,43.888,18.4607,1,National,0
BIH221,2018-10-20,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Unsko-Sanski,Bihac,44.8169,15.8708,1,National,0
BIH205,2018-10-06,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Justice for David,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Banja Luka,44.7784,17.1939,1,National,0
BIH201,2018-10-05,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Justice for David,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Banja Luka,44.7784,17.1939,1,International,0
BIH203,2018-10-05,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Justice for David,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Tuzlanski,Tuzla,44.5384,18.6671,1,National,0
BIH204,2018-10-05,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Zenicko-Dobojski,Zenica,44.2017,17.904,1,National,0
BIH202,2018-10-05,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Justice for David,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Sarajevo,Sarajevo,43.8672,18.4008,1,International,0
BIH199,2018-10-02,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Unsko-Sanski,Cazin,44.9669,15.9431,1,National,0
BIH129,2018-06-12,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Banja Luka,44.7784,17.1939,1,National,0
BIH124,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Hercegovacko-Neretvanski,Mostar,43.3433,17.8081,1,National,0
BIH125,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Prijedor,44.9799,16.714,1,National,0
BIH122,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Gradiska,45.1448,17.2545,1,International,0
BIH121,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Bijeljina,Bijeljina,44.7587,19.2144,1,International,0
BIH120,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Banja Luka,44.7784,17.1939,1,International,0
BIH126,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Prnjavor,44.8702,17.6626,1,International,0
BIH123,2018-06-11,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Klasnice,44.8726,17.2985,1,International,0
BIH112,2018-06-10,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Banja Luka,Banja Luka,44.7784,17.1939,1,National,0
BIH113,2018-06-10,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Doboj,Doboj,44.7318,18.087,2,National,0
