event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
NOR1948,2025-01-05,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,National,0
NOR1949,2025-01-06,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,More og Romsdal,Sula,Langevag,62.4405,6.1908,1,National,0
NOR1950,2025-01-06,1,Protests,Peaceful protest,Protesters (Norway),Jewish Group (Norway),,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media,0
NOR1951,2025-01-08,1,Protests,Peaceful protest,Protesters (Norway),Labor Group (Norway); LO: Norwegian Confederation of Trade Unions,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,Other-National,0
NOR1955,2025-01-10,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Rogaland,Stavanger,Stavanger,58.9666,5.7322,1,National,0
NOR1957,2025-01-07,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Norway),,Civilians (Norway),,Norway,Troms og Finnmark,Sor-Varanger,Kirkenes,69.7261,30.0499,1,National,0
NOR1953,2025-01-08,1,Protests,Peaceful protest,Protesters (Norway),Teachers (Norway); Students (Norway); Labor Group (Norway),,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media-National,0
NOR1992,2025-01-13,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,Other,0
NOR1993,2025-01-15,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Norway),,Civilians (Venezuela),Government of Venezuela (1999-),Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,National,0
NOR1994,2025-01-23,1,Protests,Peaceful protest,Protesters (Norway),Government of Norway (2013-); KrF: Christian Democratic Party,,,Norway,Nordland,Bodo,Bodo,67.2864,14.3911,1,National,0
NOR1995,2025-01-23,1,Protests,Peaceful protest,Protesters (Norway),Norway's Palestine Committee; Palestinian Group (Norway),,,Norway,Nordland,Bodo,Bodo,67.2864,14.3911,1,National,0
NOR1996,2025-01-19,1,Protests,Peaceful protest,Protesters (Norway),Action Group for Palestine; Norway's Palestine Committee; Palestinian Group (Norway); RKU: Revolutionary Communist Youth; XR: Extinction Rebellion,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media-National,0
NOR1997,2025-01-17,1,Protests,Peaceful protest,Protesters (Norway),Uyghur Ethnic Group (Norway),,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,Other,0
NOR1999,2025-01-22,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Nordland,Bodo,Bodo,67.2864,14.3911,1,National,0
NOR2000,2025-01-04,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee; Norway's Palestine Committee; Palestinian Group (Norway),,,Norway,Agder,Kristiansand,Kristiansand,58.1456,7.9872,1,Other,0
NOR2001,2025-01-18,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee; Norway's Palestine Committee; Palestinian Group (Norway),,,Norway,Agder,Kristiansand,Kristiansand,58.1456,7.9872,2,Other,0
NOR2002,2025-01-25,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee; Norway's Palestine Committee; Palestinian Group (Norway),,,Norway,Agder,Kristiansand,Kristiansand,58.1456,7.9872,3,Other,0
NOR2004,2025-01-27,2,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Subnational,0
NOR2005,2025-01-29,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Nordland,Narvik,Narvik,68.4417,17.4415,1,National,0
NOR2006,2025-01-29,1,Protests,Peaceful protest,Protesters (Norway),AI: Amnesty International; NSR-N: Youth Committee of the Norwegian Sami Association; Sami Indigenous Group (Norway),,,Norway,Troms og Finnmark,Tromso,Tromso,69.6487,18.9559,1,National,0
NOR2007,2025-01-30,1,Protests,Peaceful protest,Protesters (Norway),Students (Norway),,,Norway,Vestfold og Telemark,Tonsberg,Tonsberg,59.2676,10.412,1,Subnational,0
NOR2008,2025-01-11,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other,0
NOR2009,2025-01-18,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other,0
NOR2010,2025-01-18,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,Other,0
NOR2011,2025-01-18,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee; Syrian Group (Norway),,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,Other,0
NOR2012,2025-01-25,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other,0
NOR2013,2025-01-28,1,Protests,Peaceful protest,Protesters (Norway),Action Group for Palestine; DPNF: Palestinian-Norwegian Association in Norway,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media,0
NOR2014,2025-01-29,1,Protests,Peaceful protest,Protesters (Norway),Labor Group (Norway),,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,National,0
NOR2016,2025-02-01,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other,0
NOR2017,2025-02-01,1,Protests,Peaceful protest,Protesters (Norway),MIFF: With Israel for Peace,Protesters (Norway),KK: Struggle Committee,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other-National,0
NOR2019,2025-02-03,1,Protests,Peaceful protest,Protesters (Norway),Labor Group (Norway),,,Norway,Rogaland,Sandnes,Sandnes,58.8517,5.7362,1,National,0
NOR2020,2025-02-03,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Rogaland,Sandnes,Sandnes,58.8517,5.7362,1,National,0
NOR2021,2025-02-05,1,Protests,Peaceful protest,Protesters (Norway),Action Group for Palestine,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media,0
NOR2023,2025-01-29,1,Protests,Peaceful protest,Protesters (Norway),Labor Group (Norway),,,Norway,Innlandet,Hamar,Hamar,60.7948,11.0749,1,Other-Subnational,0
NOR2025,2025-02-01,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Trondelag,Trondheim,Trondheim,63.4365,10.3981,1,National,0
NOR2026,2025-02-08,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee; Norway's Palestine Committee; Palestinian Group (Norway); Students (Norway),,,Norway,Trondelag,Trondheim,Trondheim,63.4365,10.3981,1,Other,0
NOR2028,2025-02-10,1,Protests,Peaceful protest,Protesters (Norway),Fishers (Norway),,,Norway,Troms og Finnmark,Vadso,Vadso,70.0741,29.7497,2,National,0
NOR2029,2025-02-11,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Agder,Kristiansand,Kristiansand,58.1456,7.9872,1,National,0
NOR2032,2025-02-12,1,Protests,Peaceful protest,Protesters (Norway),Action Group for Palestine,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media,0
NOR2037,2025-02-15,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other,0
NOR2039,2025-02-15,1,Protests,Peaceful protest,Protesters (Norway),,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,New media,0
NOR2040,2025-02-15,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee; Students (Norway),,,Norway,Trondelag,Trondheim,Trondheim,63.4365,10.3981,1,Other,0
NOR2041,2025-02-17,1,Protests,Protest with intervention,Protesters (Norway),,Police Forces of Norway (2013-),,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,National,0
NOR2042,2025-02-21,1,Protests,Peaceful protest,Protesters (Slovakia),,,,Norway,Oslo,Oslo,Oslo,59.911,10.7531,1,Regional,0
NOR2045,2025-02-22,1,Protests,Peaceful protest,Protesters (Norway),KK: Struggle Committee,,,Norway,Vestland,Bergen,Bergen,60.3926,5.3198,1,Other,0
