event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
TOG386,2019-12-23,1,Strategic developments,Arrests,Police Forces of Togo (2005-),,Civilians (Togo),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,International,0
TOG385,2019-12-23,1,Strategic developments,Arrests,Police Forces of Togo (2005-),,Civilians (Togo),,Togo,Plateaux,Kloto,Kpalime,6.9,0.6333,1,International,0
TOG384,2019-12-13,1,Protests,Peaceful protest,Protesters (Togo),Women (Togo),,,Togo,Kara,Bassar,Bassar,9.2602,0.7811,1,National,0
TOG382,2019-11-23,1,Battles,Armed clash,Unidentified Armed Group (Togo),,Police Forces of Togo (2005-) Gendarmerie,,Togo,Centrale,Tchaoudjo,Sokode,8.9833,1.1333,1,International,0
TOG376,2019-09-19,1,Protests,Peaceful protest,Protesters (Togo),,,,Togo,Savanes,Cinkasse,Cinkasse,11.1038,0.0094,1,National,0
TOG371,2019-08-20,1,Riots,Violent demonstration,Rioters (Togo),,Police Forces of Togo (2005-),,Togo,Maritime,Zio,Gbama Kope,6.2711,1.2656,1,National,0
TOG368,2019-07-21,1,Violence against civilians,Attack,Military Forces of Togo (2005-),,Civilians (Togo),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0
TOG353,2019-04-06,1,Protests,Protest with intervention,Protesters (Togo),MMLK: Martin Luther King Movement,Police Forces of Togo (2005-),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,Regional,0
TOG354,2019-04-13,1,Protests,Peaceful protest,Protesters (Togo),PNP: Pan African National Party,,,Togo,Centrale,Tchaoudjo,Sokode,8.9833,1.1333,1,New media,0
TOG355,2019-04-13,1,Riots,Violent demonstration,Rioters (Togo),PNP: Pan African National Party,Police Forces of Togo (2005-),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0
TOG356,2019-04-13,1,Protests,Excessive force against protesters,Protesters (Togo),PNP: Pan African National Party,Police Forces of Togo (2005-),,Togo,Kara,Assoli,Bafilo,9.35,1.2667,1,New media-National,1
TOG357,2019-04-13,1,Protests,Peaceful protest,Protesters (Togo),PNP: Pan African National Party,,,Togo,Maritime,Bas-Mono,Afagnan-Bletta,6.5,1.6167,1,National,0
TOG359,2019-04-13,1,Violence against civilians,Attack,Unidentified Armed Group (Togo),,Civilians (Ivory Coast),PNP: Pan African National Party; Private Security Forces (Togo),Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National-Regional,0
TOG360,2019-04-14,1,Strategic developments,Arrests,Police Forces of Togo (2005-),,Civilians (Togo),PNP: Pan African National Party,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0
TOG361,2019-04-12,3,Strategic developments,Arrests,Police Forces of Togo (2005-),,Islamist Militia (Burkina Faso),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,3,National-International,0
TOG362,2019-05-09,1,Strategic developments,Other,Government of Togo (2005-),,,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,3,International,0
TOG363,2019-04-28,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Togo),,Civilians (Togo),Journalists (Togo),Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,Other,0
TOG364,2019-06-17,1,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Civilians (Nigeria),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,0
TOG366,2019-06-23,1,Riots,Mob violence,Rioters (Togo),Vigilante Group (Togo),Civilians (Togo),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,National,1
TOG367,2019-06-30,2,Battles,Armed clash,Gangan Communal Militia (Togo),,Tchokossi Communal Militia (Togo),,Togo,Savanes,Oti,Gando Namoni,10.3325,0.7447,1,National-International,4
TOG369,2019-07-21,1,Violence against civilians,Attack,Military Forces of Togo (2005-),,Civilians (Togo),,Togo,Plateaux,Agou,Atakpame,6.5833,0.75,2,National,0
TOG377,2019-10-10,1,Battles,Armed clash,Military Forces of Togo (2005-),,Police Forces of Togo (2005-) Forest Guards,,Togo,Maritime,Zio,Davie,6.3847,1.205,1,Regional,0
TOG378,2019-11-18,1,Violence against civilians,Attack,Police Forces of Togo (2005-),,Civilians (Togo),Students (Togo),Togo,Kara,Kozah,Kara,9.5489,1.1977,1,National,0
TOG379,2019-11-23,1,Battles,Armed clash,Unidentified Armed Group (Togo),,Police Forces of Togo (2005-) Gendarmerie,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,Regional,0
TOG380,2019-11-23,1,Battles,Armed clash,Unidentified Armed Group (Togo),,Police Forces of Togo (2005-) Gendarmerie,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,Regional,0
TOG381,2019-11-23,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Togo),,Civilians (Togo),,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,Regional,0
TOG383,2019-11-27,1,Protests,Peaceful protest,Protesters (Togo),FCTD: Citizen Togo Standing Front,,,Togo,Maritime,Lome Commune,Lome,6.1287,1.2215,1,Regional-International,0
TOG387,2019-12-26,1,Protests,Excessive force against protesters,Protesters (Togo),,Military Forces of Togo (2005-),,Togo,Kara,Kozah,Kara,9.5489,1.1977,2,National,3
TOG388,2019-12-15,3,Violence against civilians,Attack,Unidentified Communal Militia (Togo),,Civilians (Togo),Adja Ethnic Group (Togo),Togo,Kara,Bassar,Bandjeli,9.4271,0.6226,1,National,0
