event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
AUT2026,2025-01-09,1,Protests,Peaceful protest,Protesters (Austria),Grannies Against the Right (Austria); RKP: Revolutionary Communist Party (Germany); Women (Austria),,,Austria,Steiermark,Graz,Graz,47.0711,15.4383,1,Subnational-National,0
AUT2027,2025-01-09,1,Protests,Peaceful protest,Protesters (Austria),Christian Group (Austria),,,Austria,Tirol,Innsbruck-Stadt,Innsbruck,47.2654,11.3929,1,Subnational-National,0
AUT2028,2025-01-09,1,Protests,Peaceful protest,Protesters (Austria),Christian Group (Austria),,,Austria,Salzburg,Salzburg,Salzburg,47.7994,13.044,1,National-Regional,0
AUT2029,2025-01-09,1,Protests,Peaceful protest,Protesters (Austria),Greenpeace; SOS Fellow Human Being,,,Austria,Wien,Wien 1-Innere Stadt,Wien - Inner City,48.2088,16.3702,1,National-Regional,0
AUT2031,2025-01-06,1,Protests,Peaceful protest,Protesters (Austria),"MFG: Austria People, Freedom, Fundamental Rights; The Greens (Austria)",,,Austria,Wien,Wien 7-Neubau,Wien - Neubau,48.2018,16.349,1,New media,0
AUT2033,2025-01-06,1,Protests,Peaceful protest,Protesters (Austria),,,,Austria,Wien,,Wien,48.2085,16.3721,1,New media,0
AUT2037,2025-01-16,1,Protests,Peaceful protest,Protesters (Austria),Labor Group (Austria); OGB: Austrian Trade Union Federation; Vida,,,Austria,Tirol,Innsbruck-Stadt,Innsbruck,47.2654,11.3929,1,New media,0
AUT2041,2025-01-16,1,Protests,Peaceful protest,Protesters (Austria),Students (Austria),,,Austria,Wien,Wien 1-Innere Stadt,Wien - Inner City,48.2088,16.3702,1,New media-National,0
AUT2042,2025-01-16,1,Protests,Peaceful protest,Protesters (Austria),Catholic Christian Group (Austria); Grannies Against the Right (Austria); Women (Austria),,,Austria,Tirol,Innsbruck-Stadt,Innsbruck,47.2654,11.3929,1,National,0
AUT2043,2025-01-23,1,Protests,Peaceful protest,Protesters (Austria),Grannies Against the Right (Austria); Women (Austria),,,Austria,Niederosterreich,Amstetten,Amstetten,48.1203,14.8753,1,Subnational-National,0
AUT2044,2025-01-23,1,Protests,Peaceful protest,Protesters (Austria),Labor Group (Austria); Vida,,,Austria,Karnten,Klagenfurt Stadt,Klagenfurt,46.6231,14.308,1,National,0
AUT2045,2025-01-23,1,Protests,Peaceful protest,Protesters (Austria),Labor Group (Austria); Vida,,,Austria,Wien,,Wien,48.2085,16.3721,1,National,0
AUT2046,2025-01-23,1,Protests,Peaceful protest,Protesters (Austria),Labor Group (Austria),,,Austria,Oberosterreich,Steyr,Steyr-Stadt,48.0391,14.4194,1,Subnational,0
AUT2048,2025-01-25,1,Protests,Peaceful protest,Protesters (Austria),OGR: Offensive Against the Right,,,Austria,Steiermark,Graz,Graz,47.0711,15.4383,1,National,0
AUT2051,2025-02-04,1,Protests,Peaceful protest,Protesters (Austria),LGBTQ+ (Austria); Women (Austria),,,Austria,Wien,Wien 9-Alsergrund,Wien - Alsergrund,48.2227,16.3583,1,National,0
AUT2054,2025-02-15,1,Violence against civilians,Attack,Unidentified Armed Group (Austria),Islamic State (IS),Civilians (Austria),,Austria,Karnten,Villach,Villach,46.6167,13.8501,1,Other-National,1
AUT2052,2025-02-20,1,Protests,Peaceful protest,Protesters (Austria),Grannies Against the Right (Austria); Women (Austria),,,Austria,Niederosterreich,Amstetten,Amstetten,48.1203,14.8753,1,National,0
AUT2038,2025-01-11,1,Protests,Peaceful protest,Protesters (Austria),Government of Austria (2019-2025); SPOE: Social Democratic Party of Austria,,,Austria,Steiermark,Bruck-Murzzuschlag,Bruck an der Mur,47.4116,15.2731,1,Subnational-National,0
AUT2053,2025-02-18,1,Protests,Peaceful protest,Protesters (Austria),Government of Austria (2019-2025); SPOE: Social Democratic Party of Austria,,,Austria,Karnten,Villach,Villach,46.6167,13.8501,1,National,0
AUT2056,2025-02-21,1,Protests,Peaceful protest,Protesters (Austria),,,,Austria,Wien,,Wien,48.2085,16.3721,1,Regional,0
AUT2058,2025-02-27,1,Protests,Peaceful protest,Protesters (Austria),,,,Austria,Wien,Wien 1-Innere Stadt,Wien - Inner City,48.2088,16.3702,1,National,0
AUT2059,2025-03-05,1,Protests,Peaceful protest,Protesters (Austria),Grannies Against the Right (Austria); Women (Austria),,,Austria,Oberosterreich,Ried im Innkreis,Ried im Innkreis,48.2083,13.4882,1,Subnational-National,0
