event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
KEN13295,2024-01-02,2,Battles,Armed clash,Police Forces of Kenya (2022-),Military Forces of Kenya (2022-),Al Shabaab,,Kenya,Garissa,Dadaab,Saretho,-0.0744,39.9753,2,New media-National,0
KEN13303,2024-01-02,1,Riots,Mob violence,Rioters (Kenya),Refugees/IDPs (Kenya),Civilians (Kenya),,Kenya,Turkana,Turkana West,Kakuma,3.717,34.867,1,National,0
KEN13316,2024-01-04,2,Protests,Peaceful protest,Protesters (Kenya),Government of Kenya (2022-); Kenya Kwanza Alliance; UDA: United Democratic Alliance,,,Kenya,Samburu,Samburu East,Archers Post,0.644,37.6752,1,National,0
KEN13321,2024-01-05,2,Protests,Peaceful protest,Protesters (Kenya),Labor Group (Kenya),,,Kenya,Nyandarua,Kinangop,Nyandarua,-0.55,36.6167,1,National,0
KEN13306,2024-01-03,2,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Police Forces of Kenya (2022-) General Service Unit,,Kenya,Garissa,Lagdera,Benane,0.5,38.6667,1,National,0
KEN13385,2024-01-08,1,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Baringo,Koibatek,Tinet,0.0663,35.5839,1,National,0
KEN13405,2024-01-11,2,Strategic developments,Other,Government of Kenya (2022-),,,,Kenya,Isiolo,Isiolo,Daaba,0.5417,37.7474,1,National,0
KEN13416,2024-01-11,1,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Police Forces of Kenya (2022-) National Police Reservists,,Kenya,Mandera,Mandera South,Fincharo,2.8467,40.5284,1,National-Regional,0
KEN13420,2024-01-02,1,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),Police Forces of Kenya (2022-) National Police Reservists,,Kenya,Laikipia,Laikipia North,Mugie,0.7096,36.5904,1,National,0
KEN13430,2024-01-17,1,Battles,Armed clash,Police Forces of Kenya (2022-) National Police Reservists,Police Forces of Kenya (2022-) General Service Unit,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Laikipia,Laikipia West,Ol Ari Nyiro,0.5699,36.3982,1,National,0
KEN13436,2024-01-14,1,Strategic developments,Change to group/activity,Al Shabaab,,,,Kenya,Mandera,Mandera South,Bur Mayo,2.9833,40.2667,2,National-International,0
KEN13446,2024-01-19,2,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),Civilians (Kenya),,Kenya,Kwale,Lunga Lunga,Kidomaya,-4.5632,39.1774,1,National,1
KEN13467,2024-01-17,2,Protests,Peaceful protest,Protesters (Kenya),Students (Kenya),,,Kenya,Elgeyo Marakwet,Keiyo North,Iten,0.6702,35.5077,2,National,0
KEN13474,2024-01-19,2,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Lamu,Lamu West,Lamu,-2.2717,40.902,3,National,0
KEN13475,2024-01-19,2,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Taita Taveta,Taveta,Jipe,-3.5641,37.7696,1,National,0
KEN13476,2024-01-19,2,Protests,Peaceful protest,Protesters (Kenya),,,,Kenya,Turkana,Turkana West,Kakuma,3.717,34.867,1,National,0
KEN13380,2024-01-05,2,Protests,Peaceful protest,Protesters (Kenya),Haki Africa,,,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,1,National,0
