event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BGD23422,2023-01-01,1,Violence against civilians,Attack,Police Forces of India (2014-) Border Security Force,,Civilians (Bangladesh),Cattle Traders (Bangladesh),Bangladesh,Rangpur,Lalmonirhat,Burimari,26.4008,88.9369,1,National,1
BGD23432,2023-01-01,1,Riots,Mob violence,Rioters (Bangladesh),Lama Communal Group (Bangladesh),,,Bangladesh,Chittagong,Bandarban,Lama,21.7744,92.2191,1,National,0
BGD23434,2023-01-01,1,Riots,Mob violence,Rioters (Bangladesh),Jubo League; AL: Bangladesh Awami League,Rioters (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh); AL: Bangladesh Awami League,Bangladesh,Chittagong,Chittagong,Mirsharai,22.7785,91.57,2,National,0
BGD23451,2023-01-02,1,Riots,Mob violence,Rioters (Bangladesh),JCD: Bangladesh Jatiotabadi Chatra Dal; Students (Bangladesh),Rioters (Bangladesh),JCD: Bangladesh Jatiotabadi Chatra Dal; Students (Bangladesh),Bangladesh,Barisal,Barisal,Barisal,22.705,90.3701,1,National,0
BGD23475,2023-01-05,1,Riots,Mob violence,Rioters (Bangladesh),Didarullah Communal Group (Bangladesh),,,Bangladesh,Barisal,Bhola,Daulatkhan,22.5997,90.7414,2,National,0
BGD23547,2023-01-04,1,Protests,Peaceful protest,Protesters (Bangladesh),Labor Group (Bangladesh),,,Bangladesh,Sylhet,Habiganj,Nabiganj,24.5667,91.5167,2,National,0
BGD23592,2023-01-09,1,Violence against civilians,Attack,Unidentified Armed Group (Bangladesh),,Civilians (Bangladesh),Journalists (Bangladesh),Bangladesh,Chittagong,Brahmanbaria,Brahmanbaria,23.9746,91.1123,1,National,1
BGD23597,2023-01-08,1,Riots,Mob violence,Rioters (Bangladesh),Sirajganj Communal Group (Bangladesh),Rioters (Bangladesh),Sirajganj Communal Group (Bangladesh),Bangladesh,Rajshahi,Sirajganj,Sirajganj,24.4577,89.708,2,National,0
BGD23598,2023-01-08,1,Riots,Mob violence,Rioters (Bangladesh),AL: Bangladesh Awami League,Civilians (Bangladesh),Independent Politicians (Bangladesh),Bangladesh,Mymensingh,Netrakona,Durgapur,25.1252,90.6775,1,National,0
BGD23599,2023-01-08,1,Riots,Mob violence,Rioters (Bangladesh),Bengali Ethnic Group (Bangladesh),Rioters (Bangladesh),Turi Communal Group (Bangladesh); Singh Communal Group (Bangladesh); Mahato Communal Group (Bangladesh); Barmon Communal Group (Bangladesh),Bangladesh,Rajshahi,Bogra,Sherpur,24.6765,89.4159,2,National,0
