event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
TAZ720,2017-11-29,1,Strategic developments,Arrests,Police Forces of Tanzania (1964-),,CHADEMA: Party for Democracy and Progress,,Tanzania,Morogoro,Morogoro Urban,Morogoro,-6.8167,37.6667,1,International,0
TAZ721,2017-11-12,1,Violence against civilians,Attack,Baha Communal Militia (Tanzania),,Civilians (Burundi),Refugees/IDPs (Burundi),Tanzania,Kigoma,Kasulu,Nyarugusu Refugee Camp,-4.2251,30.394,1,International,0
TAZ717,2017-11-03,1,Battles,Armed clash,Police Forces of Tanzania (1964-),,Unidentified Armed Group (Tanzania),,Tanzania,Shinyanga,Kahama Township Authority,Kahama,-3.8333,32.6,1,National,5
TAZ716,2017-10-30,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),,Tanzania,Dar es Salaam,Kinondoni,Ubungo,-6.7833,39.2,1,National,0
TAZ712,2017-09-20,1,Riots,Violent demonstration,Rioters (Tanzania),,Police Forces of Tanzania (1964-),,Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,National-International,0
TAZ711,2017-09-15,1,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Tanzania (1964-),,Civilians (Tanzania),,Tanzania,Arusha,Monduli,Monduli,-3.3,36.45,1,National,3
TAZ710,2017-09-07,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),CHADEMA: Party for Democracy and Progress,Tanzania,Dodoma,Dodoma Urban,Dodoma,-6.1833,35.75,1,International,0
TAZ709,2017-08-28,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),Government of Tanzania (1964-),Tanzania,Kagera,Karagwe,Karagwe,-1.4375,31.1736,2,National,0
TAZ708,2017-08-26,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Tanzania),,,,Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,National,0
TAZ707,2017-08-19,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (South Africa),,Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,Local partner-Other,1
TAZ706,2017-08-16,1,Protests,Protest with intervention,Protesters (Tanzania),,Police Forces of Tanzania (1964-),,Tanzania,Mara,Tarime,North Mara,-1.4667,34.5167,1,National,0
TAZ704,2017-08-09,1,Battles,Armed clash,Police Forces of Tanzania (1964-),,Unidentified Armed Group (Tanzania),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,National-International,13
TAZ703,2017-07-31,2,Battles,Armed clash,Militia (Miners),,Militia (Miners),,Tanzania,Manyara,Simanjiro,Orkesumet,-4.4628,37.1869,2,National,1
TAZ701,2017-07-16,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),,Tanzania,Pwani,Rufiji,Ikwiriri,-7.9562,38.9716,2,National,1
TAZ700,2017-07-09,1,Violence against civilians,Attack,Unidentified Armed Group (Kenya),,Civilians (Tanzania),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,1,National,1
TAZ699,2017-07-07,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,National,1
TAZ698,2017-07-05,1,Battles,Armed clash,Unidentified Armed Group (Tanzania),,Police Forces of Tanzania (1964-),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,International,2
TAZ696,2017-06-27,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,National,2
TAZ695,2017-06-21,1,Battles,Armed clash,Unidentified Armed Group (Tanzania),,Police Forces of Tanzania (1964-),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,International,2
TAZ691,2017-06-15,3,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),,Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,3,International,117
TAZ693,2017-06-15,3,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),,Tanzania,Mara,Tarime,Mara,-1.5,34.55,3,International,28
TAZ694,2017-06-15,3,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),,Tanzania,Mbeya,Mbeya Urban,Mbeya,-8.9,33.45,3,International,33
TAZ689,2017-06-08,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),CUF: Civic United Front,Tanzania,Pwani,Rufiji,Ikwiriri,-7.9562,38.9716,2,National,0
TAZ690,2017-06-08,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Tanzania (1964-),,Civilians (Tanzania),,Tanzania,Pwani,Rufiji,Nyamisati,-7.7863,39.2742,1,National,0
TAZ688,2017-06-07,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),,Tanzania,Pwani,Rufiji,Ikwiriri,-7.9562,38.9716,1,National,1
TAZ687,2017-05-17,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),CCM: Chama Cha Mashinani,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,National,1
TAZ686,2017-05-13,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),CCM: Chama Cha Mashinani,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,National,1
TAZ685,2017-05-05,1,Protests,Peaceful protest,Protesters (Tanzania),,,,Tanzania,Arusha,Arusha Urban,Arusha,-3.3666,36.6833,1,National,0
TAZ684,2017-04-29,1,Violence against civilians,Attack,Unidentified Communal Militia (Tanzania),,Civilians (Tanzania),Unidentified Communal Militia (Tanzania),Tanzania,Pwani,Rufiji,Ikwiriri,-7.9562,38.9716,1,National,1
TAZ682,2017-04-18,1,Protests,Peaceful protest,Protesters (Tanzania),Farmers (Tanzania),,,Tanzania,Lindi,Kilwa,Kilwa Masoko,-8.9251,39.5131,1,National,0
TAZ681,2017-04-13,1,Battles,Armed clash,Unidentified Armed Group (Tanzania),,Police Forces of Tanzania (1964-),,Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,International,8
TAZ680,2017-03-08,1,Protests,Peaceful protest,Protesters (Tanzania),,,,Tanzania,Arusha,Ngorongoro,Loliondo,-2.05,35.6167,1,National,0
TAZ678,2017-01-24,1,Battles,Armed clash,Maasai Ethnic Militia (Tanzania),Pastoralists (Tanzania),Police Forces of Tanzania (1964-),,Tanzania,Arusha,Arusha,Mount Meru,-3.2467,36.7483,1,National,4
TAZ677,2017-01-11,2,Protests,Peaceful protest,Protesters (Tanzania),Protesters (China),,,Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,International,0
TAZ786,2017-01-06,2,Strategic developments,Other,Government of Tanzania (1964-),,Civilians (Tanzania),Aid Workers (Tanzania),Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,Other,0
TAZ675,2017-01-02,2,Violence against civilians,Attack,Unidentified Communal Militia (Tanzania),,Civilians (Tanzania),,Tanzania,Morogoro,Morogoro Urban,Morogoro,-6.8167,37.6667,2,National,1
TAZ676,2017-01-02,2,Violence against civilians,Attack,Unidentified Communal Militia (Tanzania),,Civilians (Tanzania),,Tanzania,Morogoro,Morogoro Urban,Morogoro,-6.8167,37.6667,2,National,0
TAZ679,2017-01-02,1,Violence against civilians,Attack,Police Forces of Tanzania (1964-),,Civilians (International),Refugees/IDPs (Tanzania),Tanzania,Kigoma,Kibondo,Kibondo,-3.584,30.7182,2,Regional,0
TAZ697,2017-06-29,1,Battles,Armed clash,Unidentified Armed Group (Tanzania),,Police Forces of Tanzania (1964-),,Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,2,International,4
TAZ927,2017-11-15,2,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),Journalists (Tanzania),Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,1,Other,1
TAZ702,2017-07-25,1,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),Women (Tanzania),Tanzania,Tabora,Nzega,Undomo,-4.1454,33.2157,1,International,5
TAZ718,2017-11-07,1,Strategic developments,Other,Police Forces of Tanzania (1964-),,Civilians (Tanzania),ACT: Alliance for Change and Transparency,Tanzania,Dar es Salaam,Kinondoni,Kijitonyama,-6.7757,39.2354,3,International,0
TAZ952,2017-11-21,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),Journalists (Tanzania),Tanzania,Pwani,Rufiji,Kibiti,-7.7218,38.9375,1,Other-National,0
TAZ970,2017-03-23,1,Violence against civilians,Attack,Police Forces of Tanzania (1964-),,Civilians (Tanzania),Government of Tanzania (1964-),Tanzania,Dar es Salaam,Ilala,Dar es Salaam,-6.8167,39.2833,1,National,0
TAZ705,2017-08-15,1,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),,Tanzania,Geita,Geita,Geita,-2.8666,32.1667,2,National,1
TAZ692,2017-06-15,3,Riots,Mob violence,Rioters (Tanzania),Vigilante Group (Tanzania),Civilians (Tanzania),,Tanzania,Geita,Geita,Geita,-2.8666,32.1667,3,International,26
TAZ757,2017-10-30,1,Battles,Armed clash,Military Forces of Tanzania (1964-),,Military Forces of Tanzania (1964-),,Tanzania,Dar es Salaam,Ilala,Ilala,-6.8,39.2833,1,National,1
TAZ683,2017-04-21,1,Violence against civilians,Attack,Unidentified Armed Group (Tanzania),,Civilians (Tanzania),Journalists (Tanzania),Tanzania,Dar es Salaam,Kinondoni,Mabibo,-6.8,39.2167,1,National-International,0
