event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PER801,2020-01-27,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Lambayeque,Lambayeque,Lambayeque,-6.7011,-79.9061,1,National,0
PER805,2020-01-28,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Cusco,Chumbivilcas,Capacmarca,-14.0072,-72.0028,2,National,0
PER811,2020-01-29,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Cusco,Chumbivilcas,Capacmarca,-14.0072,-72.0028,2,National,0
PER833,2020-02-06,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Cusco,Canchis,Sicuani,-14.2694,-71.2261,1,National,0
PER803,2020-01-27,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Lambayeque,Lambayeque,San Jose,-6.7661,-79.9701,1,National,0
PER869,2020-02-21,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0
PER773,2020-01-14,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Apurimac,Andahuaylas,Andahuaylas,-13.6564,-73.3899,1,National,0
PER853,2020-02-13,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Apurimac,Chincheros,Chincheros,-13.5188,-73.7248,2,National,0
PER772,2020-01-14,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Apurimac,Abancay,Abancay,-13.6339,-72.8814,1,National,0
PER786,2020-01-21,1,Protests,Peaceful protest,Protesters (Peru),Farmers (Peru),,,Peru,Apurimac,Cotabambas,Challhuahuacho,-14.1167,-72.25,2,National,0
PER852,2020-02-13,1,Protests,Peaceful protest,Protesters (Peru),Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0
PER815,2020-01-30,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Cajamarca,Cajamarca,San Juan,-7.3,-78.5,1,International,0
PER794,2020-01-24,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Peru),,Civilians (Peru),Women (Peru); Labor Group (Peru),Peru,Piura,Talara,El Alto,-4.2683,-81.2187,1,Subnational,0
PER784,2020-01-20,1,Protests,Peaceful protest,Protesters (Peru),Health Workers (Peru),,,Peru,Piura,Talara,Talara,-4.5772,-81.2719,1,Subnational,0
PER778,2020-01-14,1,Protests,Peaceful protest,Protesters (Peru),Indigenous Group (Peru),,,Peru,Loreto,Loreto,Santa Rita de Castilla,-4.5908,-74.3805,1,Subnational,0
PER824,2020-02-03,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Cusco,Espinar,Pallpata,-14.8823,-71.2134,1,National,0
PER757,2020-01-07,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Cusco,Cusco,Cusco,-13.5226,-71.9673,1,National,0
PER834,2020-02-06,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Tacna,Tacna,Tacna,-18.0147,-70.2536,1,National,0
PER756,2020-01-07,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,National,0
PER857,2020-02-15,1,Battles,Armed clash,Unidentified Armed Group (Colombia),,FARC Dissident: Revolutionary Armed Forces of Colombia Dissident Faction,,Peru,Loreto,Requena,Nueva Alejandria,-6.0075,-73.6924,2,National,5
PER758,2020-01-08,1,Protests,Peaceful protest,Protesters (Peru),Health Workers (Peru),,,Peru,Callao,Prov. Const. del Callao,Callao,-12.0566,-77.1181,1,National,0
PER753,2020-01-06,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Arequipa,Arequipa,Arequipa,-16.3989,-71.535,1,National,0
PER785,2020-01-21,1,Protests,Peaceful protest,Protesters (Peru),Women (Peru),,,Peru,Pasco,Pasco,Cerro De Pasco,-10.6675,-76.2567,1,National,0
PER767,2020-01-10,1,Protests,Peaceful protest,Protesters (Peru),Lawyers (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0
PER829,2020-02-04,1,Protests,Peaceful protest,Protesters (Peru),,,,Peru,Cusco,Canchis,Sicuani,-14.2694,-71.2261,1,National,0
PER762,2020-01-09,1,Protests,Peaceful protest,Protesters (Peru),Students (Peru),,,Peru,Cusco,Cusco,Cusco,-13.5226,-71.9673,1,National,0
PER855,2020-02-14,1,Protests,Peaceful protest,Protesters (Peru),Health Workers (Peru); Labor Group (Peru),,,Peru,Lambayeque,Chiclayo,Chiclayo,-6.7714,-79.8409,1,National,0
