event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PHL16392,2024-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Police Forces of the Philippines (2022-) Barangay Tanod,Philippines,Calabarzon,Batangas,Cogunan,14.0744,120.6646,1,National,1
PHL16399,2024-01-02,1,Protests,Peaceful protest,Protesters (Philippines),PISTON: United Nationwide Association of Drivers and Operators; Labor Group (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Pasig,14.5869,121.0614,1,National,0
PHL16404,2024-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Government of the Philippines (2022-),Philippines,Ilocos Region,Pangasinan,Salay,16.0796,120.3976,1,National,1
PHL16407,2024-01-06,1,Battles,Armed clash,NPA: New People's Army,,Military Forces of the Philippines (2022-),,Philippines,Eastern Visayas,Eastern Samar,Borongan,11.6081,125.4319,1,National-International,1
PHL16408,2024-01-06,1,Violence against civilians,Attack,Unidentified Armed Group (Philippines),,Civilians (Philippines),Former Government of the Philippines (2022-),Philippines,Calabarzon,Quezon,Cabay,13.8828,121.3735,1,National,1
PHL16409,2024-01-06,1,Protests,Peaceful protest,Protesters (Philippines),EcoWaste Coalition,,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,1,National,0
PHL16410,2024-01-06,1,Strategic developments,Disrupted weapons use,Police Forces of the Philippines (2022-),,NPA: New People's Army,,Philippines,Northern Mindanao,Bukidnon,San Rafael,8.0616,124.5791,1,National,0
PHL16413,2024-01-10,1,Protests,Peaceful protest,Protesters (Philippines),,,,Philippines,National Capital Region,Metropolitan Manila,Manila,14.6042,120.9822,1,National,0
PHL16414,2024-01-10,1,Protests,Peaceful protest,Protesters (Philippines),PMCJ: Philippine Movement for Climate Justice; Sanlakas; Fishers (Philippines),,,Philippines,National Capital Region,Metropolitan Manila,Quezon City,14.6488,121.0509,1,National,0
PHL16418,2024-01-15,1,Strategic developments,Disrupted weapons use,Military Forces of the Philippines (2022-),,NPA: New People's Army,,Philippines,Eastern Visayas,Samar,Mabini,11.4825,125.1815,1,National,0
