event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
IND70044,2020-01-15,2,Protests,Peaceful protest,Protesters (India),DF: Dogra Front; Shiv Sena,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND69959,2020-01-15,2,Protests,Peaceful protest,Protesters (India),Labor Group (India); CAIT: Confederation of All India Traders,,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
IND71636,2020-02-10,2,Protests,Peaceful protest,Protesters (India),Christian Group (India),,,India,Nagaland,Kohima,Kohima,25.6576,94.1051,1,Subnational,0
IND71867,2020-02-16,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-) District Voluntary Force,Police Forces of India (2014-) Special Operations Group,India,Odisha,Malkangiri,Bondapada,18.4454,82.3413,2,Other-National,0
IND71876,2020-02-17,1,Strategic developments,Looting/property destruction,CPI (Maoist): Communist Party of India (Maoist),,Civilians (India),Labor Group (India),India,Chhattisgarh,Balrampur,Balrampur,23.6118,83.6098,2,Other-National,0
IND71877,2020-02-17,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-),,India,Maharashtra,Gadchiroli,Bhamragarh,19.412,80.5847,2,Other-National,1
IND71909,2020-02-20,1,Protests,Peaceful protest,Protesters (India),Teachers (India),,,India,Bihar,Patna,Patna,25.5941,85.1356,1,National,0
IND71911,2020-02-21,1,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Chhattisgarh,Kabirdham,Kawardha,22.0085,81.2314,1,National,0
IND72020,2020-02-16,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND72025,2020-02-17,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND72050,2020-02-22,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND72035,2020-02-19,1,Riots,Violent demonstration,Rioters (India),Labor Group (India),Police Forces of India (2014-),,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND72049,2020-02-22,1,Protests,Peaceful protest,Protesters (India),JKNPP: Jammu and Kashmir National Panthers Party,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND72048,2020-02-22,1,Protests,Peaceful protest,Protesters (India),IYC: Indian Youth Congress,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND72021,2020-02-16,1,Protests,Peaceful protest,Protesters (India),IYC: Indian Youth Congress,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND71896,2020-02-19,1,Protests,Peaceful protest,Protesters (India),,,,India,Jharkhand,Dhanbad,Dhanbad,23.8019,86.4432,2,National,0
IND71879,2020-02-17,1,Protests,Peaceful protest,Protesters (India),Lawyers (India),,,India,Jharkhand,Palamu,Daltonganj,24.0397,84.0658,1,National,0
IND72034,2020-02-18,1,Protests,Peaceful protest,Protesters (India),SFI: Students Federation of India; Students (India),,,India,Himachal Pradesh,Shimla,Shimla,31.1044,77.1666,1,National,0
IND71852,2020-02-13,1,Riots,Mob violence,Rioters (India),Vigilante Group (India),Civilians (India),,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,1
IND72019,2020-02-16,1,Protests,Peaceful protest,Protesters (India),AIMC: All India Mahila Congress; Women (India),,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND71898,2020-02-19,1,Protests,Peaceful protest,Protesters (India),Students (India),,,India,Odisha,Mayurbhanj,Murada,21.8503,86.9989,2,Subnational,0
IND71893,2020-02-19,1,Riots,Mob violence,Rioters (India),INC: Indian National Congress,Rioters (India),INC: Indian National Congress,India,Odisha,Bhadrak,Bhadrak,21.0583,86.4957,1,National,0
IND71902,2020-02-19,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-) District Reserve Group,,India,Chhattisgarh,Sukma,Sukma,18.3901,81.6594,2,Other,0
IND71881,2020-02-17,1,Violence against civilians,Attack,CPI (Maoist): Communist Party of India (Maoist),,Civilians (India),,India,Jharkhand,Saraikela-Kharsawan,Kuchai,22.8536,85.7299,2,Other,1
IND71901,2020-02-19,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-),,India,Chhattisgarh,Narayanpur,Narayanpur,19.7179,81.2443,2,Other,1
IND71865,2020-02-15,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-) District Reserve Group,,India,Chhattisgarh,Sukma,Polampalli,18.1832,81.4119,2,Other,1
IND71873,2020-02-16,1,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; NCP: Nationalist Congress Party; INC: Indian National Congress,,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
IND71910,2020-02-20,1,Protests,Peaceful protest,Protesters (India),,,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
IND71854,2020-02-13,1,Protests,Peaceful protest,Protesters (India),,,,India,Madhya Pradesh,Shivpuri,Shivpuri,25.4237,77.6622,1,National,0
IND71887,2020-02-17,1,Riots,Violent demonstration,Rioters (India),Labor Group (India),Police Forces of India (2014-),,India,Gujarat,Rajkot,Rajkot,22.2916,70.7932,2,National,0
IND71671,2020-02-22,2,Violence against civilians,Attack,Police Forces of India (2014-),,Civilians (India),,India,Odisha,Mayurbhanj,Karanjia,21.7626,85.9732,2,National,0
IND71872,2020-02-16,1,Protests,Peaceful protest,Protesters (India),,,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
IND71916,2020-02-21,1,Protests,Peaceful protest,Protesters (India),Teachers (India),,,India,Bihar,Patna,Patna,25.5941,85.1356,1,National,0
IND71908,2020-02-20,1,Protests,Peaceful protest,Protesters (India),,,,India,Rajasthan,Udaipur,Kurabad,24.4533,73.9748,2,National,0
IND71853,2020-02-13,1,Protests,Peaceful protest,Protesters (India),Dalit Caste Group (India),,,India,Gujarat,Rajkot,Rajkot,22.2916,70.7932,1,National,0
IND71885,2020-02-17,1,Protests,Peaceful protest,Protesters (India),,,,India,Maharashtra,Palghar,Palghar,19.6969,72.7654,1,National,0
IND71888,2020-02-18,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Gujarat,Ahmadabad,Ahmedabad,23.0257,72.5872,1,National,0
IND71897,2020-02-19,1,Riots,Mob violence,Rioters (India),Vigilante Group (India); Students (India),Civilians (India),Teachers (India),India,Rajasthan,Udaipur,Kurabad,24.4533,73.9748,2,National,0
IND71874,2020-02-16,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Gujarat,Surat,Surat,21.1959,72.8302,2,National,0
IND71917,2020-02-22,1,Protests,Peaceful protest,Protesters (India),,,,India,Odisha,Mayurbhanj,Karanjia,21.7626,85.9732,2,National,0
IND72075,2020-02-23,1,Protests,Peaceful protest,Protesters (India),Bhim Army; Dalit Caste Group (India),,,India,Maharashtra,Aurangabad,Aurangabad,19.8775,75.3422,1,National,0
IND72078,2020-02-23,1,Violence against civilians,Attack,Unidentified Armed Group (India),,Civilians (India),Dalit Caste Group (India),India,Madhya Pradesh,Sagar,Sagar,23.8388,78.7387,2,National,0
IND72073,2020-02-22,1,Protests,Peaceful protest,Protesters (India),,,,India,Odisha,Jharsuguda,Jharsuguda,21.8543,84.0108,2,National,0
IND72112,2020-02-25,1,Protests,Peaceful protest,Protesters (India),Students (India); ABVP: Akhil Bharatiya Vidyarthi Parishad,,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
IND72125,2020-02-27,1,Protests,Peaceful protest,Protesters (India),,,,India,Maharashtra,Thane,Khardi,19.5884,73.3843,1,National,0
IND72081,2020-02-23,1,Riots,Mob violence,Rioters (India),,Civilians (India),Labor Group (India),India,Rajasthan,Karauli,Karauli,26.4983,77.0275,1,National,0
IND72103,2020-02-24,1,Protests,Peaceful protest,Protesters (India),Students (India),,,India,Jharkhand,Ranchi,Ranchi,23.3432,85.3094,1,National,0
IND72114,2020-02-26,1,Protests,Peaceful protest,Protesters (India),,,,India,Gujarat,Ahmadabad,Ahmedabad,23.0257,72.5872,1,National,0
IND72129,2020-02-28,1,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,,,India,Odisha,Bhadrak,Bhadrak,21.0583,86.4957,1,Subnational,0
IND72088,2020-02-23,1,Riots,Violent demonstration,Rioters (India),Bhim Army; Dalit Caste Group (India),,,India,Odisha,Sambalpur,Sambalpur,21.4684,83.9866,1,Subnational,0
IND72133,2020-02-28,1,Protests,Peaceful protest,Protesters (India),,,,India,Bihar,Patna,Patna,25.5941,85.1356,1,Subnational,0
IND72122,2020-02-26,1,Battles,Armed clash,CPI (Maoist): Communist Party of India (Maoist),,Police Forces of India (2014-) Special Task Force,,India,Chhattisgarh,Narayanpur,Narayanpur,19.7179,81.2443,2,Other,0
IND72084,2020-02-23,1,Explosions/Remote violence,Remote explosive/landmine/IED,CPI (Maoist): Communist Party of India (Maoist),,,,India,Jharkhand,Giridih,Madhuban,24.0037,86.147,1,Other,0
IND72064,2020-02-17,1,Protests,Peaceful protest,Protesters (India),Police Forces of India (2014-),,,India,Jharkhand,Ranchi,Ranchi,23.3432,85.3094,1,National,0
IND72083,2020-02-23,1,Protests,Peaceful protest,Protesters (India),RLP: Rashtriya Loktantrik Party,,,India,Rajasthan,Nagaur,Kheenvsar,26.9836,73.3811,1,National,0
IND72120,2020-02-26,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Maharashtra,Nashik,Nashik,19.9972,73.7909,1,National,0
IND72121,2020-02-26,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Maharashtra,Nashik,Nashik,19.9972,73.7909,2,National,0
IND72111,2020-02-25,1,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party,Protesters (India),INC: Indian National Congress,India,Maharashtra,Nashik,Nashik,19.9972,73.7909,1,National,0
IND72124,2020-02-27,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Rajasthan,Jaipur,Jaipur,26.9142,75.7872,3,National,0
IND72116,2020-02-26,1,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party,,,India,Rajasthan,Jaipur,Jaipur,26.9142,75.7872,1,National,0
IND72071,2020-02-22,1,Riots,Mob violence,Rioters (India),Vigilante Group (India),Civilians (India),,India,Chhattisgarh,Bastar,Jagdalpur,19.0813,82.0213,2,National,1
IND72113,2020-02-25,1,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party; Women (India),,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
IND72127,2020-02-27,1,Protests,Peaceful protest,Protesters (India),ABVP: Akhil Bharatiya Vidyarthi Parishad; Students (India),,,India,Gujarat,Surat,Surat,21.1959,72.8302,1,National,0
IND72072,2020-02-22,1,Protests,Peaceful protest,Protesters (India),,,,India,Maharashtra,Parbhani,Gangakhed,18.9669,76.7481,2,National,0
IND72134,2020-02-29,1,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Rajasthan,Jaipur,Nindar,27.0239,75.7605,1,National,0
IND72102,2020-02-24,1,Protests,Peaceful protest,Protesters (India),,,,India,Maharashtra,Pune,Pune,18.5195,73.8553,1,National,0
