event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
PAN3499,2025-01-01,2,Battles,Armed clash,Unidentified Armed Group (Panama),,Unidentified Armed Group (Panama),,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,1
PAN3500,2025-01-07,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama); SUNTRACS: Single Union of Construction and Associated Workers,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN3502,2025-01-08,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama); SUNTRACS: Single Union of Construction and Associated Workers,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN3503,2025-01-08,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama); SUNTRACS: Single Union of Construction and Associated Workers,,,Panama,Panama Oeste,Arraijan,Vacamonte,8.9146,-79.7012,1,National,0
PAN3504,2025-01-09,1,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN3505,2025-01-13,1,Protests,Peaceful protest,Protesters (Panama),Labor Group (Panama); SUNTRACS: Single Union of Construction and Associated Workers,,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN3506,2025-01-16,1,Protests,Protest with intervention,Protesters (Panama),Government of Panama (2019-); Labor Group (Panama),Police Forces of Panama (2019-),,Panama,Veraguas,Santiago,Santiago de Veraguas,8.0885,-80.9761,2,National,0
PAN3507,2025-01-21,1,Protests,Peaceful protest,Protesters (Panama),CONATO: National Council for Organized Workers; Labor Group (Panama),,,Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
PAN3508,2025-01-18,2,Protests,Peaceful protest,Protesters (Panama),Fishers (Panama); Labor Group (Panama),,,Panama,Chiriqui,David,Chiriqui,8.3929,-82.3199,1,National,0
PAN3510,2025-01-23,2,Protests,Peaceful protest,Protesters (Panama),,,,Panama,Herrera,Chitre,Chitre,7.9608,-80.4294,1,National,0
PAN3511,2025-01-31,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Panama),,Civilians (Panama),Judges (Panama),Panama,Panama,Panama,Panama City,8.9936,-79.5197,1,National,0
