event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BEN611,2022-01-06,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,Military Forces of Benin (2016-),,Benin,Atacora,Tanguieta,Hotel Pendjari,11.4102,1.5842,2,National-International,3
BEN614,2022-01-13,1,Riots,Mob violence,Rioters (Benin),,Police Forces of Benin (2016-),,Benin,Oueme,Seme-Podji,Seme-Krake,6.3794,2.7018,1,National,0
BEN615,2022-01-14,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),,Civilians (Benin),Pastoralists (Benin),Benin,Collines,Dassa-Zoume,Dassa-Zoume,7.7815,2.1836,2,National,0
BEN620,2022-01-24,1,Riots,Mob violence,Rioters (Benin),Christian Group (Benin),Civilians (Benin),Women (Benin); Farmers (Benin),Benin,Collines,Savalou,Monkpa,7.9229,2.0673,2,New media-National,0
BEN626,2022-02-08,1,Strategic developments,Looting/property destruction,Unidentified Communal Militia (Benin),Farmers (Benin),Civilians (Benin),Pastoralists (Benin),Benin,Donga,Bassila,Bassila,9.0029,1.6648,2,National,0
BEN622,2022-02-03,1,Protests,Protest with intervention,Protesters (Benin),Vodun Group (Benin),Police Forces of Benin (2016-),,Benin,Zou,Za-Kpota,Zakpota,7.2266,2.2125,2,National,0
BEN633,2022-02-18,1,Protests,Peaceful protest,Protesters (Benin),Labor Group (Benin),,,Benin,Littoral,Cotonou,Cotonou,6.3557,2.4353,1,National,0
BEN636,2022-02-20,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Alibori,Banikoara,Ounet,11.2288,2.4055,1,National,2
BEN642,2022-03-04,1,Riots,Mob violence,Rioters (Benin),Vodun Group (Benin),Civilians (Benin),,Benin,Zou,Abomey,Abomey,7.182,1.9936,2,National,0
BEN646,2022-03-12,1,Riots,Mob violence,Rioters (Benin),,Rioters (Benin),,Benin,Alibori,Malanville,Garou Tedji,11.7536,3.5219,2,National,0
BEN649,2022-03-20,1,Violence against civilians,Attack,Unidentified Communal Militia (Benin),Farmers (Benin),Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Collines,Bante,Akatakou,8.2948,1.8999,1,New media-National,2
BEN650,2022-03-20,1,Violence against civilians,Attack,Unidentified Communal Militia (Benin),Farmers (Benin),Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Collines,Bante,Koko,8.3784,1.8434,1,New media-National,2
BEN651,2022-03-20,1,Violence against civilians,Attack,Unidentified Communal Militia (Benin),Farmers (Benin),Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Collines,Bante,Malomi,8.171,1.9094,1,New media-National,2
BEN640,2022-02-24,1,Protests,Protest with intervention,Protesters (Benin),Protestant Christian Group (Benin); Protestant Christian Group (Ghana); Protestant Christian Group (Togo); Protesters (Ghana); Protesters (Togo),Police Forces of Benin (2016-),,Benin,Mono,Grand-Popo,Grand-Popo,6.2639,1.7419,1,National,0
BEN653,2022-03-27,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Atlantique,Allada,Dessa Ahouannonzoun,6.7195,2.1977,2,National,1
BEN654,2022-03-28,2,Strategic developments,Looting/property destruction,Bassila Communal Militia (Benin),Farmers (Togo),Civilians (Benin),Pastoralists (Benin),Benin,Donga,Bassila,Bassila,9.0029,1.6648,1,National,0
BEN656,2022-04-11,1,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,Military Forces of Benin (2016-),,Benin,Atacora,Tanguieta,Pendjari National Park,11.2482,1.5984,2,National-International,5
BEN657,2022-04-10,1,Strategic developments,Disrupted weapons use,Military Forces of Benin (2016-),,JNIM: Group for Support of Islam and Muslims,,Benin,Atacora,Tanguieta,Pendjari National Park,11.2482,1.5984,2,National,0
BEN662,2022-05-01,1,Protests,Peaceful protest,Protesters (Benin),Labor Group (Benin),,,Benin,Littoral,Cotonou,Cotonou,6.3557,2.4353,1,Subnational-National,0
BEN664,2022-04-26,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),Women (Benin); Police Forces of Benin (2016-),Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,0
BEN666,2022-05-05,2,Riots,Mob violence,Rioters (Benin),,Rioters (Benin),,Benin,Borgou,Kalale,Kalale,10.288,3.3792,1,National,0
BEN670,2022-05-28,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Atacora,Natitingou,Natitingou,10.3067,1.375,1,National,0
BEN675,2022-06-18,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Police Forces of Benin (2016-),,Benin,Zou,Djidja,Djidja,7.3444,1.9345,1,National,0
BEN684,2022-07-12,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Zou,Bohicon,Bohicon,7.1783,2.0667,1,National,0
BEN678,2022-06-28,1,Violence against civilians,Attack,Military Forces of Benin (2016-),,Civilians (Benin),,Benin,Atacora,Materi,Konehandri,10.9293,0.9958,1,National,2
BEN713,2022-09-22,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Donga,Djougou,Djougou,9.7107,1.6652,1,National,0
BEN714,2022-09-20,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Atlantique,Toffo,Agon,6.8549,2.2323,1,National,2
BEN715,2022-09-21,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Atlantique,Toffo,Dame Centre,6.8387,2.2283,2,National,2
BEN708,2022-09-21,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Benin),Labor Group (Benin),Benin,Alibori,Karimama,Loumbou-loumbou,12.2447,2.9032,1,National-International,0
BEN730,2022-10-08,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),Police Forces of Benin (2016-),Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,1
BEN762,2022-11-02,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,0
BEN768,2022-11-04,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Civilians (Benin),Labor Group (Benin),Benin,Collines,Save,Kaboua,8.2446,2.6884,1,National,0
BEN770,2022-11-17,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin); Farmers (Benin),,,Benin,Atlantique,Ouidah,Savi,6.4274,2.1023,1,National,1
BEN780,2022-11-23,2,Riots,Mob violence,Rioters (Benin),Farmers (Benin),Rioters (Benin),Pastoralists (Benin); Fulani Ethnic Group (Benin),Benin,Plateau,Ketou,Ossokodjo,7.3189,2.6641,2,National,1
BEN801,2022-12-03,1,Battles,Armed clash,Unidentified Armed Group (Benin),,Police Forces of Benin (2016-),,Benin,Oueme,Seme-Podji,Seme-Krake,6.3794,2.7018,1,National,2
BEN810,2022-11-17,1,Violence against civilians,Attack,Police Forces of Benin (2016-),,Civilians (Benin),Prisoners (Benin),Benin,Oueme,Porto-Novo,Porto-Novo,6.4833,2.6167,1,National,3
BEN861,2022-12-17,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),,Civilians (Benin),Labor Group (Benin),Benin,Borgou,Kalale,Kalale,10.288,3.3792,1,National,0
BEN862,2022-12-20,1,Strategic developments,Arrests,Police Forces of Benin (2016-),,Civilians (Benin),Journalists (Benin),Benin,Littoral,Cotonou,Cotonou,6.3557,2.4353,2,National,0
