event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
RUS29433,2025-01-05,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,Military Forces of Russia (2000-),,Russia,Kursk,Sudzhanskiy,Kruglenkoe,51.3382,35.1749,1,International,0
RUS28434,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Bezymeno,50.3863,35.703,1,Subnational,0
RUS28435,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Gorkovsky,50.4473,35.8511,1,Subnational,0
RUS28436,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Kozinka,50.453,35.6049,1,Subnational,0
RUS28437,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Shebekinskiy,Murom,50.3074,36.7112,1,Subnational,0
RUS28438,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Novostroyevka-Vtoraya,50.4146,35.7917,1,Subnational,0
RUS28439,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Sankovo,50.5938,35.5922,1,Subnational,0
RUS28440,2025-01-01,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Spodariushino,50.5075,35.483,1,Subnational,0
RUS28441,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Shebekinskiy,Balki,50.4565,37.3283,1,Subnational,0
RUS28442,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Bezymeno,50.3863,35.703,1,Subnational,0
RUS28443,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Belgorodskiy,Blizhneye,50.5789,36.3826,1,Subnational,0
RUS28444,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Krasnoyaruzhskiy,Demidovka,50.9442,35.3923,1,Subnational,0
RUS28445,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Dronovka,50.6363,35.4206,1,Subnational,0
RUS28446,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Belgorodskiy,Golovino,50.4736,36.4391,1,Subnational,0
RUS28447,2025-01-02,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),,,Russia,Belgorod,Grayvoronskiy,Gorkovsky,50.4473,35.8511,1,Subnational,0
