event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
NIR14030,2021-05-12,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Boni,12.8565,1.3268,2,New media,0
NIR14006,2021-05-07,1,Riots,Violent demonstration,Rioters (Niger),Students (Niger),,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,National,0
NIR14017,2021-05-02,1,Violence against civilians,Attack,Military Forces of Chad (2021-),,Civilians (Niger),,Niger,Diffa,N'Gourti,Kipti,14.6143,13.3789,1,New media,0
NIR13997,2021-04-28,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Niger),,Civilians (Niger),Pastoralists (Niger),Niger,Maradi,Guidan Roumdji,Batchaka,13.671,6.2947,2,New media,0
NIR13998,2021-04-28,1,Violence against civilians,Attack,Tuareg Ethnic Militia (Niger),,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger),Niger,Tahoua,Tillia,Tilbouk,15.7543,4.164,1,New media,13
NIR13991,2021-04-25,1,Violence against civilians,Attack,Djerma Ethnic Militia (Niger),,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger),Niger,Tillaberi,Ouallam,Boda Kouara,14.7128,2.1816,1,New media,3
NIR13984,2021-04-16,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),Labor Group (Niger),Niger,Diffa,N'Guigmi,Bijouram,14.3359,13.2867,1,New media,0
NIR13975,2021-04-01,1,Violence against civilians,Attack,Military Forces of Niger (2011-2021) Presidential Guard,,Civilians (Niger),,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,New media,0
NIR13965,2021-03-27,1,Protests,Peaceful protest,Protesters (Niger),,,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,New media,0
NIR1773,2021-03-21,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,Police Forces of Niger (2011-2021) Green Guards,Military Forces of Niger (2011-2021),Niger,Tillaberi,Say,La Tapoa,12.475,2.4246,1,New media,0
NIR1769,2021-03-20,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Madarounfa,Garin Mai Guiya,13.2072,6.7878,1,New media,1
NIR1767,2021-03-20,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Boni,12.8565,1.3268,1,Local partner-Other,0
NIR1765,2021-03-19,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Boni,12.8565,1.3268,2,New media,0
NIR1744,2021-03-16,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Guidan Roumdji,Bassira,13.4098,6.6277,2,New media,0
NIR1745,2021-03-16,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Madarounfa,Garin Mai Guiya,13.2072,6.7878,1,New media,0
NIR1729,2021-03-06,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,Diffa,Baroua Yala,13.8353,12.9364,2,New media,0
NIR1724,2021-03-01,1,Strategic developments,Arrests,Police Forces of Niger (2011-2021),,Civilians (Niger),MODEN/FA-Lumana: Nigerien Democratic Movement for an African Federation,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,International,0
NIR1719,2021-02-25,1,Riots,Violent demonstration,Rioters (Niger),,Police Forces of Niger (2011-2021),Civilians (Niger); Journalists (Niger),Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,New media-National,0
NIR1721,2021-02-24,1,Riots,Violent demonstration,Rioters (Niger),,Police Forces of Niger (2011-2021),,Niger,Tillaberi,Kollo,Kollo,13.3409,2.316,1,Other,0
NIR1718,2021-02-24,1,Riots,Violent demonstration,Rioters (Niger),RDE-Tchanji: Democratic and Republican Renewal,Police Forces of Niger (2011-2021),MNSD-Nassara: National Movement for the Development of Society; Labor Group (Niger),Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,New media-National,1
NIR1715,2021-02-23,1,Riots,Violent demonstration,Rioters (Niger),RDE-Tchanji: Democratic and Republican Renewal,Police Forces of Niger (2011-2021),MNSD-Nassara: National Movement for the Development of Society; Labor Group (Niger),Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,New media-National,1
NIR1716,2021-02-23,1,Protests,Peaceful protest,Protesters (Niger),RDE-Tchanji: Democratic and Republican Renewal,,,Niger,Zinder,Mirriah,Zinder,13.65,9.1833,1,International,0
NIR1700,2021-02-15,1,Protests,Peaceful protest,Protesters (International),Refugees/IDPs (International),,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,National,0
NIR1696,2021-02-12,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),Teachers (Niger),Niger,Agadez,Ingall,Mararaba,16.441,7.2178,2,New media,0
NIR1694,2021-02-08,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),Teachers (Niger),Niger,Maradi,Guidan Roumdji,Gaja,13.5912,6.5069,1,New media-National,3
NIR1688,2021-01-30,1,Battles,Armed clash,Konni Communal Militia (Niger),,Konni Communal Militia (Niger),,Niger,Tahoua,Birni N'Konni,Konni,13.7956,5.2553,1,New media,4
NIR1683,2021-01-29,1,Explosions/Remote violence,Remote explosive/landmine/IED,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Baoule Foulbe,12.8798,1.5081,2,New media,2
NIR1685,2021-01-29,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Selantche,13.166,1.6346,1,New media,0
NIR1677,2021-01-19,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Tepadje,13.0935,1.4795,1,New media,0
NIR1676,2021-01-19,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Say,Ouro Soldou,12.75,1.95,1,New media,0
NIR1669,2021-01-16,2,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Guidan Roumdji,Bassira,13.4098,6.6277,1,New media,1
NIR1663,2021-01-14,1,Strategic developments,Looting/property destruction,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,Diffa,Kindjandi,13.7379,12.9311,2,New media,0
NIR1665,2021-01-14,1,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,N'Guigmi,Rimi Blakoura,14.3312,13.2704,1,New media,1
NIR1682,2021-01-14,1,Violence against civilians,Attack,Arab Ethnic Militia (Niger),Tuareg Ethnic Militia (Niger),Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger),Niger,Tahoua,Tassara,Midal,16.9172,4.4544,2,New media,3
NIR1662,2021-01-14,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Madarounfa,Garin Mai Guiya,13.2072,6.7878,1,New media,0
NIR1612,2021-01-05,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Kodiaga,13.0277,1.2331,1,New media,0
NIR14042,2021-05-24,1,Violence against civilians,Attack,Tuareg Ethnic Militia (Niger),,Civilians (Niger),Fulani Ethnic Group (Niger); Pastoralists (Niger); Refugees/IDPs (Niger),Niger,Tahoua,Tillia,Ouled Areres,16.1333,4.9,2,Local partner-Other,4
NIR14036,2021-05-21,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Tata Moringa,12.9564,1.3544,1,New media,0
NIR14040,2021-05-24,1,Violence against civilians,Abduction/forced disappearance,Tuareg Ethnic Militia (Niger),,Civilians (Niger),Pastoralists (Niger),Niger,Tahoua,Tillia,Tagalelt,16.2047,4.8694,2,New media,0
NIR14048,2021-06-03,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Madarounfa,Baban Rafi,13.1901,6.8296,1,New media,0
NIR14067,2021-06-16,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Niger),,Civilians (Niger),Aid Workers (Niger),Niger,Tahoua,Abalak,Abalak,15.4638,6.2865,2,New media,0
NIR14065,2021-06-14,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Tillaberi,Banibangou,Intoussan,15.1756,2.5991,2,New media,0
NIR14093,2021-07-11,1,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),,Niger,Tillaberi,Torodi,Tambole,13.0656,1.4073,1,New media,0
NIR14100,2021-07-13,1,Strategic developments,Looting/property destruction,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,N'Guigmi,Bijouram,14.3359,13.2867,1,New media,0
NIR14101,2021-07-16,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),,Niger,Diffa,N'Guigmi,Bijouram,14.3359,13.2867,1,New media,0
NIR14106,2021-07-19,1,Violence against civilians,Attack,Tuareg Ethnic Militia (Niger),,Civilians (Niger),Pastoralists (Niger),Niger,Tahoua,Tillia,Azakaza,15.56,4.43,2,New media,1
NIR14112,2021-07-24,1,Violence against civilians,Abduction/forced disappearance,Tuareg Ethnic Militia (Niger),,Civilians (Niger),Refugees/IDPs (Niger),Niger,Tahoua,Tillia,Intikane,15.7038,4.5549,2,New media,0
NIR14111,2021-07-22,1,Violence against civilians,Abduction/forced disappearance,Tuareg Ethnic Militia (Niger),,Civilians (Niger),,Niger,Tahoua,Tillia,Ouled Areres,16.1333,4.9,1,New media,0
NIR14155,2021-09-04,1,Strategic developments,Looting/property destruction,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),Labor Group (Niger),Niger,Diffa,Diffa,Garin Wanzam,13.6458,12.9053,1,New media,0
NIR14157,2021-09-04,1,Battles,Armed clash,Fulani Ethnic Militia (Niger),Pastoralists (Niger),Arab Ethnic Militia (Niger),,Niger,Diffa,Maine Soroa,N'Guel-Beyli,13.858,11.8664,1,New media,3
NIR14156,2021-09-04,1,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,Civilians (Niger),Teachers (Niger),Niger,Diffa,Diffa,Kindjandi,13.7379,12.9311,1,New media,0
NIR14183,2021-09-23,1,Protests,Peaceful protest,Protesters (Niger),Labor Group (Niger),,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,National,0
NIR14196,2021-10-14,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),Labor Group (Niger); Arab Ethnic Group (Niger),Niger,Tillaberi,Abala,Sanam,14.834,3.9179,2,National,1
NIR14192,2021-10-10,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),Labor Group (Niger),Niger,Tahoua,Bagaroua,Toullou,14.2649,4.4374,1,National,1
NIR14195,2021-10-12,1,Violence against civilians,Attack,Unidentified Armed Group (Niger),,Civilians (Niger),Labor Group (Niger),Niger,Tahoua,Illela,Djinguines,14.394,4.9932,1,National,1
NIR14210,2021-10-20,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Niger),,Civilians (Niger),,Niger,Maradi,Madarounfa,Garin Ali,13.2069,6.809,2,New media,0
NIR14199,2021-10-13,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,,Civilians (Niger),Djerma Ethnic Group (Niger); Farmers (Niger),Niger,Tillaberi,Torodi,Tolba,13.1119,1.5781,1,New media,0
NIR14205,2021-10-16,1,Protests,Peaceful protest,Protesters (Niger),Students (Niger),,,Niger,Niamey,Ville de Niamey,Niamey,13.52,2.12,1,National,0
