event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
SSD9623,2024-01-02,1,Battles,Armed clash,Twic Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); SSPM/A: South Sudan People's Movement/Army,Ngok Clan Militia (Sudan),Dinka Ethnic Militia (Sudan),South Sudan,Warrap,Twic,Athony 2,9.3126,28.4034,2,National,2
SSD9626,2024-01-04,2,Violence against civilians,Attack,Unidentified Clan Militia (South Sudan),,Civilians (South Sudan),,South Sudan,Northern Bahr el Ghazal,Aweil South,Panthou,8.7079,27.7478,2,National,1
SSD9639,2024-01-03,2,Strategic developments,Looting/property destruction,Unidentified Communal Militia (South Sudan),,Civilians (South Sudan),,South Sudan,Jonglei,Duk,Pajut,7.746,31.6892,1,National,0
SSD9640,2024-01-09,1,Protests,Protest with intervention,Protesters (South Sudan),,Military Forces of South Sudan (2011-),,South Sudan,Central Equatoria,Juba,Jebel Yesua,4.8445,31.5203,2,National,0
SSD9643,2024-01-04,2,Violence against civilians,Attack,Rek Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),Civilians (South Sudan),Bul Clan Group (South Sudan); Nuer Ethnic Group (South Sudan),South Sudan,Unity,Mayom,Riak,8.9132,29.2814,2,National,1
SSD9644,2024-01-09,1,Strategic developments,Looting/property destruction,Aguok-Rek Sub-Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),Civilians (South Sudan),Aguok-Rek Sub-Clan Group (South Sudan); Dinka Ethnic Group (South Sudan); Jur Ethnic Group (South Sudan),South Sudan,Western Bahr el Ghazal,Jur River,Warrnyel,8.224,27.7054,2,New media-National,0
SSD9645,2024-01-10,2,Strategic developments,Other,Civilians (Sudan),Refugees/IDPs (Sudan),,,South Sudan,Upper Nile,Renk,Joda,12.2354,32.7599,3,Regional-International,0
SSD9627,2024-01-05,1,Battles,Armed clash,Murle Ethnic Militia (South Sudan),Pastoralists (South Sudan),Unidentified Communal Militia (South Sudan),Pastoralists (South Sudan),South Sudan,Jonglei,Duk,Pamaideng,7.7356,31.6858,2,National-International,3
SSD9648,2024-01-14,1,Violence against civilians,Attack,Ngok Clan Militia (Sudan),Dinka Ethnic Militia (Sudan),Civilians (South Sudan),Women (South Sudan),South Sudan,Warrap,Twic,Turalei,9.0921,28.4315,2,National,1
SSD9650,2024-01-13,1,Violence against civilians,Attack,Nuer Ethnic Militia (South Sudan),,Civilians (South Sudan),Military Forces of South Sudan (2011-); Taxi Drivers (South Sudan),South Sudan,Lakes,Rumbek Centre,Amongpiny,7.041,30.0783,2,National,2
SSD9653,2024-01-08,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),Pastoralists (South Sudan),Civilians (South Sudan),Pastoralists (South Sudan),South Sudan,Unity,Mayom,Riak,8.9132,29.2814,2,National,1
SSD9656,2024-01-12,1,Riots,Violent demonstration,Rioters (South Sudan),Teachers (South Sudan),Military Forces of South Sudan (2011-) Military Police,,South Sudan,Northern Bahr el Ghazal,Aweil West,Aweil,8.767,27.3966,1,National,0
SSD9657,2024-01-22,1,Strategic developments,Looting/property destruction,Unidentified Communal Militia (South Sudan),,Civilians (South Sudan),,South Sudan,Eastern Equatoria,Ikotos,Ikotos,4.0812,33.1076,2,National,0
SSD9659,2024-01-23,1,Violence against civilians,Attack,Murle Ethnic Militia (South Sudan),Pastoralists (South Sudan),Civilians (South Sudan),Pastoralists (South Sudan),South Sudan,Jonglei,Duk,Pagak,7.927,31.4949,2,National,3
SSD9665,2024-01-24,2,Strategic developments,Change to group/activity,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,SSOA: South Sudan Opposition Alliance,Military Forces of South Sudan (2011-),SPLM: Sudan People's Liberation Movement,South Sudan,Unity,Rubkona,Bentiu,9.2515,29.7953,2,National,0
SSD9666,2024-01-24,1,Protests,Peaceful protest,Protesters (South Sudan),,,,South Sudan,Warrap,Twic,Turalei,9.0921,28.4315,1,New media-National,0
SSD9667,2024-01-23,1,Violence against civilians,Attack,Bul Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan),Civilians (South Sudan),Bul Clan Group (South Sudan); Nuer Ethnic Group (South Sudan); Labor Group (South Sudan),South Sudan,Unity,Mayom,Mankien,9.0483,29.0983,2,National,1
SSD9668,2024-01-31,1,Battles,Armed clash,Luach-Jang Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),Pakam-Agar Sub-Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan); Pastoralists (South Sudan),South Sudan,Lakes,Rumbek North,Aloor,7.7944,29.6539,2,National-International,38
SSD9669,2024-01-26,1,Battles,Armed clash,Nyong Clan Militia (South Sudan),Nuer Ethnic Militia (South Sudan),Nuer Ethnic Militia (South Sudan),,South Sudan,Unity,Panyijiar,Panyijiar,7.4629,30.2743,1,National,1
SSD9671,2024-01-26,1,Violence against civilians,Attack,Murle Ethnic Militia (South Sudan),,Civilians (South Sudan),Women (South Sudan),South Sudan,Jonglei,Ayod,Guer,8.28,31.5877,1,National,1
SSD9672,2024-01-26,1,Violence against civilians,Attack,Unidentified Clan Militia (South Sudan),,Civilians (South Sudan),Refugees/IDPs (South Sudan),South Sudan,Jonglei,Twic East,Panyagor,7.1633,31.4059,2,National,1
SSD9673,2024-01-26,1,Strategic developments,Disrupted weapons use,Military Forces of South Sudan (2011-),,Unidentified Armed Group (South Sudan),,South Sudan,Western Bahr el Ghazal,Wau,Wau,7.7062,27.9933,1,National,0
SSD9674,2024-01-29,1,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,Military Forces of South Sudan (2011-),Government of South Sudan (2011-),South Sudan,Unity,Rubkona,Rubkona,9.2916,29.7893,2,National-International,6
SSD9675,2024-02-01,1,Violence against civilians,Attack,Budi Communal Militia (South Sudan),,Civilians (South Sudan),Miners (South Sudan),South Sudan,Eastern Equatoria,Kapoeta South,Namorunyang,4.6739,33.6535,2,National,8
SSD9637,2024-01-07,1,Violence against civilians,Attack,Military Forces of South Sudan (2011-),,Civilians (South Sudan),,South Sudan,Central Equatoria,Juba,Jebel Yesua,4.8445,31.5203,2,National,1
SSD9680,2024-02-02,1,Violence against civilians,Attack,Murle Ethnic Militia (South Sudan),Pastoralists (South Sudan),Civilians (South Sudan),Pastoralists (South Sudan),South Sudan,Jonglei,Duk,Duk Padiet,7.7488,31.3981,1,National,1
SSD9683,2024-02-07,2,Strategic developments,Looting/property destruction,Dinka Ethnic Militia (South Sudan),Pastoralists (South Sudan),Civilians (South Sudan),,South Sudan,Central Equatoria,Yei,Tore,4.4919,30.1622,2,National,0
SSD9689,2024-02-12,1,Battles,Armed clash,Toposa Ethnic Militia (South Sudan),,Toposa Ethnic Militia (South Sudan),,South Sudan,Eastern Equatoria,Kapoeta East,Lopua,4.5293,34.0909,1,National,0
SSD9690,2024-02-12,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,South Sudan,Central Equatoria,Terekeka,Terekeka,5.4469,31.7502,2,National,2
SSD9691,2024-02-12,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,South Sudan,Central Equatoria,Terekeka,Tindalo,5.66,31.0635,1,National,3
SSD9696,2024-02-11,1,Battles,Armed clash,Jalwau-Rek Sub-Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),Gok Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),South Sudan,Lakes,Cueibet,Abarkou,7.2075,29.4262,1,National,1
