event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
NIC70,2019-05-11,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,Other-National,0
NIC10,2019-01-27,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Nicaragua),,Civilians (Nicaragua),,Nicaragua,Masaya,Masaya,Masaya,11.9744,-86.0942,1,National,0
NIC21,2019-02-22,1,Riots,Mob violence,Rioters (Nicaragua),,Civilians (Nicaragua),Journalists (Nicaragua),Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC209,2019-11-10,1,Violence against civilians,Attack,Unidentified Armed Group (Nicaragua),,Civilians (Nicaragua),Journalists (Nicaragua),Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC210,2019-11-10,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC4,2019-01-17,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC108,2019-06-18,1,Protests,Peaceful protest,Protesters (Nicaragua),Labor Group (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC120,2019-06-27,2,Protests,Excessive force against protesters,Protesters (Nicaragua),Indigenous Group (Nicaragua),Unidentified Armed Group (Nicaragua),,Nicaragua,Costa Caribe Norte,Puerto Cabezas,Kamlah,14.0866,-83.4089,2,National,0
NIC200,2019-10-29,1,Protests,Peaceful protest,Protesters (Nicaragua),Women (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC160,2019-08-21,2,Protests,Peaceful protest,Protesters (Nicaragua),Labor Group (Nicaragua),,,Nicaragua,Rivas,Rivas,Rivas,11.4372,-85.8263,1,National,0
NIC121,2019-06-27,2,Protests,Peaceful protest,Protesters (Nicaragua),Autoconvocados,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC119,2019-06-26,2,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC95,2019-06-11,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC105,2019-06-17,2,Protests,Peaceful protest,Protesters (Nicaragua),Christian Group (Nicaragua),,,Nicaragua,Jinotega,Santa Maria de Pantasma,Las Praderas,13.3489,-85.9427,2,National,0
NIC82,2019-05-27,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC110,2019-06-19,1,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC223,2019-11-23,1,Riots,Mob violence,Rioters (Nicaragua),,Civilians (Nicaragua),Students (Nicaragua),Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC237,2019-12-25,1,Protests,Peaceful protest,Protesters (Nicaragua),AMA: Mothers of April Association; Women (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC90,2019-06-03,1,Protests,Peaceful protest,Protesters (Nicaragua),Miskito Indigenous Group (Nicaragua),,,Nicaragua,Costa Caribe Norte,Puerto Cabezas,Puerto Cabezas,14.0351,-83.3888,2,National,0
NIC67,2019-05-07,1,Riots,Violent demonstration,Rioters (Nicaragua),Miskito Indigenous Group (Nicaragua),,,Nicaragua,Costa Caribe Norte,Puerto Cabezas,Puerto Cabezas,14.0351,-83.3888,2,National,0
NIC148,2019-07-28,1,Protests,Peaceful protest,Protesters (Nicaragua),Labor Group (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC66,2019-05-06,1,Riots,Violent demonstration,Rioters (Nicaragua),Miskito Indigenous Group (Nicaragua),,,Nicaragua,Costa Caribe Norte,Puerto Cabezas,Puerto Cabezas,14.0351,-83.3888,2,National,0
NIC71,2019-05-12,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC61,2019-04-25,1,Riots,Violent demonstration,Rioters (Nicaragua),Prisoners (Nicaragua),,,Nicaragua,Managua,Tipitapa,Tipitapa,12.1973,-86.0971,2,National,0
NIC96,2019-06-11,1,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),,,Nicaragua,Masaya,Masaya,Masaya,11.9744,-86.0942,1,National,0
NIC68,2019-05-08,1,Riots,Violent demonstration,Rioters (Nicaragua),Miskito Indigenous Group (Nicaragua),,,Nicaragua,Costa Caribe Norte,Puerto Cabezas,Puerto Cabezas,14.0351,-83.3888,2,National,0
NIC97,2019-06-11,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Masaya,Masaya,Masaya,11.9744,-86.0942,1,National,0
NIC150,2019-08-03,1,Protests,Peaceful protest,Protesters (Nicaragua),Health Workers (Nicaragua); UMN: National Medical Unity,,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,International,0
NIC146,2019-07-27,1,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC204,2019-11-04,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nicaragua),,Civilians (Nicaragua),Lawyers (Nicaragua),Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC206,2019-11-09,1,Protests,Peaceful protest,Protesters (Nicaragua),Students (Nicaragua),,,Nicaragua,Carazo,Diriamba,Diriamba,11.8581,-86.2392,1,National,0
NIC99,2019-06-12,1,Protests,Peaceful protest,Protesters (Nicaragua),Autoconvocados; Christian Group (Nicaragua); Women (Nicaragua),,,Nicaragua,Masaya,Masaya,Masaya,11.9744,-86.0942,1,National,0
NIC147,2019-07-27,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Masaya,Masaya,Masaya,11.9744,-86.0942,1,National,0
NIC77,2019-05-17,1,Protests,Peaceful protest,Protesters (Nicaragua),Women (Nicaragua),,,Nicaragua,Managua,Tipitapa,Tipitapa,12.1973,-86.0971,2,National,0
NIC203,2019-11-04,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nicaragua),,Civilians (Nicaragua),,Nicaragua,Chinandega,Chinandega,Chinandega,12.6294,-87.1311,1,National,0
NIC141,2019-07-25,1,Protests,Peaceful protest,Protesters (Nicaragua),Christian Group (Nicaragua),,,Nicaragua,Managua,Managua,Managua,12.1328,-86.2504,1,National,0
NIC224,2019-11-23,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Nicaragua,Masaya,Masatepe,Masatepe,11.9145,-86.1446,1,National,0
