event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
XKX1107,2025-01-21,1,Protests,Peaceful protest,Protesters (Kosovo),Labor Group (Kosovo),,,Kosovo,Ferizaj,Hani i Elezit,Hani i Elezit,42.1489,21.2979,1,National,0
XKX1109,2025-01-25,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Gjilan,Kllokot,Mogille,42.3422,21.3922,1,National,0
XKX1110,2025-01-26,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Gjilan,Ranillug,Ranillug,42.4922,21.5984,1,National,0
XKX1113,2025-01-27,1,Violence against civilians,Attack,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Government of Kosovo (2020-),Kosovo,Mitrovica,Skenderaj,Skenderaj,42.7477,20.7894,1,Regional,0
XKX1116,2025-02-03,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Mitrovica,Zubin Potok,Zubin Potok,42.9146,20.6901,1,Subnational,0
XKX1118,2025-02-05,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Pristina,Poduveja,Podujeva,42.9108,21.196,1,National,0
XKX1125,2025-02-08,1,Protests,Peaceful protest,Protesters (Kosovo),Serbian Ethnic Group (Kosovo),,,Kosovo,Mitrovica,Zubin Potok,Zubin Potok,42.9146,20.6901,1,Subnational,0
XKX1127,2025-02-17,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Gjilan,Kllokot,Mogille,42.3422,21.3922,1,National,0
XKX1131,2025-02-20,1,Violence against civilians,Attack,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Judges (Kosovo),Kosovo,Peja,Peja,Peja,42.6591,20.2883,1,National,0
XKX1136,2025-02-26,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo); Orthodox Christian Group (Kosovo),Kosovo,Gjilan,Gjilan,Panesh,42.4902,21.3738,1,National,0
XKX1134,2025-02-27,1,Protests,Peaceful protest,Protesters (Kosovo),Labor Group (Kosovo),,,Kosovo,Pristina,Poduveja,Podujeva,42.9108,21.196,1,National,0
XKX1122,2025-02-10,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Kosovo),,Civilians (Kosovo),Serbian Ethnic Group (Kosovo),Kosovo,Pristina,Lipjan,Lipjan,42.5258,21.1224,1,National,0
XKX1106,2025-01-24,1,Strategic developments,Change to group/activity,NATO: North Atlantic Treaty Organization,KFOR: Kosovo Force (1999-); Military Forces of Germany (2021-2025); Military Forces of Lithuania (2020-),,,Kosovo,Mitrovica,Leposaviq,Leposaviq,43.1018,20.801,1,Subnational,0
XKX1112,2025-01-27,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
XKX1115,2025-02-03,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
XKX1121,2025-02-10,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
XKX1126,2025-02-09,1,Strategic developments,Other,Government of Kosovo (2020-),LV: Self-Determination,,,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
XKX1129,2025-02-18,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
XKX1135,2025-02-24,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
XKX1137,2025-03-03,1,Strategic developments,Disrupted weapons use,Police Forces of Kosovo (2020-),,Unidentified Armed Group (Kosovo),,Kosovo,Pristina,Pristina,Pristina,42.6666,21.1724,1,National,0
