event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BRA49925,2022-01-07,1,Battles,Armed clash,CV: Red Command,,TCP: Pure Third Command,,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media-Subnational,0
BRA49927,2022-01-07,1,Battles,Armed clash,CV: Red Command,,Unidentified Gang and/or Police Militia,,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - West Zone,-22.9147,-43.4879,1,New media-Subnational,3
BRA49848,2022-01-04,2,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Amazonas,Iranduba,Iranduba,-3.2847,-60.1861,1,Subnational,1
BRA49806,2022-01-02,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Alagoas,Pilar,Pilar,-9.597,-35.9566,1,Subnational,1
BRA49847,2022-01-04,1,Violence against civilians,Attack,Unidentified Armed Group (Brazil),,Civilians (Brazil),,Brazil,Alagoas,Sao Bras,Sao Bras,-10.1258,-36.8982,2,Subnational,1
BRA49789,2022-01-01,1,Violence against civilians,Attack,Unidentified Armed Group (Brazil),,Civilians (Brazil),,Brazil,Alagoas,Marechal Deodoro,Marechal Deodoro,-9.7676,-35.8511,1,Subnational,0
BRA49805,2022-01-02,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Alagoas,Maceio,Maceio,-9.6658,-35.7353,1,Subnational,1
BRA49802,2022-01-01,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Rio Grande do Sul,Sapucaia do Sul,Sapucaia do Sul,-29.8271,-51.1465,1,Subnational,1
BRA49854,2022-01-04,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),,Brazil,Minas Gerais,Belo Horizonte,Belo Horizonte,-19.9208,-43.9378,1,Subnational,0
BRA49794,2022-01-01,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),,Brazil,Minas Gerais,Belo Horizonte,Belo Horizonte,-19.9208,-43.9378,1,Subnational,0
BRA49815,2022-01-02,1,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Minas Gerais,Juatuba,Juatuba,-19.9519,-44.3428,1,Subnational,1
BRA49839,2022-01-03,2,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Minas Gerais,Contagem,Contagem,-19.9317,-44.0536,1,Subnational,1
BRA49880,2022-01-05,2,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Minas Gerais,Jaboticatubas,Jaboticatubas,-19.5216,-43.7452,1,Subnational,1
BRA49914,2022-01-06,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),,Brazil,Roraima,Boa Vista,Boa Vista,2.8197,-60.6733,1,Subnational,0
BRA49821,2022-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Brazil),,Civilians (Venezuela),,Brazil,Roraima,Boa Vista,Boa Vista,2.8197,-60.6733,1,Subnational,1
BRA49846,2022-01-03,1,Protests,Peaceful protest,Protesters (Brazil),Farmers (Brazil),,,Brazil,Roraima,Alto Alegre,Alto Alegre,2.9077,-61.4816,1,Subnational,0
BRA49916,2022-01-07,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Alagoas,Maceio,Maceio,-9.6658,-35.7353,1,National,1
BRA49900,2022-01-06,1,Protests,Peaceful protest,Protesters (Brazil),Labor Group (Brazil),,,Brazil,Minas Gerais,Juiz de Fora,Juiz de Fora,-21.7633,-43.3501,1,National,0
BRA49853,2022-01-04,1,Violence against civilians,Attack,Unidentified Gang (Brazil),,Civilians (Brazil),Women (Brazil),Brazil,Espirito Santo,Vila Velha,Vila Velha,-20.3467,-40.3019,1,National,0
BRA49918,2022-01-07,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Maranhao,Imperatriz,Imperatriz,-5.5264,-47.4917,1,National,1
BRA49915,2022-01-07,1,Protests,Peaceful protest,Protesters (Brazil),Students (Brazil),,,Brazil,Acre,Rio Branco,Rio Branco,-9.9747,-67.81,1,National,0
BRA49873,2022-01-05,1,Protests,Peaceful protest,Protesters (Brazil),,,,Brazil,Bahia,Candido Sales,Candido Sales,-15.5038,-41.2392,1,National,0
BRA49804,2022-01-02,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),,Brazil,Alagoas,Feira Grande,Feira Grande,-9.8944,-36.6793,2,National,0
BRA49861,2022-01-04,2,Strategic developments,Change to group/activity,Unidentified Gang and/or Police Militia,,,,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,National,0
BRA49910,2022-01-06,2,Violence against civilians,Attack,CV: Red Command,,Civilians (Brazil),Women (Brazil),Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,National,0
BRA49896,2022-01-06,2,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Ceara,Caucaia,Caucaia,-3.7361,-38.6531,1,National,1
BRA49897,2022-01-06,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Ceara,Fortaleza,Fortaleza,-3.7172,-38.5431,1,National,1
BRA49816,2022-01-02,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),Prisoners (Brazil),Brazil,Minas Gerais,Pratapolis,Pratapolis,-20.7448,-46.8601,1,National,0
BRA49811,2022-01-02,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),Former Unidentified Gang (Brazil),Brazil,Espirito Santo,Cariacica,Cariacica,-20.2639,-40.42,1,National,0
BRA49852,2022-01-04,1,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Espirito Santo,Cariacica,Cariacica,-20.2639,-40.42,1,National,0
BRA49841,2022-01-03,1,Protests,Peaceful protest,Protesters (Brazil),Farmers (Brazil),,,Brazil,Minas Gerais,Uberaba,Uberaba,-19.747,-47.9373,1,National,0
BRA49885,2022-01-05,2,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Rio de Janeiro,Campos dos Goytacazes,Campos dos Goytacazes,-21.7631,-41.3193,1,National,1
BRA49895,2022-01-06,1,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Bahia,Salvador,Salvador,-12.9711,-38.5108,1,National,0
BRA49840,2022-01-03,1,Protests,Peaceful protest,Protesters (Brazil),Teachers (Brazil),,,Brazil,Minas Gerais,Monte Alegre de Minas,Monte Alegre de Minas,-18.8686,-48.8823,1,National,0
BRA49822,2022-01-02,2,Violence against civilians,Abduction/forced disappearance,PCC: First Capital Command,,Civilians (Brazil),,Brazil,Sao Paulo,Piracicaba,Piracicaba,-22.7253,-47.6492,1,National,0
BRA49891,2022-01-05,1,Protests,Peaceful protest,Protesters (Brazil),Students (Brazil); Teachers (Brazil),,,Brazil,Sao Paulo,Piracicaba,Piracicaba,-22.7253,-47.6492,1,National,0
BRA49818,2022-01-02,1,Protests,Peaceful protest,Protesters (Brazil),Labor Group (Brazil),,,Brazil,Pernambuco,Ipojuca,Ipojuca,-8.3975,-35.0609,1,National,0
BRA49899,2022-01-06,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang and/or Police Militia,,Brazil,Minas Gerais,Irai de Minas,Irai de Minas,-18.9868,-47.4644,1,National,1
BRA49866,2022-01-04,1,Protests,Peaceful protest,Protesters (Brazil),,,,Brazil,Santa Catarina,Concordia,Concordia,-27.2316,-52.0228,1,National,0
BRA49812,2022-01-02,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Espirito Santo,Cariacica,Cariacica,-20.2639,-40.42,1,National,1
BRA49879,2022-01-05,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Minas Gerais,Belo Horizonte,Belo Horizonte,-19.9208,-43.9378,1,National,2
BRA49867,2022-01-04,1,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Tocantins,Palmas,Palmas,-10.1675,-48.3277,1,National,1
BRA49928,2022-01-07,1,Protests,Peaceful protest,Protesters (Brazil),Labor Group (Brazil),,,Brazil,Sao Paulo,Bauru,Bauru,-22.3147,-49.0606,1,National,0
BRA49904,2022-01-06,1,Violence against civilians,Attack,Unidentified Gang (Brazil),,Civilians (Brazil),,Brazil,Piaui,Teresina,Teresina,-5.0892,-42.8019,1,National,0
BRA49845,2022-01-03,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Rondonia,Porto Velho,Porto Velho,-8.7619,-63.9039,1,National,0
BRA49913,2022-01-06,2,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Rondonia,Sao Miguel do Guapore,Sao Miguel do Guapore,-11.6953,-62.7196,1,National,4
BRA49793,2022-01-01,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Espirito Santo,Cariacica,Cariacica,-20.2639,-40.42,1,National,0
BRA49814,2022-01-02,2,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Maranhao,Nina Rodrigues,Nina Rodrigues,-3.4675,-43.9134,1,National,1
BRA49795,2022-01-01,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang (Brazil),,Brazil,Para,Barcarena,Barcarena,-1.5058,-48.6258,1,Subnational,1
BRA49878,2022-01-05,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Mato Grosso,Colider,Colider,-10.8052,-55.455,1,National,1
BRA49920,2022-01-07,2,Violence against civilians,Attack,Unidentified Armed Group (Brazil),,Civilians (Brazil),,Brazil,Para,Vigia,Vigia,-0.8583,-48.1393,2,Subnational,1
BRA49865,2022-01-04,1,Battles,Armed clash,Unidentified Gang and/or Police Militia,,Unidentified Gang and/or Police Militia,,Brazil,Rondonia,Porto Velho,Porto Velho,-8.7619,-63.9039,1,Subnational,0
BRA49890,2022-01-05,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Rondonia,Porto Velho,Porto Velho,-8.7619,-63.9039,1,Subnational,1
BRA49803,2022-01-01,1,Violence against civilians,Attack,Unidentified Armed Group (Brazil),,Civilians (Brazil),,Brazil,Rondonia,Porto Velho,Porto Velho,-8.7619,-63.9039,1,Subnational,1
BRA49889,2022-01-05,1,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,,Civilians (Brazil),,Brazil,Rondonia,Ji-Parana,Ji-Parana,-10.8853,-61.9517,1,Subnational,1
BRA49912,2022-01-06,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - West Zone,-22.9147,-43.4879,1,New media,0
BRA49906,2022-01-06,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Niteroi,Niteroi,-22.8833,-43.1036,1,New media,0
BRA49909,2022-01-06,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49905,2022-01-06,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Duque de Caxias,Duque de Caxias,-22.7856,-43.3117,1,New media,0
BRA49887,2022-01-05,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49858,2022-01-04,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Belford Roxo,Belford Roxo,-22.7642,-43.3994,1,New media,0
BRA49801,2022-01-01,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - West Zone,-22.9147,-43.4879,1,New media,0
BRA49844,2022-01-03,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49820,2022-01-02,1,Violence against civilians,Attack,CV: Red Command,,Civilians (Brazil),Women (Brazil),Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49864,2022-01-04,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49819,2022-01-02,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49800,2022-01-01,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - North Zone,-22.8569,-43.3008,1,New media,0
BRA49911,2022-01-06,1,Battles,Armed clash,Unidentified Armed Group (Brazil),,Unidentified Armed Group (Brazil),,Brazil,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro - South Zone,-22.9657,-43.1991,1,New media,0
BRA49824,2022-01-03,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),,Brazil,Amazonas,Manacapuru,Manacapuru,-3.2997,-60.6206,1,Subnational,0
BRA49871,2022-01-05,1,Battles,Armed clash,Unidentified Gang (Brazil),,Unidentified Gang (Brazil),,Brazil,Amazonas,Manaus,Manaus,-3.1019,-60.025,1,Subnational,0
BRA49264,2022-01-04,1,Violence against civilians,Attack,Unidentified Gang (Brazil),,Civilians (Brazil),,Brazil,Amazonas,Manaus,Manaus,-3.1019,-60.025,1,Subnational,0
BRA49872,2022-01-05,1,Riots,Mob violence,Rioters (Brazil),Vigilante Group (Brazil),Civilians (Brazil),,Brazil,Amazonas,Manaus,Manaus,-3.1019,-60.025,1,Subnational,0
BRA49827,2022-01-03,1,Protests,Peaceful protest,Protesters (Brazil),,,,Brazil,Amazonas,Manaus,Manaus,-3.1019,-60.025,1,Subnational,0
