event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
MAG1126,2018-12-22,2,Battles,Armed clash,Unidentified Armed Group (Madagascar),,Military Forces of Madagascar (2014-2019),,Madagascar,Betsiboka,Maevatanana,Begogo,-16.7333,46.9667,1,National,0
MAG1124,2018-12-20,1,Strategic developments,Other,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),,Madagascar,Sava,Sambava,Sambava,-14.2667,50.1667,3,National,0
MAG1121,2018-12-18,1,Strategic developments,Looting/property destruction,Dahalo Militia,,Civilians (Madagascar),Government of Madagascar (2014-2019),Madagascar,Sofia,Mampikony,Komajia,-16.2,47.7833,1,National,0
MAG1119,2018-12-16,1,Battles,Armed clash,Military Forces of Madagascar (2014-2019),,Unidentified Armed Group (Madagascar),,Madagascar,Vakinankaratra,Antsirabe I,Antsirabe,-19.8659,47.0333,1,National,1
MAG1117,2018-12-14,1,Violence against civilians,Attack,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),,Madagascar,Haute Matsiatra,Vohibato,Ambalavao,-21.5837,46.9864,1,National,4
MAG1116,2018-12-12,1,Battles,Armed clash,Military Forces of Madagascar (2014-2019) Gendarmerie,,Dahalo Militia,,Madagascar,Melaky,Maintirano,Maintirano,-18.0635,44.0295,1,National,2
MAG1187,2018-07-26,1,Riots,Violent demonstration,Rioters (Madagascar),Labor Group (Madagascar),Police Forces of Madagascar (2014-2019),,Madagascar,Atsinanana,Toamasina I,Toamasina,-18.1667,49.3833,1,National,0
MAG1054,2018-03-24,1,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Madagascar),,,,Madagascar,Analamanga,Avaradrano,Antanimena,-18.8133,47.5367,1,National,0
MAG1053,2018-03-18,1,Protests,Protest with intervention,Protesters (Madagascar),,Military Forces of Madagascar (2014-2019),,Madagascar,Vakinankaratra,Betafo,Ivato,-19.8667,46.65,1,National,0
MAG1052,2018-03-17,1,Protests,Protest with intervention,Protesters (Madagascar),,Military Forces of Madagascar (2014-2019),,Madagascar,Vakinankaratra,Betafo,Ivato,-19.8667,46.65,1,National,0
MAG1051,2018-03-15,1,Protests,Peaceful protest,Protesters (Madagascar),AZP: Aok' Zay Platform,,,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,1,International,0
MAG1050,2018-03-08,1,Protests,Peaceful protest,Protesters (Madagascar),Women (Madagascar),,,Madagascar,Haute Matsiatra,Ambalavao,Anosy,-21.9747,46.9761,1,National,0
MAG1049,2018-03-05,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Diana,Nosy-Be,Nosy-Be,-13.3083,48.2646,1,National,0
MAG1048,2018-03-04,1,Riots,Violent demonstration,Rioters (Madagascar),Students (Madagascar),Police Forces of Madagascar (2014-2019),,Madagascar,Atsinanana,Toamasina I,Toamasina,-18.1667,49.3833,1,National,0
MAG1047,2018-03-01,1,Battles,Armed clash,Dahalo Militia,,Military Forces of Madagascar (2014-2019) Gendarmerie,,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,1,National,1
MAG1045,2018-02-19,1,Battles,Armed clash,Dahalo Militia,,Military Forces of Madagascar (2014-2019) Gendarmerie,,Madagascar,Alaotra Mangoro,Andilamena,Andilamena,-17.0101,48.5731,1,National,3
MAG1041,2018-02-09,1,Battles,Armed clash,Dahalo Militia,,Military Forces of Madagascar (2014-2019) Gendarmerie,,Madagascar,Boeny,Mahajanga II,Belobaka,-15.6833,46.4167,1,National,2
MAG1039,2018-02-01,1,Battles,Armed clash,Arivonimamo Communal Militia (Madagascar),,Dahalo Militia,,Madagascar,Itasy,Arivonimamo,Arivonimamo,-18.9167,47.1833,1,National,1
MAG1036,2018-01-30,1,Protests,Peaceful protest,Protesters (Madagascar),,,,Madagascar,Anosy,Taolagnaro,Taolagnaro,-25.032,46.9897,1,National,0
MAG1034,2018-01-27,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Atsimo Andrefana,Toliary-I,Toliara,-23.3528,43.6667,1,National,2
MAG1042,2018-01-27,1,Riots,Mob violence,Rioters (Madagascar),Vigilante Group (Madagascar),Civilians (Madagascar),,Madagascar,Vatovavy Fitovinany,Mananjary,Mananjary,-21.2271,48.3499,1,National,1
MAG1033,2018-01-26,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Melaky,Antsalova,Antsalova,-18.6745,44.6194,1,National,1
MAG1032,2018-01-19,1,Violence against civilians,Attack,Unidentified Armed Group (Madagascar),,Civilians (France),,Madagascar,Vakinankaratra,Antsirabe I,Antsirabe,-19.8659,47.0333,1,National,1
MAG1031,2018-01-17,1,Battles,Armed clash,Dahalo Militia,,Police Forces of Madagascar (2014-2019),Military Forces of Madagascar (2014-2019) Gendarmerie,Madagascar,Sava,Sambava,Farahalana,-14.4333,50.1667,1,National,4
MAG1028,2018-01-14,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Haute Matsiatra,Ikalamavony,Ikalamavony,-21.1617,46.5952,1,National,1
MAG1026,2018-01-11,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Diana,Antsiranana II,Anivorano Avaratra,-12.7333,49.2333,1,National,1
MAG1025,2018-01-10,1,Riots,Violent demonstration,Rioters (Madagascar),Students (Madagascar),Police Forces of Madagascar (2014-2019),,Madagascar,Boeny,Mahajanga I,Mahajanga,-15.7167,46.3167,1,National,0
MAG1024,2018-01-07,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Alaotra Mangoro,Amparafaravola,Ambondroala,-17.5,48.25,1,National,3
MAG1022,2018-01-03,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),,Madagascar,Menabe,Mahabo,Mahabo,-20.3802,44.6667,1,National,0
MAG1023,2018-01-03,2,Riots,Mob violence,Rioters (Madagascar),Vigilante Group (Madagascar),Civilians (Madagascar),,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,3,National,1
MAG1021,2018-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Madagascar),,Civilians (Madagascar),,Madagascar,Atsimo Andrefana,Toliary-I,Toliara,-23.3528,43.6667,1,National,1
MAG1064,2018-04-28,1,Protests,Peaceful protest,Protesters (Madagascar),,,,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,1,International,0
MAG1059,2018-04-21,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Vakinankaratra,Antsirabe I,Antanifotsy,-19.8333,47.0167,2,National,2
MAG1057,2018-04-13,1,Protests,Peaceful protest,Protesters (Madagascar),Wake Up Madagascar,,,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,1,National,0
MAG1097,2018-08-26,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Atsinanana,Mahanoro,Manjakandriana,-19.803,48.5746,1,National,1
MAG1096,2018-08-16,1,Riots,Mob violence,Rioters (Madagascar),Vigilante Group (Madagascar),Civilians (Madagascar),,Madagascar,Sofia,Mampikony,Mampikony,-16.1,47.6333,1,National,1
MAG1093,2018-08-05,1,Riots,Mob violence,Rioters (Madagascar),Vigilante Group (Madagascar),Civilians (Madagascar),,Madagascar,Sofia,Antsohihy,Antsohihy,-14.8747,47.9785,1,National,1
MAG1092,2018-08-01,2,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Melaky,Maintirano,Maintirano,-18.0635,44.0295,1,National,0
MAG1088,2018-07-11,1,Riots,Violent demonstration,Rioters (Madagascar),Students (Madagascar),Police Forces of Madagascar (2014-2019),,Madagascar,Vakinankaratra,Antsirabe II,Vontovorona,-19.905,47.1969,1,National,0
MAG1086,2018-07-08,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,1,National,0
MAG1084,2018-07-05,1,Riots,Violent demonstration,Rioters (Madagascar),Teachers (Madagascar),Police Forces of Madagascar (2014-2019),,Madagascar,Haute Matsiatra,Ambalavao,Anosy,-21.9747,46.9761,1,National,0
MAG1081,2018-07-03,1,Riots,Violent demonstration,Rioters (Madagascar),Students (Madagascar),,,Madagascar,Analamanga,Andramasina,Ankatso,-19.3,47.8333,1,National,0
MAG1080,2018-06-17,1,Battles,Armed clash,Dahalo Militia,,Police Forces of Madagascar (2014-2019),,Madagascar,Vakinankaratra,Betafo,Alarobia Bemaha,-20.2,46.8833,1,National,0
MAG1079,2018-06-13,2,Riots,Violent demonstration,Rioters (Madagascar),Students (Madagascar),,,Madagascar,Analamanga,Antananarivo-Renivohitra,Antananarivo - Arrondissement 4,-18.9363,47.5149,1,National,0
MAG1076,2018-06-10,1,Violence against civilians,Attack,Dahalo Militia,,Civilians (Madagascar),,Madagascar,Menabe,Miandrivazo,Miandrivazo,-19.5167,45.4667,1,National,1
MAG1075,2018-06-10,1,Battles,Armed clash,Dahalo Militia,,Military Forces of Madagascar (2014-2019) Gendarmerie,,Madagascar,Menabe,Miandrivazo,Miandrivazo,-19.5167,45.4667,1,National,2
MAG1073,2018-06-04,1,Battles,Armed clash,Dahalo Militia,,Police Forces of Madagascar (2014-2019),,Madagascar,Ihorombe,Ihosy,Sakalalina,-22.3333,46.4833,1,National,2
