event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
KOR33019,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Health Workers (South Korea),,,South Korea,Gwangju,Nam,Gwangju - Nam,35.094,126.8568,1,National,0
KOR33020,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Health Workers (South Korea),,,South Korea,Gwangju,Seo,Gwangju - Seo,35.1522,126.8874,1,National,0
KOR33021,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),JP: Justice Party (South Korea),,,South Korea,South Jeolla,Mokpo,Mokpo,34.8118,126.3921,1,National,0
KOR33022,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Journalists (South Korea); Minbyun; Lawyers (South Korea),,,South Korea,Gyeonggi,Gwacheon,Gwacheon,37.4339,127.0026,1,National,0
KOR33023,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),PSPD: People's Solidarity for Participatory Democracy,,,South Korea,Seoul Special City,Jongno,Seoul City - Jongno,37.5945,126.9711,1,National,0
KOR33024,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Labor Group (South Korea),,,South Korea,North Chungcheong,Cheongju,Cheongju,36.6269,127.4984,1,National,0
KOR33026,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Labor Group (South Korea),,,South Korea,South Jeolla,Gurye,Bongnam,35.2057,127.4638,1,National,0
KOR33027,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),KCTU: Korean Confederation of Trade Unions; Labor Group (South Korea),,,South Korea,North Chungcheong,Cheongju,Cheongju,36.6269,127.4984,1,National,0
KOR33039,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),SADD: Solidarity Against Disability Discrimination; Labor Group (South Korea),,,South Korea,Seoul Special City,Jongno,Seoul City - Jongno,37.5945,126.9711,1,National,0
KOR33121,2024-01-02,1,Protests,Peaceful protest,Protesters (South Korea),Labor Group (South Korea),,,South Korea,North Jeolla,Jeonju,Jeonju,35.8284,127.1155,1,National,0
KOR33174,2024-01-01,1,Protests,Peaceful protest,Protesters (South Korea),,Protesters (South Korea),,South Korea,South Jeolla,Hampyeong,Geumgye,35.1822,126.5681,1,National,0
KOR33175,2024-01-03,1,Protests,Peaceful protest,Protesters (South Korea),,,,South Korea,North Chungcheong,Cheongju,Cheongju,36.6269,127.4984,1,National,0
