event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
RWA626,2018-01-31,2,Violence against civilians,Attack,Police Forces of Rwanda (1994-),,Civilians (Burundi),,Rwanda,North,Burera,Kanyaru,-1.5688,29.8784,2,National,1
RWA628,2018-02-21,1,Protests,Peaceful protest,Protesters (Democratic Republic of Congo),Refugees/IDPs (Democratic Republic of Congo),,,Rwanda,West,Karongi,Karongi Refugee Camp,-2.134,29.35,1,International,0
RWA635,2018-05-10,2,Strategic developments,Other,Hutu Ethnic Militia (Rwanda),,Civilians (Rwanda),Tutsi Ethnic Group (Rwanda); Health Workers (Rwanda),Rwanda,Kigali City,Gasabo,Ndera,-1.9495,30.1697,1,National,0
RWA645,2018-12-09,1,Battles,Armed clash,Military Forces of Rwanda (1994-),,FDLR: Democratic Forces for the Liberation of Rwanda,,Rwanda,West,Nyabihu,Cyamabuye,-1.636,29.4827,1,National-International,6
RWA633,2018-04-07,2,Violence against civilians,Attack,Police Forces of Rwanda (1994-),,Civilians (Rwanda),Lawyers (Rwanda),Rwanda,Kigali City,Gasabo,Ndera,-1.9495,30.1697,1,International,1
RWA627,2018-02-13,1,Battles,Armed clash,Military Forces of the Democratic Republic of Congo (2001-2019),,Military Forces of Rwanda (1994-),,Rwanda,North,Musanze,Musanze,-1.4915,29.6008,3,International,3
RWA638,2018-06-23,1,Strategic developments,Other,Government of Rwanda (1994-),,Civilians (Burundi),Refugees/IDPs (Burundi),Rwanda,East,Kirehe,Mahama,-2.274,30.8052,1,International,0
RWA710,2018-10-15,3,Violence against civilians,Abduction/forced disappearance,Police Forces of Rwanda (1994-) Prison Guards,,Civilians (Rwanda),FDU: Unified Democratic Forces; Prisoners (Rwanda),Rwanda,South,Nyanza,Mpanga,-2.3062,29.7323,1,Other,0
RWA640,2018-07-01,1,Violence against civilians,Attack,NLF: National Liberation Forces,,Civilians (Rwanda),,Rwanda,South,Nyaruguru,Nyabimata,-2.6908,29.445,2,National-International,2
RWA637,2018-06-19,1,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Rwanda),,Rwanda,South,Nyaruguru,Nyabimata,-2.6908,29.445,1,International,2
RWA636,2018-06-03,1,Protests,Peaceful protest,Protesters (Rwanda),Government of Rwanda (1994-),,,Rwanda,Kigali City,,Kigali,-1.9638,30.0383,1,International,0
RWA634,2018-05-01,1,Riots,Mob violence,Police Forces of Rwanda (1994-),,Rioters (Democratic Republic of Congo),Refugees/IDPs (Democratic Republic of Congo),Rwanda,West,Karongi,Karongi Refugee Camp,-2.134,29.35,1,National,1
RWA647,2018-12-17,2,Battles,Armed clash,Military Forces of Rwanda (1994-),,FLN: National Liberation Front (Rwanda),,Rwanda,South,Muhanga,Nyamabuye,-2.0761,29.7567,2,National-International,3
