event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
COL1992,2020-02-18,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,"Bogota, D.C.","Bogota, D.C.",Bogota,4.6502,-74.1074,1,National,0
COL1997,2020-02-19,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,"Bogota, D.C.","Bogota, D.C.",Bogota,4.6502,-74.1074,1,National,0
COL1855,2020-01-12,2,Strategic developments,Change to group/activity,Gulf Clan,,,,Colombia,Choco,Bojaya,Bojaya,6.5244,-76.976,1,National,0
COL2101,2020-03-19,2,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,"Bogota, D.C.","Bogota, D.C.",Bogota,4.6502,-74.1074,1,National,0
COL2152,2020-04-06,2,Battles,Armed clash,ELN: National Liberation Army,,Gulf Clan,,Colombia,Choco,Bojaya,Bojaya,6.5244,-76.976,2,National,0
COL2156,2020-04-10,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Magdalena,Santa Marta,Santa Marta,11.2294,-74.1909,1,National,0
COL2257,2020-04-30,1,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),,,Colombia,Atlantico,Malambo,Malambo,10.8563,-74.7742,1,Subnational,0
COL2253,2020-04-28,1,Protests,Peaceful protest,Protesters (Colombia),Prisoners (Colombia),,,Colombia,Risaralda,Pereira,Pereira,4.8057,-75.7171,1,Subnational,0
COL2256,2020-04-30,1,Protests,Peaceful protest,Protesters (Colombia),Health Workers (Colombia),,,Colombia,Cesar,El Copey,El Copey,10.1489,-73.9608,1,National,0
COL2252,2020-04-28,1,Riots,Violent demonstration,Rioters (Colombia),,,,Colombia,Atlantico,Malambo,Malambo,10.8563,-74.7742,1,National,0
COL2258,2020-04-30,1,Protests,Peaceful protest,Protesters (Colombia),Health Workers (Colombia),,,Colombia,Cesar,Valledupar,Valledupar,10.4605,-73.2594,1,National,0
