event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LBR1340,2018-02-16,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,1
LBR1334,2018-01-18,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1330,2018-01-11,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1329,2018-01-09,1,Protests,Peaceful protest,Protesters (Liberia),CDC: Coalition for Democratic Change,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1327,2018-01-08,1,Protests,Peaceful protest,Protesters (Liberia),CDC: Coalition for Democratic Change,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1328,2018-01-09,1,Protests,Peaceful protest,Protesters (Liberia),Women (Liberia),,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,Regional,0
LBR1333,2018-01-17,1,Riots,Mob violence,Rioters (Liberia),,Civilians (Liberia),Women (Liberia),Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1342,2018-02-28,1,Riots,Violent demonstration,Rioters (Liberia),,,,Liberia,Nimba,Boe and Quilla,Bomi,6.96,-8.67,2,National,0
LBR1331,2018-01-16,1,Protests,Protest with intervention,Protesters (Liberia),Students (Liberia),Police Forces of Liberia (2006-2018),,Liberia,Nimba,Boe and Quilla,Bomi,6.96,-8.67,1,Regional,0
LBR1326,2018-01-07,1,Battles,Armed clash,Unidentified Armed Group (Liberia),,Police Forces of Liberia (2006-2018),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,International,0
LBR1348,2018-07-04,2,Riots,Violent demonstration,Rioters (Liberia),Students (Liberia),Civilians (Liberia),Students (Liberia),Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1339,2018-02-14,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,Regional,0
LBR1360,2018-11-12,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1361,2018-11-12,2,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1332,2018-01-16,1,Protests,Protest with intervention,Protesters (Liberia),Students (Liberia),Police Forces of Liberia (2006-2018),,Liberia,Grand Cape Mount,Commonwealth,Robertsport,6.7533,-11.3686,1,Regional,0
LBR1338,2018-02-06,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Liberia),,Civilians (Liberia),,Liberia,Montserrado,Commonwealth,Mount Barclay,6.3494,-10.6531,2,National,0
LBR1621,2018-12-12,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Liberia),,Civilians (Liberia),Women (Liberia),Liberia,Sinoe,Kpayan,Johnny,5.0796,-8.9535,1,National,1
LBR1632,2018-11-15,3,Riots,Mob violence,Rioters (Liberia),,Civilians (Liberia),LGBTQ+ (Liberia),Liberia,Montserrado,Greater Monrovia,Sinkor,6.3,-10.7667,1,International,0
LBR1631,2018-05-16,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),Women (Liberia),Liberia,Nimba,Leewehpea-Mahn,Saclepea,7.11,-8.84,1,National,0
LBR1343,2018-04-16,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),Civilians (Liberia),,Liberia,Montserrado,Greater Monrovia,Caldwell,6.3922,-10.7341,1,National,1
LBR1346,2018-06-14,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Nimba,Garr-Bain,Ganta,7.235,-8.984,1,National,0
LBR1344,2018-05-15,1,Protests,Peaceful protest,Protesters (Liberia),Students (Liberia),,,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,1,Regional,0
LBR1355,2018-10-18,1,Protests,Peaceful protest,Protesters (Liberia),Women (Liberia),,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1354,2018-10-08,1,Protests,Peaceful protest,Protesters (Liberia),Labor Group (Liberia),,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1353,2018-10-01,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1352,2018-09-24,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1351,2018-09-10,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1350,2018-08-24,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Saint Paul River,Brewersville,6.4226,-10.7849,1,National,0
LBR1335,2018-01-18,1,Riots,Violent demonstration,Rioters (Liberia),UP: Unity Party (Liberia),Rioters (Liberia),UP: Unity Party (Liberia),Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
LBR1336,2018-01-28,2,Protests,Protest with intervention,Protesters (Liberia),Students (Liberia),Police Forces of Liberia (2018-),,Liberia,Grand Cape Mount,Commonwealth,Robertsport,6.7533,-11.3686,1,International,0
LBR1337,2018-01-31,1,Strategic developments,Arrests,Police Forces of Liberia (2018-),,Civilians (Liberia),,Liberia,Margibi,Kakata,Kakata,6.5318,-10.3514,2,International,0
LBR1341,2018-02-19,1,Riots,Violent demonstration,Rioters (Liberia),,Police Forces of Liberia (2018-),,Liberia,Montserrado,Careysburg,Bensonville,6.4469,-10.6181,1,International,0
LBR1345,2018-05-24,1,Riots,Mob violence,Rioters (Liberia),,Police Forces of Liberia (2018-),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,National,0
LBR1347,2018-06-14,1,Riots,Violent demonstration,Rioters (Liberia),,Police Forces of Liberia (2018-),,Liberia,Lofa,Voinjama,Voinjama,8.4226,-9.7524,3,National,0
LBR1349,2018-08-06,1,Protests,Protest with intervention,Protesters (Liberia),Taxi Drivers (Liberia),Police Forces of Liberia (2018-),,Liberia,Montserrado,Greater Monrovia,Paynesville,6.2756,-10.7178,1,National,0
LBR1358,2018-10-27,1,Riots,Mob violence,Rioters (Liberia),,Police Forces of Liberia (2018-),,Liberia,Montserrado,Commonwealth,Bassa Town,6.3833,-10.6167,1,National,0
LBR1365,2018-11-26,1,Protests,Protest with intervention,Protesters (Liberia),,Police Forces of Liberia (2018-),,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,2,National,0
LBR1366,2018-12-03,1,Riots,Violent demonstration,Rioters (Liberia),,Police Forces of Liberia (2018-),,Liberia,Montserrado,Greater Monrovia,Caldwell,6.3922,-10.7341,1,National,0
LBR1364,2018-11-17,1,Riots,Mob violence,Rioters (Liberia),UP: Unity Party (Liberia),Rioters (Liberia),CDC: Coalition for Democratic Change,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1359,2018-11-05,1,Riots,Mob violence,Rioters (Liberia),Vigilante Group (Liberia),,,Liberia,Bong,Jorquelleh,Gbarnga,7.0,-9.47,1,National,0
LBR1357,2018-10-23,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,National,0
LBR1356,2018-09-17,1,Protests,Peaceful protest,Protesters (Liberia),,,,Liberia,Montserrado,Greater Monrovia,Monrovia,6.31,-10.8,1,International,0
