event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
YEM94816,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Unidentified Tribal Group (Yemen); Military Forces of Yemen (2017-) Houthi; Police Forces of Yemen (2017-) Houthi,,,Yemen,Dhamar,Dawran Aness,Dawran ad Daydah,14.7393,44.2066,2,National,0
YEM94822,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sanaa,Al Haymah Ad Dakhiliyah,Bab Sar,15.2445,43.8433,1,National,0
YEM94825,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sanaa,Al Haymah Ad Dakhiliyah,Az Zarfi,15.2984,43.8277,1,National,0
YEM94826,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sanaa,Al Haymah Ad Dakhiliyah,Bayt al Khattabi,15.296,43.8349,1,National,0
YEM94829,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sanaa,Al Haymah Ad Dakhiliyah,Ghiyal ad Dakhili,15.2773,43.8251,1,National,0
YEM94831,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sanaa,Al Haymah Ad Dakhiliyah,Al Marwalah,15.215,43.826,1,National,0
YEM94832,2025-01-05,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sanaa,Al Haymah Ad Dakhiliyah,Jabal Bani Ahmad,15.2233,43.78,2,National,0
YEM94845,2025-01-04,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Health Workers (Yemen); Labor Group (Yemen),,,Yemen,Hajjah,Wadhrah,Wadhrah,15.7107,43.4832,2,National,0
YEM94868,2025-01-08,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Police Forces of Yemen (2017-) Houthi; Unidentified Tribal Group (Yemen),,,Yemen,Taizz,Hayfan,Uzlat Al Aghabirah,13.3091,44.2896,2,National,0
YEM94979,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Military Forces of Yemen (2017-) Houthi; Police Forces of Yemen (2017-) Houthi,,,Yemen,Taizz,Mawyeh,Ash Shaykh Ubayd,13.7161,44.2125,1,National,0
YEM94984,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Military Forces of Yemen (2017-) Houthi; Police Forces of Yemen (2017-) Houthi,,,Yemen,Taizz,Al Mawasit,Az Zabirah,13.2824,44.2092,1,National,0
YEM94989,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi; Military Forces of Yemen (2017-) Houthi; Police Forces of Yemen (2017-) Houthi,,,Yemen,Taizz,Hayfan,Uzlat Al Abus,13.2685,44.3043,2,National,0
YEM95008,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Far Al Udayn,Uzlat Al Aqibah,13.8786,43.7357,2,National,0
YEM95025,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Far Al Udayn,Husayd,13.8868,43.7488,1,National,0
YEM95028,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Far Al Udayn,Al Jillah,13.9145,43.7869,1,National,0
YEM95030,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Hazm Al Udayn,Bani Harb,14.1381,43.9717,1,National,0
YEM95031,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Hazm Al Udayn,Hujafah,14.028,43.9718,1,National,0
YEM95035,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Hazm Al Udayn,Barash,14.0428,43.9473,1,National,0
YEM95036,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Hazm Al Udayn,Shib ar Rawnah,14.1272,43.9849,1,National,0
YEM95038,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Ibb,Hazm Al Udayn,Al Barah,14.1597,43.996,1,National,0
YEM95062,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sadah,Ghamr,Ar Rahmanayn,17.019,43.2983,1,National,0
YEM95064,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sadah,Saqayn,Uzlat Arw,16.9411,43.5175,2,National,0
YEM95087,2025-01-10,1,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,,,Yemen,Sadah,Al Dhaher,Jafrah,16.6537,43.2992,1,National,0
