event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
LES183,2022-01-05,1,Protests,Peaceful protest,Protesters (Lesotho),Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES182,2022-01-04,1,Protests,Peaceful protest,Protesters (Lesotho),Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES181,2022-01-03,1,Protests,Peaceful protest,Protesters (Lesotho),Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES184,2022-01-11,2,Violence against civilians,Attack,Police Forces of Lesotho (2017-),,Civilians (Lesotho),Prisoners (Lesotho); Lawyers (Lesotho); Police Forces of Lesotho (2017-),Lesotho,Maseru,,Maseru,-29.3167,27.4833,3,National-Regional,0
LES186,2022-02-21,1,Protests,Peaceful protest,Protesters (Lesotho),,,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES187,2022-02-19,1,Violence against civilians,Attack,Unidentified Armed Group (Lesotho),,Civilians (Lesotho),Lawyers (Lesotho); Government of Lesotho (2017-),Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,1
LES188,2022-02-22,1,Riots,Violent demonstration,Rioters (Lesotho),,Police Forces of Lesotho (2017-),,Lesotho,Butha-Buthe,,Qalo,-28.7189,28.313,1,National,0
LES189,2022-02-16,2,Riots,Mob violence,Rioters (Lesotho),Vigilante Group (Lesotho),Civilians (Lesotho),,Lesotho,Berea,,Teyateyaneng,-29.1519,27.7427,2,National,1
LES190,2022-03-16,2,Violence against civilians,Attack,Police Forces of Lesotho (2017-),,Civilians (Lesotho),,Lesotho,Maseru,,Maseru,-29.3167,27.4833,2,National,1
LES191,2022-02-22,1,Violence against civilians,Attack,Private Security Forces (Lesotho),BAP: Basotho Action Party,Civilians (Lesotho),,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES192,2022-04-06,2,Protests,Peaceful protest,Protesters (Lesotho),Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES193,2022-04-19,1,Violence against civilians,Attack,Unidentified Armed Group (Lesotho),,Civilians (Lesotho),Police Forces of Lesotho (2017-),Lesotho,Maseru,,Qoaling,-29.3358,27.498,1,National,1
LES194,2022-04-17,1,Violence against civilians,Attack,Unidentified Armed Group (Lesotho),,Civilians (Lesotho),,Lesotho,Mokhotlong,,Mokhotlong,-29.2881,29.0665,1,National,1
LES196,2022-05-17,1,Protests,Peaceful protest,Protesters (Lesotho),,,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES195,2022-05-17,1,Riots,Violent demonstration,Rioters (Lesotho),Students (Lesotho),Civilians (Lesotho),Private Security Forces (Lesotho); Police Forces of Lesotho (2017-),Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES198,2022-06-02,1,Protests,Peaceful protest,Protesters (Lesotho),Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES199,2022-05-30,1,Protests,Peaceful protest,Protesters (Lesotho),RFP: Revolution for Prosperity,,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES200,2022-06-07,1,Violence against civilians,Attack,Unidentified Armed Group (Lesotho),,Civilians (Lesotho),Police Forces of Lesotho (2017-) Lesotho Correctional Service,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,1
LES201,2022-06-13,1,Protests,Peaceful protest,Protesters (Lesotho),Health Workers (Lesotho); Labor Group (Lesotho),,,Lesotho,Maseru,,Morija,-29.625,27.5143,1,National,0
LES203,2022-06-16,1,Protests,Excessive force against protesters,Protesters (Lesotho),Students (Lesotho),Police Forces of Lesotho (2017-),,Lesotho,Maseru,,Roma,-29.4613,27.7249,1,National-Regional,2
LES197,2022-05-19,1,Protests,Excessive force against protesters,Protesters (Lesotho),,Police Forces of Lesotho (2017-),,Lesotho,Mokhotlong,,Mokhotlong,-29.2881,29.0665,2,National,0
LES202,2022-06-13,1,Riots,Mob violence,Rioters (Lesotho),Students (Lesotho),Civilians (Lesotho),Students (Lesotho),Lesotho,Quthing,,Quthing,-30.3974,27.7068,1,National,1
LES205,2022-06-22,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Lesotho),,Civilians (Lesotho),Government of Lesotho (2017-),Lesotho,Mafeteng,,Mafeteng,-29.823,27.2374,1,National,0
LES206,2022-06-22,2,Riots,Mob violence,Rioters (Lesotho),Vigilante Group (Lesotho),Civilians (Lesotho),Taxi Drivers (Lesotho),Lesotho,Maseru,,Ha Matala,-29.3755,27.5431,1,National,2
LES208,2022-07-11,1,Protests,Peaceful protest,Protesters (Lesotho),Teachers (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES207,2022-07-10,1,Riots,Mob violence,Rioters (Lesotho),Students (Lesotho),Police Forces of Lesotho (2017-),,Lesotho,Maseru,,Roma,-29.4613,27.7249,1,National,0
LES211,2022-07-29,1,Protests,Peaceful protest,Protesters (Lesotho),Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES214,2022-09-04,1,Riots,Mob violence,Rioters (Lesotho),Vigilante Group (Lesotho),Military Forces of Lesotho (2017-),,Lesotho,Quthing,,Quthing,-30.3974,27.7068,1,National,1
LES215,2022-10-03,1,Protests,Peaceful protest,Protesters (Lesotho),Students (Lesotho),,,Lesotho,Maseru,,Roma,-29.4613,27.7249,1,National,0
LES216,2022-10-07,1,Strategic developments,Other,Government of Lesotho (2017-),RFP: Revolution for Prosperity,,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,3,International,0
LES217,2022-10-28,1,Protests,Peaceful protest,Protesters (Lesotho),,,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES218,2022-11-20,1,Protests,Peaceful protest,Protesters (Lesotho),LGBTQ+ (Lesotho); Women (Lesotho); Labor Group (Lesotho),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES212,2022-08-05,1,Protests,Peaceful protest,Protesters (Lesotho),Women (Lesotho); Police Forces of Lesotho (2017-),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES213,2022-08-10,2,Protests,Peaceful protest,Protesters (Lesotho),Women (Lesotho); Police Forces of Lesotho (2017-),,,Lesotho,Maseru,,Maseru,-29.3167,27.4833,1,National,0
LES219,2022-11-25,1,Protests,Peaceful protest,Protesters (Lesotho),Students (Lesotho); Women (Lesotho),,,Lesotho,Mafeteng,,Mafeteng,-29.823,27.2374,1,National,0
