event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
THA8835,2020-12-28,1,Protests,Peaceful protest,Protesters (Thailand),Teachers (Thailand),,,Thailand,Khon Kaen,Mueang Khon Kaen,Khon Kaen,16.4467,102.833,1,National,0
THA8834,2020-12-25,2,Protests,Peaceful protest,Protesters (Thailand),Labor Group (Thailand),,,Thailand,Phra Nakhon Si Ayutthaya,Bang Pa-In,Khlong Chik,14.2115,100.6066,2,National,0
THA8832,2020-12-24,1,Protests,Peaceful protest,Protesters (Thailand),,,,Thailand,Samut Sakhon,Mueang Samut Sakhon,Bang Ya Phraek,13.5263,100.2809,2,National,0
THA8830,2020-12-21,1,Protests,Peaceful protest,Protesters (Thailand),Students (Thailand),,,Thailand,Tak,Mae Sot,Mae Sot,16.7166,98.5666,1,National,0
THA8828,2020-12-18,1,Protests,Peaceful protest,Protesters (Thailand),,,,Thailand,Nakhon Ratchasima,Mueang Nakhon Ratchasima,Nakhon Ratchasima,14.9706,102.1019,3,National,0
THA8823,2020-12-15,1,Protests,Peaceful protest,Protesters (Thailand),,,,Thailand,Songkhla,Mueang Songkhla,Songkhla,7.1988,100.5951,1,National,0
THA8821,2020-12-14,1,Protests,Peaceful protest,Protesters (Thailand),,,,Thailand,Loei,Chiang Khan,Huai Hin So,17.8443,101.616,1,National,0
THA8820,2020-12-13,1,Protests,Peaceful protest,Protesters (Thailand),,,,Thailand,Lamphun,Mueang Lamphun,Ton Pan,18.5009,98.9916,1,National,0
THA8819,2020-12-13,1,Protests,Peaceful protest,Protesters (Thailand),Labor Group (Thailand),,,Thailand,Phichit,Tap Khlo,Khao Chet Luk,16.2834,100.604,2,National,0
THA8794,2020-12-03,1,Protests,Peaceful protest,Protesters (Thailand),Labor Group (Thailand),,,Thailand,Nonthaburi,Mueang Nonthaburi,Nonthaburi,13.8607,100.5147,1,National,0
THA8765,2020-11-28,1,Protests,Peaceful protest,Protesters (Thailand),Labor Group (Thailand),,,Thailand,Prachin Buri,Si Maha Phot,Tha Tum,13.9218,101.5723,2,National,0
THA8764,2020-11-26,2,Protests,Peaceful protest,Protesters (Thailand),P-Move: The People's Movement for a Just Society,,,Thailand,Phuket,Mueang Phuket,Phuket,7.8905,98.3981,1,National,0
THA8762,2020-11-26,1,Protests,Peaceful protest,Protesters (Thailand),Farmers (Thailand),,,Thailand,Lamphun,Mueang Lamphun,Mueang Lamphun,18.5728,99.0049,1,National,0
THA8772,2020-11-25,1,Explosions/Remote violence,Remote explosive/landmine/IED,Malay Muslim Separatists (Thailand),,Civilians (Thailand),,Thailand,Narathiwat,Si Sakhon,Ai Yaeng,6.174,101.5155,1,National,0
