event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
HRV162,2018-11-05,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Split-Dalmatia,Postira,Brac,43.32,16.6372,1,National,0
HRV94,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Karlovac,Karlovac,Karlovac,45.4872,15.5478,1,National,0
HRV95,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Primorje-Gorski Kotar,Lovran,Lovran,45.2919,14.2742,1,National,0
HRV97,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Istria,Pazin,Pazin,45.2403,13.9367,1,Subnational,0
HRV98,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Pozega-Slavonia,Pozega,Pozega,45.3403,17.6853,1,National,0
HRV99,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Istria,Pula,Pula,44.8683,13.8481,1,Subnational,0
HRV100,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Primorje-Gorski Kotar,Rijeka,Rijeka,45.3431,14.4092,1,National,0
HRV101,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Zagreb,Samobor,Samobor,45.8031,15.7181,1,National,0
HRV103,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Split-Dalmatia,Split,Split,43.5139,16.4558,1,National,0
HRV104,2018-06-20,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Split-Dalmatia,Trogir,Trogir,43.5125,16.2517,1,National,0
HRV83,2018-06-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Osijek-Baranja,Osijek,Osijek,45.5511,18.6939,1,National,0
HRV84,2018-06-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Istria,Pazin,Pazin,45.2403,13.9367,1,Subnational,0
HRV85,2018-06-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Pozega-Slavonia,Pozega,Pozega,45.3403,17.6853,1,National,0
HRV86,2018-06-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Primorje-Gorski Kotar,Rijeka,Rijeka,45.3431,14.4092,1,National,0
HRV88,2018-06-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Sibenik-Knin,Sibenik,Sibenik,43.7272,15.9058,1,National,0
HRV89,2018-06-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Karlovac,Slunj,Slunj,45.1151,15.5846,1,National,0
HRV21,2018-02-21,1,Protests,Peaceful protest,Protesters (Croatia),Labor Group (Croatia),,,Croatia,Split-Dalmatia,Split,Split,43.5139,16.4558,1,National,0
HRV19,2018-02-20,1,Protests,Peaceful protest,Protesters (Croatia),Labor Group (Croatia),,,Croatia,Split-Dalmatia,Split,Split,43.5139,16.4558,1,National,0
HRV15,2018-02-15,1,Protests,Peaceful protest,Protesters (Croatia),Labor Group (Croatia),,,Croatia,Istria,Pula,Pula,44.8683,13.8481,1,Subnational,0
HRV10,2018-01-29,1,Strategic developments,Other,Government of Croatia (2016-),,,,Croatia,Istria,Umag,Savudrija,45.4913,13.5066,2,National,0
HRV9,2018-01-23,1,Protests,Peaceful protest,Protesters (Croatia),Labor Group (Croatia),,,Croatia,Istria,Pula,Pula,44.8683,13.8481,1,Subnational,0
HRV8,2018-01-22,1,Protests,Peaceful protest,Protesters (Croatia),Labor Group (Croatia),,,Croatia,Istria,Pula,Pula,44.8683,13.8481,1,National,0
HRV2,2018-01-11,1,Strategic developments,Disrupted weapons use,Police Forces of Croatia (2016-),,Unidentified Armed Group (Croatia),,Croatia,Sisak-Moslavina,Petrinja,Graberje,45.3934,16.1644,1,National,0
HRV50,2018-04-12,1,Protests,Peaceful protest,Protesters (Croatia),Catholic Christian Group (Croatia),Protesters (Croatia),Women (Croatia),Croatia,Split-Dalmatia,Split,Split,43.5139,16.4558,1,National-International,0
HRV182,2018-12-22,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Zagreb,Pisarovina,Pisarovina,45.5864,15.8592,1,National,0
HRV183,2018-12-22,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Sisak-Moslavina,Sisak,Sisak,45.4661,16.3783,1,National,0
HRV179,2018-12-19,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Dubrovnik-Neretva,Metkovic,Metkovic,43.0542,17.6483,1,National,0
HRV180,2018-12-19,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Zadar,Zadar,Zadar,44.1197,15.2422,1,National,0
HRV174,2018-12-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Istria,Pula,Pula,44.8683,13.8481,1,Subnational,0
HRV176,2018-12-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Zadar,Zadar,Zadar,44.1197,15.2422,1,National,0
HRV175,2018-12-15,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Primorje-Gorski Kotar,Rijeka,Rijeka,45.3431,14.4092,1,National,0
HRV171,2018-12-09,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Split-Dalmatia,Split,Split,43.5139,16.4558,1,National,0
HRV166,2018-11-11,1,Protests,Peaceful protest,Protesters (Croatia),,,,Croatia,Istria,Novigrad,Novigrad,45.3175,13.5643,1,Subnational,0
