event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
BHR10224,2022-01-01,1,Protests,Protest with intervention,Protesters (Bahrain),February 14 Youth Coalition,Police Forces of Bahrain (1999-),,Bahrain,Capital,,Sitrah,26.1547,50.6206,1,Other,0
BHR10226,2022-01-07,1,Protests,Peaceful protest,Protesters (Bahrain),,,,Bahrain,Northern,,Abu Saybi,26.2175,50.5069,1,National,0
BHR10232,2022-01-12,1,Protests,Peaceful protest,Protesters (Bahrain),,,,Bahrain,Southern,,Dar Kulaib,26.0686,50.5039,1,International,0
BHR10233,2022-01-13,1,Protests,Peaceful protest,Protesters (Bahrain),,,,Bahrain,Southern,,Dar Kulaib,26.0686,50.5039,1,International,0
BHR10240,2022-01-15,1,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Abu Saybi,26.2175,50.5069,1,Other,0
BHR10241,2022-01-15,1,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Ash Shakhurah,26.2147,50.5069,1,Other,0
BHR10242,2022-01-15,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Shahrakkan,26.0753,50.5014,1,Other,0
BHR10296,2022-02-14,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Karzakkan,26.1156,50.4819,1,Other,0
BHR10291,2022-02-14,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Aali,26.1619,50.5164,1,Other,0
BHR10293,2022-02-14,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Al Markh,26.2103,50.4733,1,Other,0
BHR10305,2022-02-18,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Ash Shakhurah,26.2147,50.5069,1,Other,0
BHR10297,2022-02-14,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Southern,,Nuwaidrat,26.1347,50.5975,1,Other,0
BHR10306,2022-02-18,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Bu Quwa,26.2047,50.52,1,Other,0
BHR10269,2022-02-12,1,Protests,Peaceful protest,Protesters (Bahrain),,,,Bahrain,Northern,,Barbar,26.2294,50.4806,1,National,0
BHR10254,2022-02-10,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Capital,,Sitrah,26.1547,50.6206,1,Other-New media,0
BHR10255,2022-02-11,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Northern,,Barbar,26.2294,50.4806,1,Other-New media,0
BHR10257,2022-02-11,1,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,,,Bahrain,Capital,,Sitrah,26.1547,50.6206,1,Other,0
BHR10265,2022-02-09,1,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,Police Forces of Bahrain (1999-),,Bahrain,Northern,,Bani Jamrah,26.2097,50.4597,2,Other,0
BHR10264,2022-02-11,1,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,Police Forces of Bahrain (1999-),,Bahrain,Northern,,Bu Quwa,26.2047,50.52,2,Other,0
