event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
IND25483,2017-12-31,1,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Punjab,Jalandhar,Jalandhar,31.3255,75.5791,1,National,0
IND25475,2017-12-30,2,Protests,Peaceful protest,Protesters (India),JKNPP: Jammu and Kashmir National Panthers Party,,,India,Jammu and Kashmir,Jammu,Jammu,32.7357,74.8691,1,Subnational,0
IND25414,2017-12-28,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Punjab,Bathinda,Bathinda,30.2108,74.9452,1,National,0
IND25415,2017-12-28,1,Protests,Peaceful protest,Protesters (India),Labor Group (India),,,India,Punjab,Bathinda,Bathinda,30.2108,74.9452,2,National,0
IND25421,2017-12-28,1,Protests,Peaceful protest,Protesters (India),,,,India,Haryana,Gurugram,Gurgaon,28.4601,77.0263,1,National,0
IND25422,2017-12-28,1,Protests,Peaceful protest,Protesters (India),,,,India,Haryana,Hisar,Hisar,29.1539,75.7229,2,National,0
IND25425,2017-12-28,1,Protests,Peaceful protest,Protesters (India),,,,India,West Bengal,South 24 Parganas,Machibhanga,22.6069,88.5769,1,National,0
IND25354,2017-12-27,2,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Karnataka,Belagavi,Kittur,15.5958,74.7918,1,National,0
IND25355,2017-12-27,2,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Karnataka,Belagavi,Parasgad,15.7392,75.129,1,National,0
IND25359,2017-12-27,2,Protests,Protest with intervention,Protesters (India),Farmers (India),Police Forces of India (2014-),,India,Karnataka,Belagavi,Bailhongal,15.8137,74.8589,1,National,0
IND25370,2017-12-27,2,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Karnataka,Belagavi,Chikodi,16.4289,74.5859,1,National,0
IND25379,2017-12-27,2,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Karnataka,Belagavi,Hire Bagewadi,15.7767,74.6366,1,National,0
IND25381,2017-12-27,2,Protests,Protest with intervention,Protesters (India),BJP: Bharatiya Janata Party,Police Forces of India (2014-),,India,Karnataka,Dharwad,Hubballi,15.3477,75.1337,1,National,0
IND25397,2017-12-27,2,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Karnataka,Belagavi,Ramdurg,15.9457,75.2978,1,National,0
IND25398,2017-12-27,2,Protests,Peaceful protest,Protesters (India),Farmers (India),,,India,Karnataka,Belagavi,Saundatti,15.7661,75.1177,1,National,0
IND25312,2017-12-25,1,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,,,India,Uttarakhand,Dehradun,Dehradun,30.3229,78.0316,1,National,0
IND25321,2017-12-25,1,Riots,Mob violence,Rioters (India),BJP: Bharatiya Janata Party,Police Forces of India (2014-),,India,Andhra Pradesh,Kurnool,Chintakunta,15.3979,78.4384,1,National,0
