event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
ATG15,2020-07-10,1,Violence against civilians,Attack,Unidentified Armed Group (Antigua and Barbuda),,Civilians (Antigua and Barbuda),Police Forces of Antigua and Barbuda (2014-),Antigua and Barbuda,Saint George,,New Winthorpes,17.1472,-61.8127,2,National,1
ATG44,2020-12-23,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),,,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG43,2020-12-03,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),Labor Group (Antigua and Barbuda),,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG18,2020-09-29,2,Violence against civilians,Attack,Unidentified Armed Group (Antigua and Barbuda),,Civilians (Antigua and Barbuda),Police Forces of Antigua and Barbuda (2014-),Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG17,2020-08-24,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),Christian Group (Antigua and Barbuda); Labor Group (Antigua and Barbuda),,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG16,2020-07-28,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),,,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG14,2020-06-03,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),,,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG13,2020-05-12,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),Health Workers (Antigua and Barbuda),,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG12,2020-04-25,1,Violence against civilians,Attack,Police Forces of Antigua and Barbuda (2014-),,Civilians (Antigua and Barbuda),,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
ATG87,2020-04-13,2,Violence against civilians,Attack,Military Forces of Antigua and Barbuda (2014-),Police Forces of Antigua and Barbuda (2014-),Civilians (Antigua and Barbuda),,Antigua and Barbuda,Saint Paul,,Falmouth,17.0235,-61.7733,2,National,1
ATG11,2020-03-28,1,Strategic developments,Change to group/activity,Government of Antigua and Barbuda (2014-),,,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,3,National,0
ATG10,2020-02-17,1,Protests,Peaceful protest,Protesters (Antigua and Barbuda),Health Workers (Antigua and Barbuda),,,Antigua and Barbuda,Saint John,,Saint John's,17.121,-61.8433,1,National,0
