event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities
IRL823,2023-01-19,1,Riots,Violent demonstration,Rioters (Ireland),,Police Forces of Ireland (2020-),,Ireland,Cork,Fermoy,Fermoy,52.1381,-8.2752,1,National,0
IRL855,2023-02-04,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL864,2023-02-13,1,Protests,Peaceful protest,Protesters (Ireland),Farmers (Ireland); IFA: Irish Farmers Association,,,Ireland,Roscommon,Roscommon,Roscommon,53.6312,-8.1907,1,National,0
IRL809,2023-01-09,1,Protests,Peaceful protest,Protesters (Ireland),IFP: The Irish Freedom Party; NP: National Party,,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL898,2023-03-13,1,Protests,Peaceful protest,Protesters (Ireland),Police Forces of Ireland (2020-),,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL909,2023-03-23,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Westmeath,Mullingar-Kinnegad,Mullingar,53.5263,-7.3415,1,National,0
IRL850,2023-01-28,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL870,2023-02-24,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL910,2023-03-25,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland); Romani Ethnic Group (Ireland),,,Ireland,Galway,Galway,Galway,53.2744,-9.049,1,National,0
IRL917,2023-04-01,1,Protests,Peaceful protest,Protesters (Ireland),Government of Ireland (2020-); Labour Party (Ireland); PBP: People Before Profit (Ireland); SD: Social Democrats; SF: Sinn Fein; Students (Ireland); Labor Group (Ireland); Aontu,,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL933,2023-04-24,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Clare,Ennis,Ennis,52.8436,-8.9863,1,National,0
IRL935,2023-04-24,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL936,2023-04-24,1,Protests,Peaceful protest,Protesters (Ireland),,,,Ireland,Leitrim,Manorhamilton,Manorhamilton,54.304,-8.1754,1,National,0
IRL942,2023-05-02,1,Protests,Peaceful protest,Protesters (Ireland),Lawyers (Ireland),,,Ireland,Dublin,Dublin City,Dublin,53.3498,-6.2603,1,National,0
IRL951,2023-05-15,1,Riots,Mob violence,Rioters (Ireland),,Civilians (Ireland),LGBTQ+ (Ireland),Ireland,Meath,Navan,Navan,53.6461,-6.6979,1,National-Regional,0
IRL953,2023-05-21,1,Protests,Peaceful protest,Protesters (Ireland),LGBTQ+ (Ireland); Government of Ireland (2020-); SF: Sinn Fein,,,Ireland,Meath,Navan,Navan,53.6461,-6.6979,1,National-Regional,0
IRL963,2023-06-10,1,Protests,Peaceful protest,Protesters (Ireland),Labor Group (Ireland); SIPTU: Services Industrial Professional and Technical Union,,,Ireland,Cork,Cork City,Cork,51.8979,-8.4705,1,National,0
