event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ANG4017,2024-01-03,2,Violence against civilians,Sexual violence,Police Forces of Angola (1975-),,Civilians (Angola),Women (Angola),Angola,Uige,Quitexe,Quitexe,-7.9333,15.05,1,National,1,AGO
ANG4020,2024-01-06,1,Protests,Peaceful protest,Protesters (Angola),,,,Angola,Huila,Caconda,Caconda,-13.7333,15.0666,1,National,0,AGO
ANG4021,2024-01-04,1,Protests,Protest with intervention,Protesters (Angola),,Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4022,2024-01-22,1,Strategic developments,Arrests,Police Forces of Angola (1975-),,Civilians (Angola),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4023,2024-01-17,2,Strategic developments,Arrests,Police Forces of Angola (1975-),,Civilians (Democratic Republic of Congo),Migrants (Democratic Republic of Congo),Angola,Lunda Norte,Cambulo,Cambulo,-7.75,21.25,1,National,0,AGO
ANG4024,2024-01-29,1,Protests,Peaceful protest,Protesters (Angola),Students (Angola),,,Angola,Luanda,Belas,Belas,-8.9172,13.1642,1,National,0,AGO
ANG4025,2024-01-29,1,Strategic developments,Other,Unidentified Armed Group (Angola),,,,Angola,Moxico,Luena,Luena,-11.7833,19.9166,2,National,0,AGO
ANG4026,2024-02-16,1,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),Farmers (Angola); Women (Angola),Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4027,2024-02-13,1,Battles,Armed clash,FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,,Military Forces of Angola (1975-),,Angola,Cabinda,Belize,Belize,-4.65,12.7666,2,National,10,AGO
ANG4028,2024-01-01,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),Police Forces of Angola (1975-),Angola,Huila,Quipungo,Quipungo,-14.8167,14.55,1,National,1,AGO
ANG4029,2024-01-11,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Uige,Mucaba,Mucaba,-7.2666,15.0833,2,National,1,AGO
ANG4030,2024-01-17,1,Riots,Violent demonstration,Rioters (Angola),Labor Group (Angola),Police Forces of Angola (1975-),,Angola,Huila,Lubango,Lubango,-14.9167,13.5,1,International,0,AGO
ANG4031,2024-01-20,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Benguela,Benguela,Benguela,-12.5802,13.4077,1,National,0,AGO
ANG4033,2024-01-20,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4034,2024-02-10,1,Strategic developments,Other,Unidentified Armed Group (Angola),,Civilians (Angola),,Angola,Bie,Cunhinga,Cunhinga,-12.2333,16.7833,2,National,5,AGO
ANG4035,2024-03-01,2,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Luanda,Cazenga,Cazenga,-8.8248,13.3131,1,National,1,AGO
ANG4036,2024-02-24,1,Protests,Protest with intervention,Protesters (Angola),,Police Forces of Angola (1975-),,Angola,Benguela,Lobito,Lobito,-12.3197,13.5997,1,National,0,AGO
ANG4037,2024-03-02,1,Protests,Peaceful protest,Protesters (Angola),Women (Angola),,,Angola,Moxico,Luena,Luena,-11.7833,19.9166,1,National,0,AGO
ANG4038,2024-03-14,1,Riots,Violent demonstration,Rioters (Angola),,Police Forces of Angola (1975-),,Angola,Lunda Norte,Xa-Muteba,Cuango,-9.1333,18.05,1,International,0,AGO
ANG4039,2024-03-11,1,Protests,Peaceful protest,Protesters (Angola),Taxi Drivers (Angola),,,Angola,Malanje,Malanje,Malanje,-9.5447,16.3452,1,National,0,AGO
ANG4040,2024-03-14,2,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),Miners (Angola),Angola,Lunda Norte,Xa-Muteba,Cuango,-9.1333,18.05,1,International,1,AGO
ANG4041,2024-03-20,1,Strategic developments,Other,Protesters (Angola),CGSILA: General Centre of Independent and Free Unions of Angola; FSA-CS: Angolan Trade Union Force - Trade Union Confederation; Labor Group (Angola); UNTA-CS: National Union of Angolan Workers,,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,3,National,0,AGO
ANG4043,2024-03-18,1,Riots,Mob violence,Rioters (Angola),Police Forces of Angola (1975-); Vigilante Group (Angola),Civilians (Angola),,Angola,Zaire,Mbanza Congo,Mbanza Congo,-6.2666,14.25,1,National,1,AGO
ANG4042,2024-03-16,1,Protests,Protest with intervention,Protesters (Angola),,Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4044,2024-03-31,2,Strategic developments,Disrupted weapons use,Police Forces of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cuanza Sul,Sumbe,Sumbe,-11.2019,13.8397,1,National,0,AGO
ANG4045,2024-03-31,2,Strategic developments,Disrupted weapons use,Police Forces of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cuanza Sul,Libolo,Calulo,-10.0,14.9,1,National,0,AGO
ANG4046,2024-04-04,1,Strategic developments,Other,FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,,,,Angola,Cabinda,Cabinda,Cabinda,-5.5758,12.1871,1,National-International,0,AGO
ANG4047,2024-04-01,1,Protests,Protest with intervention,Protesters (Angola),Military Forces of Angola (1975-),Police Forces of Angola (1975-),,Angola,Benguela,Benguela,Benguela,-12.5802,13.4077,1,National-International,0,AGO
ANG4048,2024-04-06,2,Protests,Peaceful protest,Protesters (Angola),,,,Angola,Luanda,Cazenga,Cazenga,-8.8248,13.3131,1,National,0,AGO
ANG4049,2024-04-08,1,Strategic developments,Other,Unidentified Armed Group (Angola),,Civilians (Angola),,Angola,Cuando Cubango,Menongue,Menongue,-14.6666,17.7,1,National,3,AGO
ANG4052,2024-04-14,1,Riots,Mob violence,Rioters (Angola),Christian Group (Angola); IURD: Universal Church of the Kingdom of God (Angola),Rioters (Angola),Christian Group (Angola); IURD: Universal Church of the Kingdom of God (Angola),Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4053,2024-04-15,2,Strategic developments,Disrupted weapons use,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cuando Cubango,Menongue,Menongue,-14.6666,17.7,2,National,0,AGO
ANG4054,2024-04-16,1,Protests,Peaceful protest,Protesters (Angola),Students (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4055,2024-04-17,2,Strategic developments,Disrupted weapons use,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Huambo,Huambo,Huambo,-12.7761,15.7391,2,National,0,AGO
ANG4032,2024-01-20,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Huila,Cacula,Cacula,-14.4927,14.1196,2,National,0,AGO
ANG4056,2024-04-20,1,Battles,Armed clash,FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,,Military Forces of Angola (1975-),,Angola,Cabinda,Cabinda,Tando NZinze,-5.3666,12.5,2,National,6,AGO
ANG4057,2024-04-20,2,Violence against civilians,Attack,Military Forces of Angola (1975-),,Civilians (Angola),,Angola,Cabinda,Cabinda,Tando NZinze,-5.3666,12.5,2,National,4,AGO
ANG4059,2024-04-26,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Luanda,Viana,Viana,-8.9025,13.3722,1,National,1,AGO
ANG4060,2024-04-29,1,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),Farmers (Angola); Women (Angola),Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,1,AGO
ANG4061,2024-05-06,1,Riots,Mob violence,Rioters (Angola),Taxi Drivers (Mozambique); Vigilante Group (Angola),Civilians (Angola),Police Forces of Angola (1975-),Angola,Luanda,Viana,Viana,-8.9025,13.3722,1,National,0,AGO
ANG4062,2024-05-14,1,Battles,Armed clash,FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,,Military Forces of Angola (1975-),,Angola,Cabinda,Belize,Belize,-4.65,12.7666,2,National,12,AGO
ANG4063,2024-05-14,2,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Zaire,Soyo,Soyo,-6.1333,12.3666,1,National,1,AGO
ANG4064,2024-05-15,2,Strategic developments,Change to group/activity,Military Forces of Angola (1975-),Military Forces of the Democratic Republic of Congo (2019-),,,Angola,Lunda Sul,Saurimo,Maiombe,-9.2666,21.2333,2,National,0,AGO
ANG4065,2024-05-15,1,Violence against civilians,Sexual violence,Military Forces of Angola (1975-),,Civilians (Angola),Women (Angola),Angola,Lunda Sul,Saurimo,Maiombe,-9.2666,21.2333,2,National,0,AGO
ANG4066,2024-05-15,2,Strategic developments,Other,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Uige,Uige,Uige,-7.6166,15.05,3,National,0,AGO
ANG4076,2024-06-20,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Zaire,Mbanza Congo,Mbanza Congo,-6.2666,14.25,1,National,1,AGO
ANG4075,2024-06-18,1,Strategic developments,Other,Military Forces of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Lunda Sul,Cacolo,Cacolo,-10.1333,19.2666,3,National,0,AGO
ANG4073,2024-06-08,1,Protests,Peaceful protest,Protesters (Angola),,,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4072,2024-06-02,1,Strategic developments,Disrupted weapons use,Private Security Forces (Angola),,Unidentified Armed Group (Angola),,Angola,Cunene,Namacunde,Chiede,-17.1666,16.0,1,National,0,AGO
ANG4070,2024-06-01,1,Protests,Peaceful protest,Protesters (Angola),,,,Angola,Huila,Lubango,Lubango,-14.9167,13.5,1,National,0,AGO
ANG4069,2024-05-25,1,Battles,Armed clash,Military Forces of Angola (1975-),,FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda,,Angola,Cabinda,Cacongo,Cacongo,-5.2214,12.1417,2,National,25,AGO
ANG4077,2024-06-22,2,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),Labor Group (Angola); Women (Angola),Angola,Benguela,Benguela,Benguela,-12.5802,13.4077,1,National,0,AGO
ANG4078,2024-06-22,1,Protests,Protest with intervention,Protesters (Angola),UNTRA: National Unity for the Total Revolution of Angola,Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National-International,0,AGO
ANG4079,2024-06-24,1,Violence against civilians,Attack,Military Forces of Angola (1975-),,Civilians (Angola),,Angola,Cabinda,Cabinda,Tando NZinze,-5.3666,12.5,1,National,7,AGO
ANG4080,2024-06-26,2,Strategic developments,Disrupted weapons use,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cuanza Norte,Golungo Alto,Golungo Alto,-9.1333,14.7666,2,National,0,AGO
ANG4081,2024-06-27,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4074,2024-06-17,1,Strategic developments,Other,Unidentified Armed Group (Angola),,Civilians (Angola),Miners (Angola),Angola,Lunda Norte,Lucapa,Lucapa,-8.4166,20.75,2,National,2,AGO
ANG4082,2024-07-10,2,Strategic developments,Other,Unidentified Armed Group (Angola),,Civilians (Angola),,Angola,Bie,Andulo,Andulo,-11.4833,16.7,2,National,1,AGO
ANG4084,2024-07-13,1,Strategic developments,Disrupted weapons use,Military Forces of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cuanza Norte,Cambambe,Cambambe,-9.7426,14.4882,1,National,0,AGO
ANG4083,2024-06-30,2,Strategic developments,Arrests,Police Forces of Angola (1975-),,Civilians (Angola),MPPLT: Lunda Tchokwe Portuguese Protectorate Movement,Angola,Lunda Norte,Cuango,Cafunfo,-8.78,17.99,1,National,0,AGO
ANG4091,2024-06-30,1,Protests,Peaceful protest,Protesters (Angola),Protestant Christian Group (Angola),,,Angola,Uige,Uige,Uige,-7.6166,15.05,1,National,0,AGO
ANG4087,2024-06-29,2,Strategic developments,Disrupted weapons use,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Huila,Lubango,Lubango,-14.9167,13.5,2,National,0,AGO
ANG4086,2024-06-27,1,Strategic developments,Looting/property destruction,MPLA: Popular Movement for the Liberation of Angola,,BD: Democratic Bloc,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4088,2024-06-27,1,Strategic developments,Looting/property destruction,MPLA: Popular Movement for the Liberation of Angola,,BD: Democratic Bloc,,Angola,Moxico,Luena,Luena,-11.7833,19.9166,3,National,0,AGO
ANG4090,2024-06-15,1,Protests,Peaceful protest,Protesters (Angola),,,,Angola,Cuando Cubango,Menongue,Menongue,-14.6666,17.7,1,National,0,AGO
ANG4092,2024-07-22,1,Violence against civilians,Attack,Military Forces of Angola (1975-),,Civilians (Angola),FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda; Women (Angola),Angola,Cabinda,Cabinda,Cabinda,-5.5758,12.1871,3,National,7,AGO
ANG4093,2024-07-25,1,Protests,Peaceful protest,Protesters (Angola),,,,Angola,Bie,Andulo,Andulo,-11.4833,16.7,1,National,0,AGO
ANG4094,2024-07-25,1,Protests,Peaceful protest,Protesters (Angola),Students (Angola),,,Angola,Huila,Lubango,Lubango,-14.9167,13.5,1,National,0,AGO
ANG4095,2024-06-17,1,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),,Angola,Cabinda,Cabinda,Cabinda,-5.5758,12.1871,2,National,7,AGO
ANG4096,2024-07-27,1,Protests,Peaceful protest,Protesters (Angola),Government of Angola (1975-); Women (Angola),,,Angola,Cabinda,Cabinda,Cabinda,-5.5758,12.1871,1,National,0,AGO
ANG4097,2024-08-02,1,Protests,Peaceful protest,Protesters (Angola),MPLA: Popular Movement for the Liberation of Angola; OMA: Organization of Angolan Women; Women (Angola),,,Angola,Huambo,Tchinjenje,Tchindjenje,-12.8166,14.9333,1,National,0,AGO
ANG4098,2024-07-30,1,Strategic developments,Agreement,Government of the Democratic Republic of Congo (2019-),,Government of Rwanda (1994-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,3,New media,0,AGO
ANG4099,2024-08-03,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Huila,Lubango,Lubango,-14.9167,13.5,1,National,1,AGO
ANG4100,2024-08-04,1,Riots,Mob violence,Rioters (Angola),JMPLA: Popular Movement for the Liberation of Angola Youth,Civilians (Angola),JURA: Revolutionary United Youth of Angola,Angola,Bie,Andulo,Lopitanga,-11.6142,16.5103,1,National-International,0,AGO
ANG4101,2024-08-08,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4102,2024-08-20,1,Strategic developments,Other,Unidentified Armed Group (Angola),,Civilians (Angola),,Angola,Luanda,Cacuaco,Cacuaco,-8.7769,13.3716,1,National,3,AGO
ANG4103,2024-08-18,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),,Angola,Bie,N'harea,Gamba,-11.75,17.1166,1,National,1,AGO
ANG4104,2024-08-23,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,1,AGO
ANG4109,2024-08-28,1,Strategic developments,Other,Unidentified Armed Group (Angola),,Civilians (Angola),,Angola,Bie,Cuito,Kunje,-12.3443,16.9496,1,National,0,AGO
ANG4110,2024-08-28,2,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),Labor Group (Angola),Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4105,2024-08-10,2,Riots,Mob violence,Rioters (Angola),Taxi Drivers (Angola); Vigilante Group (Angola),Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4108,2024-06-19,1,Protests,Excessive force against protesters,Protesters (Angola),,Police Forces of Angola (1975-),,Angola,Luanda,Cazenga,Cazenga,-8.8248,13.3131,1,National,0,AGO
ANG4107,2024-06-01,1,Violence against civilians,Attack,Police Forces of Angola (1975-) Criminal Investigations Service,,Civilians (Angola),,Angola,Luanda,Cacuaco,Cacuaco,-8.7769,13.3716,1,National,3,AGO
ANG4106,2024-05-26,2,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,1,AGO
ANG4111,2024-08-31,1,Protests,Protest with intervention,Protesters (Angola),BD: Democratic Bloc; Journalists (Angola),Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National-International,0,AGO
ANG4112,2024-06-23,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),Women (Angola),Angola,Bie,Andulo,Andulo,-11.4833,16.7,2,National,1,AGO
ANG4113,2024-08-27,1,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),Women (Angola),Angola,Bie,Andulo,Canata,-11.5705,16.6411,1,National,1,AGO
ANG4114,2024-09-07,1,Protests,Peaceful protest,Protesters (Angola),MPLA: Popular Movement for the Liberation of Angola,,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,3,National,0,AGO
ANG4115,2024-09-11,2,Strategic developments,Disrupted weapons use,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Huila,Lubango,Arimba,-14.9482,13.5951,1,National,0,AGO
ANG4116,2024-09-11,2,Riots,Mob violence,Rioters (Angola),Vigilante Group (Angola),Civilians (Angola),Police Forces of Angola (1975-),Angola,Bie,Andulo,Andulo,-11.4833,16.7,2,National,1,AGO
ANG4118,2024-09-16,1,Protests,Protest with intervention,Protesters (Angola),MEA: Movement of Angolan Students; Students (Angola); Teachers (Angola),Police Forces of Angola (1975-),,Angola,Luanda,Viana,Viana,-8.9025,13.3722,1,National,0,AGO
ANG4119,2024-09-18,2,Strategic developments,Disrupted weapons use,Government of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cuanza Sul,Libolo,Cabuta,-9.8333,14.8666,2,National,0,AGO
ANG4120,2024-09-21,1,Protests,Protest with intervention,Protesters (Angola),,Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4121,2024-09-23,1,Protests,Protest with intervention,Protesters (Angola),Labor Group (Angola),Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National-International,0,AGO
ANG4122,2024-10-04,1,Strategic developments,Other,Unidentified Armed Group (Angola),,,,Angola,Cunene,Cuanhama,Ondjiva,-17.0666,15.7333,2,National,0,AGO
ANG4124,2024-10-24,1,Strategic developments,Disrupted weapons use,Military Forces of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Zaire,Mbanza Congo,Mbanza Congo,-6.2666,14.25,2,National,0,AGO
ANG4125,2024-10-19,2,Protests,Protest with intervention,Protesters (Angola),Teachers (Angola),Police Forces of Angola (1975-),,Angola,Cabinda,Cabinda,Cabinda,-5.5758,12.1871,1,National-International,0,AGO
ANG4126,2024-11-07,1,Protests,Protest with intervention,Protesters (Angola),,Police Forces of Angola (1975-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National-International,0,AGO
ANG4127,2024-11-18,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4128,2024-11-25,1,Strategic developments,Agreement,Government of the Democratic Republic of Congo (2019-),,Government of Rwanda (1994-),,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,Regional,0,AGO
ANG4129,2024-11-23,1,Protests,Peaceful protest,Protesters (Angola),FPU: United Patriotic Front,,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National-International,0,AGO
ANG4130,2024-11-28,1,Protests,Peaceful protest,Protesters (Angola),Labor Group (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4131,2024-11-23,2,Strategic developments,Disrupted weapons use,Military Forces of Angola (1975-),,Unidentified Armed Group (Angola),,Angola,Cabinda,Cabinda,Cabinda,-5.5758,12.1871,1,National,0,AGO
ANG4133,2024-12-30,1,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),Miners (Angola),Angola,Lunda Norte,Xa-Muteba,Cuango,-9.1333,18.05,1,National-International,0,AGO
ANG4134,2024-12-17,1,Protests,Peaceful protest,Protesters (Angola),Journalists (Angola),,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4137,2024-01-05,1,Strategic developments,Arrests,Police Forces of Angola (1975-),,Civilians (Angola),Lawyers (Angola),Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,Local partner-Other,0,AGO
ANG4051,2024-04-12,1,Riots,Mob violence,Rioters (Angola),MPLA: Popular Movement for the Liberation of Angola,Civilians (Angola),Government of Angola (1975-); UNITA: National Union for the Total Independence of Angola,Angola,Cuando Cubango,Cuito Cuanavale,Longa,-14.6067,18.4793,1,National-International,0,AGO
ANG4058,2024-04-25,1,Protests,Peaceful protest,Protesters (Angola),Government of Angola (1975-); UNITA: National Union for the Total Independence of Angola,,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4067,2024-05-11,1,Violence against civilians,Attack,Unidentified Armed Group (Angola),,Civilians (Angola),Government of Angola (1975-); Private Security Forces (Angola); UNITA: National Union for the Total Independence of Angola,Angola,Huambo,Huambo,Huambo,-12.7761,15.7391,1,National,0,AGO
ANG4117,2024-09-14,1,Protests,Peaceful protest,Protesters (Angola),UNITA: National Union for the Total Independence of Angola,,,Angola,Luanda,Cazenga,Cazenga,-8.8248,13.3131,1,National,0,AGO
ANG4123,2024-10-15,1,Protests,Peaceful protest,Protesters (Angola),Government of Angola (1975-); UNITA: National Union for the Total Independence of Angola,,,Angola,Luanda,Luanda,Luanda,-8.8383,13.2344,1,National,0,AGO
ANG4085,2024-06-27,1,Strategic developments,Looting/property destruction,MPLA: Popular Movement for the Liberation of Angola,,BD: Democratic Bloc,,Angola,Lunda Norte,Chitato,Dundo,-7.3667,20.8167,3,National,0,AGO
ANG4050,2024-04-09,1,Violence against civilians,Attack,Police Forces of Angola (1975-),,Civilians (Angola),Farmers (Angola),Angola,Luanda,Belas,Talatona,-8.9173,13.191,1,National,0,AGO
ANG4068,2024-05-16,1,Riots,Mob violence,Rioters (Angola),Farmers (Angola),Police Forces of Angola (1975-),,Angola,Luanda,Belas,Talatona,-8.9173,13.191,1,National,0,AGO
ANG4071,2024-06-01,1,Violence against civilians,Attack,Police Forces of Angola (1975-),Private Security Forces (Angola),Civilians (Angola),Farmers (Angola); Women (Angola),Angola,Luanda,Belas,Talatona,-8.9173,13.191,1,National,0,AGO
ANG4089,2024-07-14,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Angola),,Civilians (Angola),Journalists (Angola),Angola,Luanda,Belas,Talatona,-8.9173,13.191,1,National,0,AGO
