event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ALB498,2019-07-06,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Albania),,Civilians (Albania),Journalists (Albania),Albania,Tirana,Tirane,Tirana,41.3275,19.8189,3,National,0,ALB
ALB465,2019-06-23,2,Protests,Protest with intervention,Protesters (Albania),Prisoners (Albania),Police Forces of Albania (2013-),,Albania,Lezhe,Lezhe,Lezhe,41.7836,19.6436,1,National,0,ALB
ALB253,2019-01-09,2,Strategic developments,Change to group/activity,Unidentified Armed Group (Albania),,Military Forces of Albania (2013-),,Albania,Vlore,Vlore,Vlore,40.4667,19.4897,3,National,0,ALB
ALB480,2019-06-02,1,Riots,Mob violence,Rioters (Albania),Former Government of Albania (2013-); PD: Democratic Party of Albania,Rioters (Albania),Government of Albania (2013-); PS: Socialist Party of Albania,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB607,2019-12-30,1,Protests,Peaceful protest,Protesters (Albania),Labor Group (Albania); Alliance for Protection of the National Theater,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB606,2019-12-28,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Durres,Kruje,Kruje,41.5092,19.7928,1,National,0,ALB
ALB608,2019-12-28,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Orthodox Christian Group (Bosnia and Herzegovina),,,Albania,Korce,Pogradec,Trebinje,40.9133,20.5531,1,International,0,ALB
ALB605,2019-12-24,1,Protests,Peaceful protest,Protesters (Albania),Labor Group (Albania),,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB604,2019-12-21,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB602,2019-12-20,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB603,2019-12-20,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Tirana,Vore,Vore,41.3908,19.655,1,National,0,ALB
ALB601,2019-12-19,1,Protests,Peaceful protest,Protesters (Albania),Students (Albania),,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB600,2019-12-18,1,Protests,Peaceful protest,Protesters (Albania),Journalists (Albania),,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB599,2019-12-17,1,Protests,Peaceful protest,Protesters (Albania),Labor Group (North Macedonia),,,Albania,Fier,Fier,Fier,40.7239,19.5561,1,National,0,ALB
ALB598,2019-12-17,1,Protests,Peaceful protest,Protesters (Albania),Labor Group (North Macedonia),,,Albania,Fier,Mallakaster,Ballsh,40.5989,19.7347,1,National,0,ALB
ALB597,2019-12-16,1,Protests,Peaceful protest,Protesters (Albania),Labor Group (North Macedonia),,,Albania,Fier,Fier,Fier,40.7239,19.5561,1,National,0,ALB
ALB596,2019-12-16,1,Protests,Peaceful protest,Protesters (Albania),Labor Group (North Macedonia),,,Albania,Fier,Mallakaster,Ballsh,40.5989,19.7347,1,National,0,ALB
ALB595,2019-12-14,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB594,2019-12-10,1,Protests,Peaceful protest,Protesters (Albania),PD: Democratic Party of Albania,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB593,2019-12-09,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
ALB591,2019-11-12,1,Riots,Violent demonstration,Rioters (Albania),,Police Forces of Albania (2013-),,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National-International,0,ALB
ALB592,2019-11-10,1,Protests,Peaceful protest,Protesters (Albania),,,,Albania,Tirana,Tirane,Tirana,41.3275,19.8189,1,National,0,ALB
