event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
BUR8249,2017-11-24,1,Violence against civilians,Abduction/forced disappearance,Military Forces of Rwanda (1994-),,Civilians (Burundi),Fishers (Burundi),Burundi,Muyinga,Muyinga,Muyinga,-2.8451,30.3414,3,Other,0,BDI
BUR8250,2017-12-18,1,Strategic developments,Arrests,FNL-R: National Forces of Liberation (Rwasa Faction),,Police Forces of Burundi (2005-),,Burundi,Ruyigi,Ruyigi,Ruyigi,-3.4764,30.2486,3,Other,0,BDI
BUR7234,2017-08-16,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Gitega,Mutaho,Gitongo,-3.1827,29.8728,1,National,1,BDI
BUR7505,2017-11-26,1,Riots,Mob violence,Rioters (Burundi),Vigilante Group (Burundi),Civilians (Burundi),,Burundi,Bururi,Vyanda,Mirango,-4.0009,29.5394,1,National,1,BDI
BUR7253,2017-08-20,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Mwaro,Rusaka,Rusaka,-3.4405,29.6185,1,National,0,BDI
BUR7209,2017-08-06,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Muyinga,Muyinga,Munagano,-2.7862,30.3799,1,National,2,BDI
BUR7322,2017-09-07,1,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Ruyigi,Gisuru,Muyange,-3.4943,30.4943,1,National,2,BDI
BUR7230,2017-08-15,1,Battles,Armed clash,Unidentified Armed Group (Burundi),,Military Forces of Burundi (2005-),,Burundi,Bubanza,Gihanga,Gihanga,-3.194,29.3068,2,National,0,BDI
BUR7203,2017-08-02,1,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Ruhwa,-2.7426,29.0406,1,National,3,BDI
BUR6959,2017-04-09,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Muramvya,Rutegama,Rutegama,-3.3064,29.7453,2,National,1,BDI
BUR7105,2017-06-14,3,Riots,Mob violence,Rioters (Burundi),Vigilante Group (Burundi),Civilians (Burundi),,Burundi,Cibitoke,Mugina,Mugina,-2.756,29.11,3,National,3,BDI
BUR7057,2017-05-19,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Military Forces of Burundi (2005-) National Intelligence Agency,Civilians (Burundi),,Burundi,Bujumbura Rural,Mutimbuzi,Gatumba,-3.3333,29.25,1,National,1,BDI
BUR7190,2017-07-24,1,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Bubanza,Gihanga,Gihanga,-3.194,29.3068,2,National,1,BDI
BUR7205,2017-08-03,1,Riots,Mob violence,Rioters (Burundi),Prisoners (Burundi),Police Forces of Burundi (2005-),Police Forces of Burundi (2005-) Prison Guards,Burundi,Rumonge,Rumonge,Rumonge,-3.9736,29.4386,1,National,0,BDI
BUR6762,2017-01-14,1,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Bujumbura Rural,Kanyosha,Muyira,-3.4022,29.4011,1,National,3,BDI
BUR7248,2017-08-19,1,Protests,Peaceful protest,Protesters (Burundi),CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,,Burundi,Gitega,Gitega,Gitega,-3.4264,29.9308,1,National,0,BDI
BUR7252,2017-08-20,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Ngozi,Ruhororo,Kinyami,-3.0387,29.8749,1,National,0,BDI
BUR7236,2017-08-16,2,Strategic developments,Arrests,Police Forces of Burundi (2005-),,Civilians (Burundi),,Burundi,Cibitoke,Mabayi,Ruhororo,-2.6333,29.2167,3,National,0,BDI
BUR7158,2017-07-15,3,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Ruhwa,-2.7426,29.0406,1,National,4,BDI
BUR7237,2017-08-16,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Ruhwa,-2.7426,29.0406,1,National,1,BDI
BUR7496,2017-11-22,2,Riots,Mob violence,Rioters (Burundi),Vigilante Group (Burundi),Civilians (Burundi),,Burundi,Rumonge,Buyengero,Mujigo,-3.7506,29.5771,2,National,1,BDI
BUR7113,2017-06-16,1,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Rumonge,Burambi,Kiganza,-3.7223,29.4761,1,National,1,BDI
BUR7111,2017-06-15,3,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Ruhwa,-2.7426,29.0406,1,National,4,BDI
BUR7052,2017-05-17,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Bujumbura Rural,Kanyosha,Gikoto,-3.4104,29.3856,1,National,3,BDI
BUR7238,2017-08-16,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),Women (Burundi),Burundi,Bururi,Songa,Songa,-3.7999,29.6167,2,National,1,BDI
BUR7235,2017-08-16,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),Women (Burundi),Burundi,Gitega,Makebuko,Makebuko,-3.6028,30.0006,1,National,1,BDI
BUR7263,2017-08-23,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Gitega,Bugendana,Bitare,-3.2657,29.9031,1,National,1,BDI
BUR7231,2017-08-15,3,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Cibitoke,Rugombo,Ruhwa,-2.7426,29.0406,1,National,4,BDI
BUR7215,2017-08-09,2,Violence against civilians,Attack,Unidentified Armed Group (Burundi),,Civilians (Burundi),,Burundi,Karuzi,Gihogazi,Ndurumu,-3.2475,30.0279,1,National,1,BDI
BUR7124,2017-06-20,1,Riots,Mob violence,Rioters (Burundi),,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Burundi,Kirundo,Kirundo,Yaranda,-2.5221,30.1019,1,National,0,BDI
BUR7043,2017-05-14,1,Battles,Armed clash,Military Forces of Burundi (2005-),,FNL: National Forces of Liberation,,Burundi,Bubanza,Gihanga,Rukoko,-3.2662,29.2993,1,National,1,BDI
BUR6931,2017-03-27,1,Battles,Armed clash,Unidentified Armed Group (Burundi),Police Forces of Burundi (2005-); Military Forces of Burundi (2005-) National Intelligence Agency,Police Forces of Burundi (2005-),,Burundi,Muyinga,Butihinda,Kobero,-2.6497,30.4133,1,National,0,BDI
BUR7291,2017-08-27,1,Battles,Armed clash,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Police Forces of Burundi (2005-),,Burundi,Ruyigi,Butaganzwa,Mpungwe,-3.54,30.2401,1,National,0,BDI
BUR7460,2017-11-05,1,Violence against civilians,Sexual violence,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),Women (Burundi),Burundi,Bururi,Bururi,Kiremba,-3.9438,29.6736,1,National,0,BDI
BUR7372,2017-09-27,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Bujumbura Rural,Kanyosha,Gikoto,-3.4104,29.3856,1,National,0,BDI
BUR7048,2017-05-15,3,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Ruyigi,Butezi,Butezi,-3.4228,30.1517,2,National,1,BDI
BUR7097,2017-06-09,1,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),FNL-R: National Forces of Liberation (Rwasa Faction),Burundi,Cibitoke,Rugombo,Rugombo,-2.8095,29.082,1,National,1,BDI
BUR7044,2017-05-14,1,Battles,Armed clash,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Military Forces of Burundi (2005-),,Burundi,Gitega,Buraza,Rweru,-3.8012,29.9404,1,National,0,BDI
BUR7049,2017-05-15,3,Violence against civilians,Attack,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),,Civilians (Burundi),,Burundi,Ruyigi,Ruyigi,Rangi,-3.4717,30.2019,1,National,2,BDI
BUR6845,2017-02-17,1,Violence against civilians,Abduction/forced disappearance,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Military Forces of Burundi (2005-) National Intelligence Agency,Civilians (Burundi),,Burundi,Bujumbura Rural,Mutimbuzi,Rubirizi,-3.2874,29.3957,1,National,0,BDI
BUR6808,2017-02-05,1,Battles,Armed clash,Unidentified Armed Group (Burundi),,Military Forces of Burundi (2005-),,Burundi,Bujumbura Rural,Mutimbuzi,Murukaramu,-3.3117,29.2976,1,National,0,BDI
BUR7464,2017-11-06,1,Violence against civilians,Attack,Police Forces of Burundi (2005-),,Civilians (Burundi),,Burundi,Rutana,Rutana,Rutana,-3.9279,29.992,1,National,0,BDI
BUR6890,2017-03-07,1,Protests,Protest with intervention,Protesters (Burundi),Students (Burundi),Police Forces of Burundi (2005-),,Burundi,Karuzi,Buhiga,Muhweza,-3.15,30.1333,2,National,0,BDI
