event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
BEN258,2020-01-15,1,Battles,Armed clash,Save Communal Militia (Benin),,Police Forces of Benin (2016-),,Benin,Collines,Save,Save,8.0342,2.4866,1,National-International,2,BEN
BEN259,2020-01-16,1,Riots,Violent demonstration,Rioters (Benin),,,,Benin,Collines,Save,Save,8.0342,2.4866,1,National,0,BEN
BEN293,2020-06-19,1,Riots,Mob violence,Rioters (Benin),,Police Forces of Benin (2016-),,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,Local partner-Other,0,BEN
BEN298,2020-06-30,1,Battles,Armed clash,Belle Communal Militia (Benin),,Kperankou-Baguiri Communal Militia (Benin),,Benin,Borgou,Nikki,Sakabansi,10.042,3.3815,2,National,0,BEN
BEN299,2020-07-01,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),Civilians (Benin),Farmers (Benin),Benin,Borgou,Tchaourou,Gango,8.972,2.6973,1,Local partner-Other,1,BEN
BEN300,2020-07-01,1,Violence against civilians,Attack,Gango Communal Militia (Benin),Farmers (Benin),Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Borgou,Tchaourou,Gango,8.972,2.6973,2,Local partner-Other,0,BEN
BEN301,2020-07-09,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Donga,Ouake,Kekeleba,9.5561,1.4536,1,Local partner-Other,0,BEN
BEN302,2020-07-13,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Atlantique,Ouidah,Ahozon,6.3803,2.184,1,National,0,BEN
BEN305,2020-08-23,1,Riots,Mob violence,Rioters (Benin),,Police Forces of Benin (2016-),,Benin,Oueme,Seme-Podji,Ekpe,6.3877,2.542,1,New media-National,0,BEN
BEN306,2020-08-25,1,Riots,Mob violence,Rioters (Benin),,Police Forces of Benin (2016-),,Benin,Plateau,Ketou,Ketou,7.3633,2.5998,2,New media-National,0,BEN
BEN280,2020-05-31,2,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Zou,Za-Kpota,Zakpota,7.2266,2.2125,2,National,2,BEN
BEN311,2020-09-27,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),Labor Group (Benin),Benin,Zou,Bohicon,Bohicon,7.1783,2.0667,1,National,0,BEN
BEN312,2020-09-29,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Civilians (Benin),Labor Group (Benin),Benin,Atacora,Tanguieta,Tanguieta,10.6212,1.2665,1,National,1,BEN
BEN313,2020-09-30,1,Protests,Peaceful protest,Protesters (Benin),Hunters Militia (Benin),,,Benin,Collines,Ouesse,Owolafe,8.6566,2.7331,2,National,0,BEN
BEN316,2020-10-12,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,1,BEN
BEN315,2020-10-08,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Civilians (Benin),Farmers (Benin),Benin,Borgou,Nikki,Nikki,9.94,3.2108,1,National,1,BEN
BEN314,2020-10-07,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Oueme,Avrankou,Avrankou,6.5564,2.655,1,National,1,BEN
BEN318,2020-10-19,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Benin),,Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Atacora,Natitingou,Natitingou,10.3067,1.375,1,National,0,BEN
BEN319,2020-10-21,2,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Civilians (Benin),Farmers (Benin),Benin,Plateau,Ketou,Kaodji,7.5429,2.65,1,National,1,BEN
BEN320,2020-10-22,1,Protests,Peaceful protest,Protesters (Benin),Taxi Drivers (Benin),,,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,0,BEN
BEN324,2020-10-31,1,Protests,Peaceful protest,Protesters (Benin),Women (Benin),,,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,Local partner-Other,0,BEN
BEN325,2020-11-03,1,Protests,Peaceful protest,Protesters (Benin),Students (Benin),,,Benin,Donga,Djougou,Djougou,9.7107,1.6652,1,National,0,BEN
BEN327,2020-11-08,1,Violence against civilians,Attack,Police Forces of Benin (2016-),,Civilians (Benin),Waaba Ethnic Group (Benin),Benin,Atacora,Tanguieta,Tanguieta,10.6212,1.2665,1,National,1,BEN
BEN331,2020-11-23,1,Protests,Peaceful protest,Protesters (Benin),Taxi Drivers (Benin),,,Benin,Atacora,Natitingou,Natitingou,10.3067,1.375,1,National,0,BEN
BEN333,2020-12-07,1,Protests,Peaceful protest,Protesters (Benin),Taxi Drivers (Benin),,,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,0,BEN
BEN334,2020-12-08,1,Protests,Peaceful protest,Protesters (Benin),Taxi Drivers (Benin),,,Benin,Borgou,Parakou,Parakou,9.35,2.6167,1,National,0,BEN
BEN263,2020-02-09,1,Battles,Armed clash,Poachers,,Police Forces of Benin (2016-),,Benin,Alibori,Banikoara,Keremou,11.3491,2.3243,1,National,4,BEN
BEN275,2020-05-06,1,Riots,Violent demonstration,Rioters (Benin),Prisoners (Benin),,,Benin,Oueme,Akpro-Misserete,Misserete,6.5587,2.5906,1,National,0,BEN
BEN276,2020-05-07,1,Riots,Violent demonstration,Rioters (Benin),Prisoners (Benin),Police Forces of Benin (2016-),,Benin,Oueme,Akpro-Misserete,Misserete,6.5587,2.5906,1,National,0,BEN
BEN277,2020-05-14,1,Battles,Armed clash,Unidentified Armed Group (Benin),,Police Forces of Benin (2016-),,Benin,Collines,Ouesse,Toui,8.6825,2.5957,1,National,1,BEN
BEN291,2020-06-03,1,Battles,Armed clash,Hunters Militia (Benin),,Hunters Militia (Benin),,Benin,Borgou,Tchaourou,Koda,8.8536,2.287,2,National,1,BEN
BEN294,2020-06-20,2,Battles,Armed clash,Unidentified Armed Group (Benin),,Police Forces of Benin (2016-),,Benin,Donga,Djougou,Founga,9.6887,1.5924,1,New media-National,1,BEN
BEN307,2020-08-26,2,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Civilians (Benin),Women (Benin),Benin,Donga,Djougou,Kolokonde,9.8921,1.7838,1,National,1,BEN
BEN322,2020-10-31,1,Protests,Peaceful protest,Protesters (Benin),Women (Benin),,,Benin,Littoral,Cotonou,Cotonou,6.3557,2.4353,1,National,0,BEN
BEN330,2020-11-17,1,Protests,Peaceful protest,Protesters (Benin),Teachers (Benin),,,Benin,Littoral,Cotonou,Cotonou,6.3557,2.4353,1,Subnational-National,0,BEN
BEN271,2020-04-06,1,Riots,Violent demonstration,Rioters (Benin),,,,Benin,Littoral,Cotonou,Cotonou,6.3557,2.4353,1,National,0,BEN
BEN405,2020-04-15,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),Civilians (Benin),Boo Ethnic Group (Benin); Farmers (Benin),Benin,Borgou,Kalale,Lou,10.3281,3.4596,1,National,0,BEN
BEN498,2020-10-01,2,Violence against civilians,Attack,Unidentified Armed Group (Benin),,Civilians (Benin),Pastoralists (Benin),Benin,Alibori,Malanville,Madecali,11.7038,3.5482,1,Local partner-Other,1,BEN
BEN475,2020-08-07,1,Riots,Mob violence,Rioters (Benin),Farmers (Benin),Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Alibori,Gogounou,Gogounou,10.8393,2.835,1,Local partner-Other,0,BEN
BEN469,2020-07-10,1,Battles,Armed clash,Fulani Ethnic Militia (Benin),Pastoralists (Benin),Unidentified Communal Militia (Benin),Farmers (Benin),Benin,Alibori,Segbana,Sokotindji,10.8487,3.4283,1,Local partner-Other,0,BEN
BEN480,2020-08-19,1,Violence against civilians,Attack,Sori Communal Militia (Benin),Farmers (Benin),Civilians (Benin),Fulani Ethnic Group (Benin); Pastoralists (Benin),Benin,Alibori,Gogounou,Sori,10.7168,2.7847,1,Local partner-Other,0,BEN
BEN424,2020-05-07,1,Violence against civilians,Attack,Unidentified Armed Group (Benin),RB: Republican Block,Civilians (Benin),PU: Progressive Union,Benin,Atacora,Materi,Dassari,10.8114,1.1439,1,Local partner-Other,0,BEN
BEN458,2020-06-15,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),,Benin,Atacora,Kerou,Kerou,10.8258,2.1048,1,Local partner-Other,1,BEN
BEN450,2020-06-02,1,Riots,Mob violence,Rioters (Benin),Vigilante Group (Benin),Civilians (Benin),Labor Group (Benin),Benin,Atacora,Natitingou,Kotopounga,10.3094,1.5318,1,Local partner-Other,0,BEN
BEN410,2020-04-05,1,Protests,Peaceful protest,Protesters (Benin),,,,Benin,Atacora,Tanguieta,Tanguieta,10.6212,1.2665,1,Local partner-Other,0,BEN
BEN491,2020-09-06,1,Battles,Armed clash,Fulani Ethnic Militia (Benin),Pastoralists (Benin),Beroubouay Communal Militia (Benin),Farmers (Benin),Benin,Borgou,Bembereke,Beroubouay,10.5349,2.7257,1,Local partner-Other,0,BEN
BEN509,2020-12-08,1,Protests,Peaceful protest,Protesters (Benin),,,,Benin,Borgou,Kalale,Bessassi,10.3861,3.471,1,Local partner-Other,0,BEN
