event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
BGD16536,2019-09-02,1,Protests,Peaceful protest,Protesters (Bangladesh),Teachers (Bangladesh); Students (Bangladesh); Labor Group (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Savar,23.8486,90.25,1,National,0,BGD
BGD16553,2019-09-04,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Savar,23.8486,90.25,1,National,0,BGD
BGD16556,2019-09-05,1,Protests,Peaceful protest,Protesters (Bangladesh),Labor Group (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Ashulia,23.8964,90.3262,1,National,0,BGD
BGD16542,2019-09-03,1,Riots,Mob violence,Rioters (Bangladesh),Jubo League,Civilians (Bangladesh),Journalists (Bangladesh),Bangladesh,Barisal,Patuakhali,Kalaiya,22.3888,90.6012,1,National,0,BGD
BGD16559,2019-09-06,1,Violence against civilians,Attack,Unidentified Armed Group (Bangladesh),,Civilians (Bangladesh),AL: Bangladesh Awami League,Bangladesh,Khulna,Khulna,Dighalia,22.8966,89.5401,2,National,1,BGD
BGD16548,2019-09-03,1,Riots,Violent demonstration,Rioters (Bangladesh),,,,Bangladesh,Khulna,Chuadanga,Chuadanga,23.643,88.8529,1,National,0,BGD
BGD16541,2019-09-02,1,Riots,Mob violence,Rioters (Bangladesh),Faridpur Communal Group (Bangladesh),Rioters (Bangladesh),Faridpur Communal Group (Bangladesh),Bangladesh,Sylhet,Sunamganj,Sunamganj,25.0688,91.4024,2,National,1,BGD
BGD16539,2019-09-02,1,Protests,Peaceful protest,Protesters (Bangladesh),,,,Bangladesh,Dhaka,Tangail,Nagarpur,24.0578,89.877,2,National,0,BGD
BGD16544,2019-09-03,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Bangladesh),,Civilians (Myanmar),Rohingya Muslim Group (Myanmar); Refugees/IDPs (Myanmar),Bangladesh,Chittagong,Bandarban,Ghandung,21.298,92.1843,1,National,1,BGD
BGD16538,2019-09-02,1,Riots,Mob violence,Rioters (Bangladesh),Vigilante Group (Bangladesh),Civilians (Bangladesh),,Bangladesh,Dhaka,Narsingdi,Telia,24.0079,90.7242,2,National,1,BGD
BGD16533,2019-09-01,1,Protests,Peaceful protest,Protesters (Bangladesh),Santal Ethnic Group (Bangladesh),,,Bangladesh,Rangpur,Gaibandha,Gaibandha,25.3353,89.5419,2,National,0,BGD
BGD16557,2019-09-05,1,Riots,Mob violence,Rioters (Bangladesh),Labor Group (Bangladesh); Vigilante Group (Bangladesh),Civilians (Bangladesh),Labor Group (Bangladesh),Bangladesh,Dhaka,Gazipur,Gazipur,23.9984,90.4223,1,National,1,BGD
BGD16543,2019-09-03,1,Riots,Mob violence,Rioters (Bangladesh),Vigilante Group (Bangladesh),Civilians (Bangladesh),,Bangladesh,Barisal,Pirojpur,Nazirpur,22.7371,89.9589,2,National,1,BGD
BGD16534,2019-09-01,1,Protests,Peaceful protest,Protesters (Bangladesh),,,,Bangladesh,Sylhet,Sunamganj,Sunamganj,25.0688,91.4024,2,National,0,BGD
BGD16532,2019-09-01,1,Protests,Peaceful protest,Protesters (Bangladesh),Teachers (Bangladesh),,,Bangladesh,Mymensingh,Mymensingh,Mymensingh,24.7564,90.4065,1,National,0,BGD
BGD16554,2019-09-04,1,Protests,Peaceful protest,Protesters (Bangladesh),Teachers (Bangladesh); Muslim Group (Bangladesh),,,Bangladesh,Khulna,Kushtia,Kushtia,23.9028,89.1194,1,National,0,BGD
BGD16531,2019-09-01,1,Riots,Mob violence,Rioters (Bangladesh),JJD: Jatiyatabadi Jubo Dal,Rioters (Bangladesh),JJD: Jatiyatabadi Jubo Dal,Bangladesh,Chittagong,Chittagong,Chittagong,22.3571,91.7823,1,National,0,BGD
BGD16537,2019-09-02,1,Battles,Armed clash,AL: Bangladesh Awami League,,AL: Bangladesh Awami League,,Bangladesh,Dhaka,Faridpur,Kandakul,23.437,89.6577,1,National,0,BGD
BGD16585,2019-09-07,1,Protests,Peaceful protest,Protesters (Bangladesh),Health Workers (Bangladesh),,,Bangladesh,Rajshahi,Pabna,Pabna,24.0064,89.2372,1,National,0,BGD
BGD16561,2019-09-14,1,Violence against civilians,Attack,Unidentified Armed Group (Bangladesh),,Civilians (Bangladesh),AL: Bangladesh Awami League,Bangladesh,Dhaka,Dhaka,Savar,23.8486,90.25,1,National,1,BGD
BGD16569,2019-09-12,1,Riots,Mob violence,Rioters (Bangladesh),AL: Bangladesh Awami League,Rioters (Bangladesh),Jubo League,Bangladesh,Dhaka,Tangail,Bhuapur,24.4604,89.8727,2,National,0,BGD
BGD16567,2019-09-12,1,Violence against civilians,Attack,Dhobaghat Communal Militia (Bangladesh),,Civilians (Bangladesh),Dhobaghat Communal Group (Bangladesh),Bangladesh,Mymensingh,Mymensingh,Dhobaghat,24.4553,90.5028,1,National,1,BGD
BGD16578,2019-09-09,1,Protests,Peaceful protest,Protesters (Bangladesh),Teachers (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Savar,23.8486,90.25,1,National,0,BGD
BGD16584,2019-09-07,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh); Teachers (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Savar,23.8486,90.25,1,National,0,BGD
BGD16566,2019-09-13,1,Riots,Mob violence,Rioters (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh),Rioters (Bangladesh),BCL: Bangladesh Chhatra League; Students (Bangladesh),Bangladesh,Rajshahi,Rajshahi,Rajshahi,24.374,88.6011,1,National,0,BGD
BGD16579,2019-09-09,1,Battles,Armed clash,Talbaria Communal Militia (Bangladesh),,Talbaria Communal Militia (Bangladesh),,Bangladesh,Khulna,Jhenaidah,Harinakunda,23.6518,89.0492,2,National,0,BGD
BGD16572,2019-09-11,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),,,Bangladesh,Mymensingh,Mymensingh,Mymensingh,24.7564,90.4065,2,National,0,BGD
BGD16562,2019-09-13,1,Protests,Peaceful protest,Protesters (Bangladesh),Labor Group (Bangladesh),,,Bangladesh,Barisal,Barisal,Barisal,22.705,90.3701,1,National,0,BGD
BGD16580,2019-09-09,1,Protests,Peaceful protest,Protesters (Bangladesh),Journalists (Bangladesh),,,Bangladesh,Rajshahi,Rajshahi,Rajshahi,24.374,88.6011,1,National,0,BGD
BGD16583,2019-09-08,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),,,Bangladesh,Rajshahi,Rajshahi,Rajshahi,24.374,88.6011,2,National,0,BGD
BGD16581,2019-09-08,1,Riots,Mob violence,Rioters (Bangladesh),Shiite Muslim Group (Bangladesh),Rioters (Bangladesh),Shiite Muslim Group (Bangladesh),Bangladesh,Sylhet,Sylhet,Osmaninagar,24.7238,91.7533,2,National,1,BGD
BGD16600,2019-09-14,1,Protests,Peaceful protest,Protesters (Bangladesh),Adivasi Ethnic Group (Bangladesh),,,Bangladesh,Rangpur,Gaibandha,Gaibandha,25.3353,89.5419,1,National,0,BGD
BGD16628,2019-09-19,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),,,Bangladesh,Dhaka,Gopalganj,Gopalganj,23.1666,89.9166,1,National,0,BGD
BGD16603,2019-09-15,1,Protests,Peaceful protest,Protesters (Bangladesh),Labor Group (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Biralia,23.8487,90.3364,2,National,0,BGD
BGD16617,2019-09-17,1,Riots,Mob violence,Rioters (Bangladesh),Islampur Bazar Communal Group (Bangladesh),Civilians (Bangladesh),Islampur Bazar Communal Group (Bangladesh),Bangladesh,Sylhet,Maulvibazar,Rajnagar,24.544,91.8702,2,National,1,BGD
BGD16619,2019-09-18,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),,,Bangladesh,Barisal,Barisal,Barisal,22.705,90.3701,1,National,0,BGD
BGD16608,2019-09-15,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh); Teachers (Bangladesh),,,Bangladesh,Dhaka,Dhaka,Savar,23.8486,90.25,1,National,0,BGD
BGD16645,2019-09-20,1,Violence against civilians,Attack,Unidentified Armed Group (Bangladesh),,Civilians (Bangladesh),Aid Workers (Bangladesh),Bangladesh,Chittagong,Cox's Bazar,Ukhiya,21.245,92.1375,2,National,1,BGD
BGD16625,2019-09-18,1,Protests,Peaceful protest,Protesters (Bangladesh),Journalists (Bangladesh),,,Bangladesh,Mymensingh,Mymensingh,Trishal,24.5621,90.3813,1,National,0,BGD
