event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
BIH1240,2025-01-08,1,Violence against civilians,Attack,Unidentified Armed Group (Bosnia and Herzegovina),Former Government of Bosnia and Herzegovina (2018-),Civilians (Bosnia and Herzegovina),Government of Bosnia and Herzegovina (2018-); SNSD: Alliance of Independent Social Democrats,Bosnia and Herzegovina,Republika Srpska,Vlasenica,Bratunac,44.1846,19.3308,1,National,0,BIH
BIH1241,2025-01-09,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Bosnia and Herzegovina),,Civilians (Bosnia and Herzegovina),Serbian Ethnic Group (Bosnia and Herzegovina),Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Tuzlanski,Kladanj,44.2249,18.6924,2,National,0,BIH
BIH1242,2025-01-09,1,Riots,Mob violence,Rioters (Bosnia and Herzegovina),,Civilians (Bosnia and Herzegovina),Bosniak Ethnic Group (Bosnia and Herzegovina),Bosnia and Herzegovina,Republika Srpska,Banja Luka,Teslic,44.6064,17.8597,1,National,0,BIH
BIH1250,2025-01-03,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Republika Srpska,Bijeljina,Bijeljina,44.7587,19.2144,1,National,0,BIH
BIH1253,2025-01-10,1,Strategic developments,Disrupted weapons use,Police Forces of Bosnia and Herzegovina (2018-),,Unidentified Armed Group (Bosnia and Herzegovina),,Bosnia and Herzegovina,Republika Srpska,Doboj,Doboj,44.7318,18.087,1,National,0,BIH
BIH1254,2025-01-15,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Health Workers (Bosnia and Herzegovina),,,Bosnia and Herzegovina,Republika Srpska,Trebinje,Trebinje,42.712,18.3436,1,Subnational,0,BIH
BIH1255,2025-01-16,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),Labor Group (Bosnia and Herzegovina),,,Bosnia and Herzegovina,Republika Srpska,Bijeljina,Bijeljina,44.7587,19.2144,1,National,0,BIH
BIH1257,2025-01-16,1,Protests,Peaceful protest,Protesters (Bosnia and Herzegovina),,,,Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Sarajevo,Sarajevo-Stari Grad,43.888,18.4607,1,National,0,BIH
BIH1258,2025-01-07,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Bosnia and Herzegovina),,Civilians (Bosnia and Herzegovina),Orthodox Christian Group (Bosnia and Herzegovina); Serbian Ethnic Group (Bosnia and Herzegovina),Bosnia and Herzegovina,Federation of Bosnia and Herzegovina,Hercegovacko-Neretvanski,Mostar,43.3433,17.8081,1,National,0,BIH
BIH1259,2025-01-13,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Bosnia and Herzegovina),,Civilians (Bosnia and Herzegovina),Muslim Group (Bosnia and Herzegovina),Bosnia and Herzegovina,Republika Srpska,Banja Luka,Prijedor,44.9799,16.714,1,National,0,BIH
