event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
BOT59,2019-08-15,2,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
BOT60,2019-08-19,1,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
BOT67,2019-04-26,2,Protests,Peaceful protest,Protesters (Botswana),,,,Botswana,Central,Bobonong,Jackalas 1,-21.5659,28.0084,1,National,0,BWA
BOT70,2019-07-20,1,Protests,Peaceful protest,Protesters (Botswana),Miners (Botswana); Labor Group (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,National,0,BWA
BOT69,2019-06-19,1,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
BOT71,2019-08-12,1,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
BOT72,2019-08-13,1,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
BOT73,2019-08-14,1,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
BOT74,2019-12-15,3,Riots,Mob violence,Rioters (Botswana),Vigilante Group (Botswana),Civilians (Botswana),,Botswana,Kweneng,Kweneng East,Mogoditshane,-24.6269,25.8656,1,National,0,BWA
BOT58,2019-07-17,1,Protests,Peaceful protest,Protesters (Botswana),,,,Botswana,Central,Selebi-Phikwe,Selebi-Phikwe,-21.979,27.843,1,National,0,BWA
BOT57,2019-02-06,1,Protests,Peaceful protest,Protesters (Botswana),Students (Botswana),,,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,Subnational,0,BWA
BOT68,2019-06-18,1,Protests,Protest with intervention,Protesters (Botswana),Students (Botswana),Police Forces of Botswana (1966-2024),,Botswana,South East,Gaborone,Gaborone,-24.6945,25.9086,1,New media,0,BWA
