event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
CEN49691,2024-01-03,1,Strategic developments,Arrests,Military Forces of the Central African Republic (2016-),Wagner Group,Civilians (Central African Republic),Government of the Central African Republic (2016-),Central African Republic,Nana-Mambere,Baboua,Baboua,5.798,14.8285,1,National,0,CAF
CEN49692,2024-01-03,1,Strategic developments,Arrests,Military Forces of the Central African Republic (2016-),Wagner Group,Military Forces of the Central African Republic (2016-),,Central African Republic,Nana-Mambere,Bouar,Bouar,5.9312,15.593,2,National,0,CAF
CEN49698,2024-01-06,1,Battles,Armed clash,Military Forces of the Central African Republic (2016-),,Military Forces of the Central African Republic (2016-),,Central African Republic,Ouham-Pende,Ngaoundaye,Bezere,7.1044,15.5246,1,National,1,CAF
CEN49699,2024-01-06,2,Strategic developments,Arrests,Wagner Group,,Civilians (Central African Republic),Damalango Communal Group (Central African Republic),Central African Republic,Haute-Kotto,Bria,Bria,6.5374,21.9914,2,National,0,CAF
CEN49701,2024-01-07,2,Violence against civilians,Attack,Unidentified Armed Group (Central African Republic),,Civilians (Cameroon),Labor Group (Cameroon); Taxi Drivers (Cameroon),Central African Republic,Nana-Mambere,Baboua,Cantonnier,5.9065,14.5562,1,National,1,CAF
CEN49705,2024-01-06,1,Strategic developments,Looting/property destruction,Wagner Group,,Civilians (Central African Republic),Miners (Central African Republic),Central African Republic,Haute-Kotto,Bria,Bria,6.5374,21.9914,2,National,0,CAF
CEN49706,2024-01-11,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Nana-Mambere,Bouar,Bouar,5.9312,15.593,2,National,3,CAF
CEN49707,2024-01-10,2,Battles,Armed clash,Military Forces of the Central African Republic (2016-),Wagner Group,Unidentified Armed Group (Central African Republic),,Central African Republic,Bamingui-Bangoran,Ndele,Ndele,8.412,20.648,1,National,0,CAF
CEN49711,2024-01-14,2,Strategic developments,Change to group/activity,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,,,Central African Republic,Sangha-Mbaere,Nola,Nola,3.524,16.0449,1,National,0,CAF
CEN49713,2024-01-15,2,Strategic developments,Looting/property destruction,Military Forces of the Central African Republic (2016-),Wagner Group,Civilians (Central African Republic),,Central African Republic,Basse-Kotto,Mingala,Mingala,5.0952,21.7872,2,National,0,CAF
CEN49715,2024-01-15,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Central African Republic),,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,Central African Republic,Ouham-Pende,Paoua,Paoua,7.2452,16.4342,2,National-International,1,CAF
CEN49716,2024-01-16,1,Strategic developments,Arrests,Wagner Group,,Civilians (Central African Republic),Government of the Central African Republic (2016-),Central African Republic,Nana-Mambere,Bouar,Bouar,5.9312,15.593,1,National,0,CAF
CEN49717,2024-01-16,1,Strategic developments,Looting/property destruction,Wagner Group,,Civilians (Central African Republic),,Central African Republic,Nana-Mambere,Bouar,Bouar,5.9312,15.593,2,National,0,CAF
CEN49718,2024-01-17,1,Battles,Armed clash,Unidentified Armed Group (Central African Republic),,Wagner Group,,Central African Republic,Nana-Grebizi,Kaga-Bandoro,Kaga-Bandoro,6.9904,19.1915,1,National,0,CAF
CEN49719,2024-01-20,1,Violence against civilians,Attack,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Vakaga,Birao,Ouandja,9.2705,22.7037,2,National,0,CAF
CEN49720,2024-01-21,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Ombella-M'Poko,Boali,Boali,4.8773,18.0017,1,National-International,2,CAF
CEN49721,2024-01-21,1,Violence against civilians,Attack,Military Forces of the Central African Republic (2016-) Gendarmerie,,Civilians (Central African Republic),Labor Group (Central African Republic),Central African Republic,Ouaka,Kouango,Kouango,4.9928,19.9736,1,National,1,CAF
CEN49722,2024-01-21,1,Protests,Peaceful protest,Protesters (Central African Republic),,,,Central African Republic,Ouaka,Kouango,Kouango,4.9928,19.9736,1,National,0,CAF
CEN49723,2024-01-21,2,Battles,Armed clash,Unidentified Armed Group (Central African Republic),,Military Forces of the Central African Republic (2016-),,Central African Republic,Vakaga,Birao,Ndiffa,9.5791,21.7224,1,National,1,CAF
CEN49726,2024-01-25,1,Protests,Peaceful protest,Protesters (Central African Republic),,,,Central African Republic,Bamingui-Bangoran,Ndele,Ndele,8.412,20.648,1,National,0,CAF
CEN49727,2024-01-25,1,Strategic developments,Looting/property destruction,Wagner Group,,Civilians (Central African Republic),,Central African Republic,Nana-Mambere,Baboua,Gallo,5.8,15.1702,2,National,0,CAF
CEN49728,2024-01-26,1,Riots,Violent demonstration,Rioters (Central African Republic),,Military Forces of the Central African Republic (2016-),,Central African Republic,Vakaga,Birao,Birao,10.273,22.7934,1,National,0,CAF
CEN49729,2024-01-26,2,Violence against civilians,Attack,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Vakaga,Ouanda-Djalle,Ouanda-Djalle,8.8942,22.8023,2,National,0,CAF
CEN49730,2024-01-26,2,Strategic developments,Looting/property destruction,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),Labor Group (Central African Republic),Central African Republic,Vakaga,Ouanda-Djalle,Ouanda-Djalle,8.8942,22.8023,2,National,0,CAF
CEN49731,2024-01-25,1,Violence against civilians,Abduction/forced disappearance,Wagner Group,,Civilians (Central African Republic),Miners (Central African Republic); Labor Group (Central African Republic),Central African Republic,Lobaye,Boganangone,Mbankoe,4.835,17.0115,1,National,0,CAF
CEN49725,2024-01-24,1,Violence against civilians,Attack,Azande Ani Kpi Gbe (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Haut-Mbomou,Obo,Obo,5.4039,26.4946,1,National,1,CAF
CEN49732,2024-01-23,1,Battles,Armed clash,Azande Ani Kpi Gbe (Central African Republic),,Azande Ani Kpi Gbe (Central African Republic),,Central African Republic,Haut-Mbomou,Obo,Obo,5.4039,26.4946,1,National,1,CAF
CEN49734,2024-01-31,1,Battles,Armed clash,PRNC: Party of the Rally of the Central African Nation,,Military Forces of the Central African Republic (2016-),,Central African Republic,Vakaga,Birao,Manou,9.5659,21.8262,1,National,5,CAF
CEN49735,2024-01-23,1,Riots,Mob violence,Rioters (Central African Republic),Vigilante Group (Central African Republic),Azande Ani Kpi Gbe (Central African Republic),,Central African Republic,Haut-Mbomou,Obo,Ngoume,5.3506,26.5126,1,National,0,CAF
CEN49736,2024-01-29,2,Violence against civilians,Sexual violence,Wagner Group,,Civilians (Central African Republic),Muslim Group (Central African Republic); Women (Central African Republic),Central African Republic,Nana-Mambere,Bouar,Bouar,5.9312,15.593,1,National,0,CAF
CEN49737,2024-02-05,1,Violence against civilians,Attack,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),Government of the Central African Republic (2016-),Central African Republic,Ouham,Bossangoa,Bossangoa,6.4934,17.4541,2,National,2,CAF
CEN49738,2024-02-06,2,Strategic developments,Change to group/activity,MECA: Movement for the Emergence of the Central African Republic,,,,Central African Republic,Bamingui-Bangoran,Ndele,Tiri,8.4438,20.0055,2,National,0,CAF
CEN49741,2024-02-07,2,Strategic developments,Other,Military Forces of the Central African Republic (2016-),,Civilians (Central African Republic),Prisoners (Central African Republic),Central African Republic,Ouaka,Bambari,Bambari,5.7648,20.6542,1,National,1,CAF
CEN49742,2024-02-07,2,Strategic developments,Change to group/activity,PRNC: Party of the Rally of the Central African Nation,,,,Central African Republic,Vakaga,Birao,Tiringoulou,9.5479,21.8555,3,National,0,CAF
CEN49743,2024-02-07,1,Riots,Mob violence,Rioters (Central African Republic),Prisoners (Central African Republic),Military Forces of the Central African Republic (2016-),Military Forces of the Central African Republic (2016-) Gendarmerie; Police Forces of the Central African Republic (2016-); Wagner Group,Central African Republic,Ouaka,Bambari,Bambari,5.7648,20.6542,1,National,2,CAF
CEN49747,2024-02-10,1,Battles,Armed clash,Unidentified Armed Group (Central African Republic),,Military Forces of the Central African Republic (2016-),Wagner Group,Central African Republic,Nana-Mambere,Bouar,Aba,6.1054,15.3149,1,National,1,CAF
CEN49748,2024-02-12,1,Violence against civilians,Attack,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),Aid Workers (Central African Republic); Labor Group (Central African Republic),Central African Republic,Basse-Kotto,Alindao,Alindao,5.0421,21.215,2,National,0,CAF
CEN49750,2024-02-07,2,Strategic developments,Change to group/activity,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,,,Central African Republic,Ouham-Pende,Bozoum,Bozoum,6.3186,16.3709,1,National,0,CAF
CEN49752,2024-02-13,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),Catholic Christian Group (Central African Republic),Central African Republic,Basse-Kotto,Alindao,Alindao,5.0421,21.215,2,National,0,CAF
CEN49755,2024-02-15,2,Protests,Peaceful protest,Protesters (Central African Republic),Labor Group (Central African Republic); Taxi Drivers (Central African Republic),,,Central African Republic,Basse-Kotto,Alindao,Alindao,5.0421,21.215,1,National,0,CAF
CEN49757,2024-02-18,1,Violence against civilians,Attack,Azande Ani Kpi Gbe (Central African Republic),,Civilians (Central African Republic),Fulani Ethnic Group (Central African Republic); Muslim Group (Central African Republic); Pastoralists (Central African Republic),Central African Republic,Haut-Mbomou,Obo,Mboki,5.3096,25.9382,2,National,3,CAF
CEN49759,2024-02-18,2,Violence against civilians,Sexual violence,Wagner Group,,Civilians (Central African Republic),Women (Cameroon),Central African Republic,Ouham-Pende,Bocaranga,Bocaranga,6.9833,15.6462,1,National,0,CAF
CEN49760,2024-02-19,1,Violence against civilians,Attack,Azande Ani Kpi Gbe (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Haut-Mbomou,Obo,Mboki,5.3096,25.9382,2,National,4,CAF
CEN49761,2024-02-20,1,Violence against civilians,Attack,Azande Ani Kpi Gbe (Central African Republic),,Civilians (Central African Republic),Fulani Ethnic Group (Central African Republic); Muslim Group (Central African Republic); Pastoralists (Central African Republic),Central African Republic,Haut-Mbomou,Obo,Mboki,5.3096,25.9382,2,National,3,CAF
CEN49762,2024-02-22,2,Strategic developments,Disrupted weapons use,Military Forces of the Central African Republic (2016-),,Unidentified Armed Group (Central African Republic),,Central African Republic,Basse-Kotto,Zangba,Zangba,4.4475,20.9736,2,National,0,CAF
CEN49763,2024-02-22,2,Strategic developments,Disrupted weapons use,Military Forces of the Central African Republic (2016-),,Unidentified Armed Group (Central African Republic),,Central African Republic,Bamingui-Bangoran,Ndele,Ndele,8.412,20.648,2,National,0,CAF
CEN49764,2024-02-24,2,Battles,Armed clash,Military Forces of the Central African Republic (2016-),Wagner Group,Unidentified Armed Group (Central African Republic),,Central African Republic,Bamingui-Bangoran,Ndele,Ndele,8.412,20.648,2,National,0,CAF
CEN49765,2024-02-24,2,Battles,Armed clash,Military Forces of the Central African Republic (2016-),Wagner Group,Unidentified Armed Group (Central African Republic),,Central African Republic,Bamingui-Bangoran,Ndele,Chari 1,8.7109,19.1088,2,National,0,CAF
CEN49766,2024-02-25,2,Violence against civilians,Attack,Wagner Group,,Civilians (Central African Republic),Aid Workers (Central African Republic); Catholic Christian Group (Central African Republic),Central African Republic,Basse-Kotto,Mobaye,Ndjoukou,4.5,21.3333,1,National,0,CAF
CEN49769,2024-02-27,1,Protests,Peaceful protest,Protesters (Central African Republic),,,,Central African Republic,Bamingui-Bangoran,Ndele,Ndele,8.412,20.648,1,National,0,CAF
CEN49770,2024-02-27,2,Violence against civilians,Attack,Military Forces of the Central African Republic (2016-),,Civilians (Central African Republic),Students (Central African Republic),Central African Republic,Lobaye,Mbaiki,Bobangui,4.0536,18.1938,2,National,0,CAF
CEN49771,2024-02-27,2,Battles,Armed clash,Military Forces of the Central African Republic (2016-),Wagner Group,Unidentified Armed Group (Central African Republic),,Central African Republic,Bamingui-Bangoran,Ndele,Chari 1,8.7109,19.1088,2,National,0,CAF
CEN49772,2024-02-27,2,Battles,Armed clash,Military Forces of the Central African Republic (2016-),Wagner Group,Unidentified Armed Group (Central African Republic),,Central African Republic,Bamingui-Bangoran,Ndele,Ndele,8.412,20.648,2,National,0,CAF
CEN49774,2024-03-05,1,Riots,Violent demonstration,Rioters (Central African Republic),,Civilians (Central African Republic),Labor Group (Central African Republic); Muslim Group (Central African Republic),Central African Republic,Ombella-M'Poko,Yaloke,Yaloke,5.3204,17.0924,1,National,0,CAF
CEN49775,2024-01-05,1,Riots,Mob violence,Rioters (Central African Republic),Vigilante Group (Central African Republic),Unidentified Armed Group (Central African Republic),,Central African Republic,Vakaga,Birao,Birao,10.273,22.7934,2,Regional,0,CAF
CEN49776,2024-01-20,1,Violence against civilians,Attack,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Vakaga,Ouanda-Djalle,Ouanda-Djalle,8.8942,22.8023,2,Regional,0,CAF
CEN49777,2024-02-01,1,Strategic developments,Headquarters or base established,Military Forces of Russia (2000-),,,,Central African Republic,Lobaye,Mbaiki,Berengo,4.0465,18.1151,1,Other,0,CAF
CEN49780,2024-03-05,2,Battles,Armed clash,Unidentified Armed Group (Central African Republic),,Military Forces of the Central African Republic (2016-),,Central African Republic,Ombella-M'Poko,Yaloke,Yaloke,5.3204,17.0924,2,National,2,CAF
CEN49781,2024-03-06,2,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Central African Republic),,Civilians (Central African Republic),,Central African Republic,Ombella-M'Poko,Yaloke,Yaloke,5.3204,17.0924,2,National,0,CAF
