event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
CHE216,2021-05-01,1,Protests,Peaceful protest,Protesters (Switzerland),Labor Group (Switzerland),,,Switzerland,Basel-Stadt,Basel-Stadt,Basel,47.5596,7.5886,1,Regional,0,CHE
CHE272,2021-07-22,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Switzerland),,Civilians (Switzerland),Labor Group (Switzerland),Switzerland,Bern,Bern-Mittelland,Bern,46.9483,7.4514,1,International,0,CHE
CHE356,2021-10-21,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Switzerland),,Civilians (Switzerland),Labor Group (Switzerland),Switzerland,Bern,Bern-Mittelland,Bern,46.9483,7.4514,1,International,0,CHE
CHE355,2021-10-09,1,Protests,Peaceful protest,Protesters (Switzerland),,,,Switzerland,Vaud,Jura-Nord vaudois,Le Chenit,46.6072,6.2331,2,National,0,CHE
CHE366,2021-10-28,1,Protests,Peaceful protest,Protesters (Switzerland),Women (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE367,2021-10-29,1,Protests,Peaceful protest,Protesters (Switzerland),Catholic Christian Group (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE368,2021-10-29,1,Protests,Peaceful protest,Protesters (Switzerland),Kurdish Ethnic Group (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE395,2021-11-20,1,Protests,Peaceful protest,Protesters (Switzerland),Labor Group (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE406,2021-12-09,1,Protests,Peaceful protest,Protesters (Switzerland),Students (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE409,2021-12-21,1,Protests,Peaceful protest,Protesters (Switzerland),Women (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE300,2021-09-17,1,Riots,Violent demonstration,Rioters (Switzerland),Farmers (Switzerland),,,Switzerland,Vaud,Morges,Mollens,46.5776,6.3632,1,International,0,CHE
CHE171,2021-01-13,1,Protests,Peaceful protest,Protesters (Switzerland),Labor Group (Switzerland),,,Switzerland,Bern,Bern-Mittelland,Bern,46.9483,7.4514,1,National,0,CHE
CHE178,2021-02-26,1,Protests,Protest with intervention,Protesters (Switzerland),,Police Forces of Switzerland (2019-2023),,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE179,2021-02-24,1,Protests,Peaceful protest,Protesters (Switzerland),,,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,National,0,CHE
CHE182,2021-02-20,1,Protests,Peaceful protest,Protesters (Switzerland),,,,Switzerland,Zurich,Zurich,Zurich,47.3769,8.5417,1,National,0,CHE
CHE184,2021-02-27,1,Protests,Peaceful protest,Protesters (Switzerland),Labor Group (Switzerland),,,Switzerland,Neuchatel,Neuchatel,Neuchatel,46.99,6.9293,1,National,0,CHE
CHE185,2021-03-06,1,Protests,Peaceful protest,Protesters (Switzerland),Government of Switzerland (2019-2023); SVP/UDC/PPS: Swiss People's Party,,,Switzerland,Graubunden,Plessur,Chur,46.8569,9.5245,1,National,0,CHE
CHE187,2021-03-08,1,Protests,Peaceful protest,Protesters (Switzerland),Women (Switzerland),,,Switzerland,Bern,Bern-Mittelland,Bern,46.9483,7.4514,1,International,0,CHE
CHE188,2021-03-06,1,Protests,Protest with intervention,Protesters (Switzerland),Women (Switzerland),Police Forces of Switzerland (2019-2023),,Switzerland,Zurich,Zurich,Zurich,47.3769,8.5417,1,International,0,CHE
CHE196,2021-03-26,1,Protests,Excessive force against protesters,Protesters (Switzerland),Critical Mass,Police Forces of Switzerland (2019-2023),,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,Other,0,CHE
CHE201,2021-04-01,1,Protests,Peaceful protest,Protesters (Switzerland),Labor Group (Switzerland); Students (Switzerland),,,Switzerland,Geneve,Geneve,Geneva,46.2044,6.1432,1,Other,0,CHE
CHE205,2021-03-31,1,Riots,Violent demonstration,Rioters (Switzerland),,Police Forces of Switzerland (2019-2023),,Switzerland,Vaud,Morges,Eclepens,46.6517,6.5284,2,National,0,CHE
CHE207,2021-04-03,1,Riots,Violent demonstration,Rioters (Switzerland),,Police Forces of Switzerland (2019-2023),,Switzerland,St. Gallen,St. Gallen,St. Gallen,47.4244,9.3782,1,National-International,0,CHE
CHE209,2021-04-10,1,Protests,Protest with intervention,Protesters (Switzerland),,Police Forces of Switzerland (2019-2023),,Switzerland,Uri,Uri,Altdorf,46.8821,8.6413,1,National,0,CHE
CHE214,2021-04-17,1,Protests,Peaceful protest,Protesters (Switzerland),,,,Switzerland,Schaffhausen,Schaffhausen,Schaffhausen,47.6947,8.6308,1,National,0,CHE
