event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
CAO899,2017-12-27,1,Riots,Violent demonstration,Rioters (Cameroon),Students (Cameroon),,,Cameroon,Littoral,Wouri,Douala,4.0469,9.7084,1,National,0,CMR
CAO4898,2017-12-25,1,Battles,Armed clash,Ambazonian Separatists (Cameroon),,Military Forces of Cameroon (1982-) Gendarmerie,,Cameroon,Sud-Ouest,Ndian,Toko,5.0397,9.1347,1,Local partner-Other,0,CMR
CAO898,2017-12-19,1,Battles,Armed clash,Military Forces of Cameroon (1982-) Gendarmerie,,Ambazonian Separatists (Cameroon),,Cameroon,Sud-Ouest,Manyu,Aiyomojok,5.8167,8.9833,2,National,0,CMR
CAO897,2017-12-18,1,Battles,Armed clash,Ambazonian Separatists (Cameroon),,Military Forces of Cameroon (1982-) Gendarmerie,,Cameroon,Sud-Ouest,Manyu,Kembong,5.6296,9.2345,2,National,4,CMR
CAO1400,2017-12-15,3,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,Civilians (Cameroon),,Cameroon,Sud-Ouest,Manyu,Kajifu,5.9673,9.19,1,Other,1,CMR
CAO1401,2017-12-15,3,Violence against civilians,Attack,Military Forces of Cameroon (1982-),,Civilians (Cameroon),,Cameroon,Sud-Ouest,Manyu,Bodam,6.0202,9.0852,1,Other,1,CMR
CAO890,2017-12-14,1,Battles,Armed clash,Ambazonian Separatists (Cameroon),,Military Forces of Cameroon (1982-),,Cameroon,Sud-Ouest,Manyu,Dadi,5.9939,9.0887,1,International,10,CMR
CAO1345,2017-12-12,1,Strategic developments,Arrests,Military Forces of Cameroon (1982-),,Civilians (Cameroon),,Cameroon,Sud-Ouest,Fako,Buea,4.1527,9.241,1,National,0,CMR
CAO888,2017-12-07,1,Battles,Armed clash,SCACUF: Southern Cameroons Ambazonia Consortium United Front,,Military Forces of Cameroon (1982-),,Cameroon,Sud-Ouest,Manyu,Mamfe,5.754,9.3123,2,National,6,CMR
CAO908,2017-12-06,1,Battles,Armed clash,Ambazonian Separatists (Cameroon),,Police Forces of Cameroon (1982-),,Cameroon,Sud-Ouest,Meme,Kombone,4.5852,9.3132,1,National,1,CMR
