event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
COL9573,2022-01-04,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Arauca,Arauquita,La Pesquera,6.9433,-71.2164,1,National,0,COL
COL9567,2022-01-03,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),Wayuu Indigenous Group (Colombia),Colombia,La Guajira,Riohacha,Riohacha,11.5288,-72.9115,1,National,1,COL
COL9561,2022-01-02,2,Strategic developments,Change to group/activity,ELN: National Liberation Army,,,,Colombia,Norte de Santander,Cucuta,Cucuta,7.8939,-72.5078,3,National,0,COL
COL9574,2022-01-04,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Arauca,Fortul,Fortul,6.7971,-71.7686,1,National,0,COL
COL9590,2022-01-07,1,Protests,Peaceful protest,Protesters (Colombia),CUT: Central Union of Workers; Health Workers (Colombia); Labor Group (Colombia),,,Colombia,Antioquia,Medellin,Medellin,6.2496,-75.5774,1,Subnational,0,COL
COL9584,2022-01-06,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Atlantico,Barranquilla,Barranquilla,10.9799,-74.8013,1,National,0,COL
COL9583,2022-01-05,1,Protests,Peaceful protest,Protesters (Colombia),Wayuu Indigenous Group (Colombia),,,Colombia,La Guajira,Uribia,Cabo de la Vela,12.1978,-72.1453,2,National,0,COL
COL9593,2022-01-07,2,Battles,Armed clash,Unidentified Armed Group (Colombia),,Gulf Clan,,Colombia,Sucre,San Onofre,San Onofre,9.741,-75.5202,2,National,1,COL
COL9571,2022-01-03,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Santander,Lebrija,Lebrija,7.1142,-73.2198,2,Subnational,0,COL
COL9592,2022-01-07,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),,Colombia,Bolivar,Simiti,Monterrey,7.7401,-74.0077,2,National,1,COL
COL9586,2022-01-06,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),,Colombia,Casanare,Mani,Mani,4.8168,-72.2814,2,Other-National,3,COL
COL9556,2022-01-01,2,Protests,Peaceful protest,Protesters (Colombia),Wayuu Indigenous Group (Colombia),,,Colombia,La Guajira,Riohacha,Riohacha,11.5288,-72.9115,1,National,0,COL
COL9627,2022-01-11,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),Farmers (Colombia); Former FARC: Revolutionary Armed Forces of Colombia,Colombia,Sucre,Ovejas,Chengue,9.6518,-75.3004,2,National,1,COL
COL9628,2022-01-11,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Sucre,Sincelejo,Sincelejo,9.3023,-75.3955,1,National,0,COL
COL9622,2022-01-11,1,Strategic developments,Change to group/activity,Gulf Clan,,,,Colombia,Choco,El Litoral del San Juan,Litoral del San Juan,4.2507,-76.9693,2,National,0,COL
COL9631,2022-01-12,1,Strategic developments,Other,ELN: National Liberation Army,,,,Colombia,Arauca,Fortul,Fortul,6.7971,-71.7686,2,National,0,COL
COL9609,2022-01-09,2,Battles,Armed clash,Unidentified Armed Group (Colombia),,Gulf Clan,,Colombia,Magdalena,Puebloviejo,Tasajeras,10.9788,-74.3248,1,National,1,COL
COL9630,2022-01-12,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Antioquia,Medellin,Medellin,6.2496,-75.5774,1,Subnational,0,COL
COL9606,2022-01-08,2,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Risaralda,Pereira,Pereira,4.8057,-75.7171,1,Subnational,0,COL
COL9638,2022-01-13,2,Protests,Peaceful protest,Protesters (Colombia),Wayuu Indigenous Group (Colombia),,,Colombia,La Guajira,Uribia,Cabo de la Vela,12.1978,-72.1453,2,National,0,COL
COL9625,2022-01-11,2,Violence against civilians,Attack,Gulf Clan,,Civilians (Colombia),,Colombia,Magdalena,Cienaga,Sevillano,10.9336,-74.2529,2,National,1,COL
COL9624,2022-01-11,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),,Colombia,La Guajira,Uribia,Uribia,11.7146,-72.2648,1,National,1,COL
COL9610,2022-01-09,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),,Colombia,Magdalena,Santa Marta,Santa Marta,11.2294,-74.1909,1,National,1,COL
COL9649,2022-01-14,2,Strategic developments,Other,Civilians (Venezuela),Refugees/IDPs (Venezuela); Jivi Indigenous Group (Venezuela),,,Colombia,Vichada,Puerto Carreno,Puerto Carreno,6.1879,-67.4894,1,National,0,COL
COL9598,2022-01-02,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),Farmers (Colombia); Unidentified Communal Group (Colombia); Women (Colombia),Colombia,Bolivar,El Carmen de Bolivar,El Carmen De Bolivar,9.7186,-75.1212,2,National,1,COL
COL9633,2022-01-12,2,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),Farmers (Colombia),Colombia,Bolivar,El Carmen de Bolivar,El Carmen De Bolivar,9.7186,-75.1212,2,National,1,COL
COL9616,2022-01-10,1,Violence against civilians,Attack,Unidentified Armed Group (Colombia),,Civilians (Colombia),Unidentified Communal Group (Colombia); Women (Colombia),Colombia,Sucre,Coloso,Coloso,9.4941,-75.353,1,National,1,COL
COL9602,2022-01-08,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Bolivar,Cartagena de Indias,Baru,10.1425,-75.6835,1,National,0,COL
COL9620,2022-01-11,1,Battles,Armed clash,Gulf Clan,,ELN: National Liberation Army,,Colombia,Bolivar,San Pablo,Santo Domingo,7.6695,-73.9382,2,National,1,COL
COL9607,2022-01-08,1,Violence against civilians,Attack,Gulf Clan,,Civilians (Colombia),,Colombia,Sucre,San Onofre,Berlin,9.6528,-75.5452,1,National,1,COL
COL9621,2022-01-11,1,Battles,Armed clash,Unidentified Armed Group (Colombia),,ELN: National Liberation Army,,Colombia,Bolivar,San Pablo,El Cairo,7.6921,-73.909,1,National,1,COL
COL9643,2022-01-14,1,Protests,Peaceful protest,Protesters (Colombia),,,,Colombia,Bolivar,Cartagena de Indias,Punta de Canoa,10.5564,-75.5002,1,National,0,COL
