event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
COM22,2020-12-11,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Hambou,Dzahadjou,-11.8529,43.3499,1,National,0,COM
COM23,2020-12-12,1,Battles,Armed clash,Dembeni Communual Militia (Comoros),Farmers (Comoros),Dembeni Communual Militia (Comoros),Police Forces of Comoros (2016-),Comoros,Grande Comore,Mbadjini Ouest,Dembeni,-11.8736,43.3978,1,Regional,0,COM
COM24,2020-12-21,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Mbadjini Ouest,Dembeni,-11.8736,43.3978,1,Regional,0,COM
COM25,2020-12-22,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Mbadjini Ouest,Dembeni,-11.8736,43.3978,1,Regional,0,COM
COM26,2020-12-23,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Mbadjini Ouest,Dembeni,-11.8736,43.3978,1,Regional,0,COM
COM8,2020-05-02,2,Protests,Peaceful protest,Protesters (Comoros),Taxi Drivers (Comoros),,,Comoros,Grande Comore,Hambou,Dzahadjou,-11.8529,43.3499,2,National,0,COM
COM12,2020-06-29,1,Riots,Violent demonstration,Rioters (Comoros),,,,Comoros,Anjouan,Mutsamudu,Mutsamudu,-12.1667,44.3994,1,National,0,COM
COM13,2020-08-10,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0,COM
COM15,2020-09-30,2,Protests,Protest with intervention,Protesters (Comoros),,Police Forces of Comoros (2016-) Gendarmerie,,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,0,COM
COM19,2020-11-20,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Moroni Bambao,Mkazi,-11.7303,43.2567,1,National,0,COM
COM21,2020-11-24,1,Violence against civilians,Attack,Police Forces of Comoros (2016-) Gendarmerie,,Civilians (Comoros),Former Military Forces of Comoros (2016-); Prisoners (Comoros),Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,1,COM
COM4,2020-01-05,1,Protests,Protest with intervention,Protesters (Comoros),,Police Forces of Comoros (2016-),,Comoros,Grande Comore,Hambou,Chouani,-11.8236,43.294,1,National,0,COM
COM5,2020-01-09,2,Violence against civilians,Sexual violence,Military Forces of Comoros (2016-),,Civilians (Comoros),Prisoners (Comoros); Women (Comoros),Comoros,Anjouan,Mutsamudu,Mutsamudu,-12.1667,44.3994,3,National,0,COM
COM6,2020-04-18,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Comoros),,,,Comoros,Anjouan,Mutsamudu,Bandrani ya Mtsangani,-12.1941,44.3414,2,National,0,COM
COM7,2020-04-24,1,Violence against civilians,Attack,Police Forces of Comoros (2016-) Gendarmerie,,Civilians (Comoros),Prisoners (Comoros),Comoros,Anjouan,Mutsamudu,Bandrani ya Mtsangani,-12.1941,44.3414,2,National,0,COM
COM14,2020-09-20,1,Protests,Protest with intervention,Protesters (Comoros),,Police Forces of Comoros (2016-) Gendarmerie,,Comoros,Mwali ou Moheli,,Fomboni,-12.2826,43.7399,1,National,0,COM
COM17,2020-11-14,1,Protests,Peaceful protest,Protesters (Comoros),Labor Group (Comoros),,,Comoros,Mwali ou Moheli,,Fomboni,-12.2826,43.7399,3,National,0,COM
COM20,2020-11-24,1,Violence against civilians,Attack,Police Forces of Comoros (2016-) Gendarmerie,,Civilians (Comoros),Prisoners (Comoros),Comoros,Mwali ou Moheli,,Fomboni,-12.2826,43.7399,3,National,0,COM
COM10,2020-05-23,1,Riots,Violent demonstration,Rioters (Comoros),,,,Comoros,Grande Comore,Oichili Dimani,Koimbani,-11.6231,43.3567,1,National,0,COM
COM9,2020-05-22,1,Protests,Protest with intervention,Protesters (Comoros),,Police Forces of Comoros (2016-),,Comoros,Grande Comore,Oichili Dimani,Koimbani,-11.6231,43.3567,1,National,0,COM
COM207,2020-12-12,1,Violence against civilians,Attack,Unidentified Armed Group (Comoros),,Civilians (Comoros),Journalists (Comoros); SNJC: National Union of Comorian Journalists,Comoros,Grande Comore,Moroni Bambao,Moroni,-11.7021,43.255,1,National,1,COM
COM11,2020-05-24,1,Violence against civilians,Abduction/forced disappearance,Police Forces of Comoros (2016-),,Civilians (Comoros),Muslim Group (Comoros); PJ: Juwa Party,Comoros,Grande Comore,Mitsamiouli Mboude,Djomani,-11.4352,43.2697,2,National,0,COM
COM16,2020-11-13,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Mitsamiouli Mboude,Ntsaoueni,-11.4702,43.2739,1,National,0,COM
COM18,2020-11-20,1,Protests,Peaceful protest,Protesters (Comoros),,,,Comoros,Grande Comore,Hamahamet Mboinkou,Mbeni,-11.5014,43.3775,1,National,0,COM
