event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
CRI1738,2023-02-08,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Puntarenas,Buenos Aires,Buenos Aires,9.1719,-83.3342,1,National,0,CRI
CRI1740,2023-02-10,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Matina,Espavel,10.079,-83.4025,1,National,0,CRI
CRI1752,2023-03-11,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Costa Rica),,Police Forces of Costa Rica (2022-),,Costa Rica,Puntarenas,Puntarenas,Chacarita,9.9867,-84.77,1,National,0,CRI
CRI1764,2023-03-31,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,Limon,Limon,Limon,9.9907,-83.036,1,National,0,CRI
CRI1768,2023-03-22,2,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,1,National,0,CRI
CRI1773,2023-04-13,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Alajuela,San Mateo,San Mateo,9.9368,-84.5225,1,National,0,CRI
CRI1778,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Alajuela,San Carlos,Aguas Zarcas,10.3732,-84.3386,1,National,0,CRI
CRI1779,2023-04-21,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Alajuela,San Carlos,Ciudad Quesada,10.3238,-84.4271,1,National,0,CRI
CRI1780,2023-04-21,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Alajuela,San Carlos,Muelle San Carlos,10.4744,-84.461,1,National,0,CRI
CRI1788,2023-04-21,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Guanacaste,Liberia,Liberia,10.635,-85.4377,3,National,0,CRI
CRI1789,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Guanacaste,Nicoya,Nicoya,10.1504,-85.4509,1,National,0,CRI
CRI1791,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Heredia,Sarapiqui,Puerto Viejo,10.4506,-84.0211,2,National,0,CRI
CRI1792,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Limon,Pococi,Guapiles,10.2168,-83.7848,1,National,0,CRI
CRI1795,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,2,National,0,CRI
CRI1796,2023-04-21,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Puntarenas,Corredores,Ciudad Neily,8.6491,-82.9425,1,National,0,CRI
CRI1797,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Puntarenas,Esparza,Caldera,9.937,-84.7248,1,National,0,CRI
CRI1798,2023-04-20,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,Puntarenas,Puntarenas,Barranca,9.9902,-84.7119,1,National,0,CRI
CRI1801,2023-04-21,1,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-),,,Costa Rica,San Jose,Perez Zeledon,San Isidro de El General,9.3669,-83.6954,2,National,0,CRI
CRI1828,2023-05-16,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Puntarenas,Corredores,Paso Canoas,8.5309,-82.8415,1,National,0,CRI
CRI1832,2023-05-18,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Matina,Batan,10.0843,-83.339,1,National,0,CRI
CRI1845,2023-06-01,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,Limon,Limon,Liverpool,9.9885,-83.131,1,National,0,CRI
CRI1846,2023-06-01,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Limon,Moin,9.9927,-83.095,1,National,0,CRI
CRI1851,2023-06-21,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,San Jose,Leon Cortes Castro,San Pablo,9.6849,-84.0408,1,National,0,CRI
CRI1794,2023-04-19,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,2,National,0,CRI
CRI1857,2023-04-18,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,2,National,0,CRI
CRI1858,2023-06-28,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,Leon Cortes Castro,San Pablo,9.6849,-84.0408,1,National,0,CRI
CRI1868,2023-07-25,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),Protesters (Costa Rica),,Costa Rica,Guanacaste,Nicoya,Nicoya,10.1504,-85.4509,1,National,0,CRI
CRI1872,2023-07-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,1,National,0,CRI
CRI1873,2023-07-26,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Talamanca,Talamanca,9.653,-82.7545,1,National,0,CRI
CRI1874,2023-07-26,1,Riots,Violent demonstration,Rioters (Costa Rica),,Civilians (Costa Rica),,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,1,National,0,CRI
CRI1877,2023-08-01,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,1,National,0,CRI
CRI1878,2023-08-01,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Puntarenas,Puntarenas,Puntarenas,9.9763,-84.8384,2,National,0,CRI
CRI1881,2023-08-04,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,1,National,0,CRI
CRI1882,2023-08-04,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Puntarenas,Osa,Puerto Cortes,8.9617,-83.5246,1,National,0,CRI
CRI1885,2023-08-07,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Alajuela,San Carlos,Aguas Zarcas,10.3732,-84.3386,1,National,0,CRI
CRI1886,2023-08-07,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Guanacaste,Santa Cruz,Santa Cruz,10.2605,-85.5851,1,National,0,CRI
CRI1887,2023-08-07,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Puntarenas,Buenos Aires,Buenos Aires,9.1719,-83.3342,1,National,0,CRI
CRI1891,2023-08-08,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Alajuela,San Carlos,Aguas Zarcas,10.3732,-84.3386,1,National,0,CRI
CRI1892,2023-08-08,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Alajuela,San Carlos,Santa Rosa de Pocosol,10.6235,-84.5239,1,National,0,CRI
CRI1894,2023-08-09,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Alajuela,San Carlos,Aguas Zarcas,10.3732,-84.3386,1,National,0,CRI
CRI1897,2023-08-18,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Puntarenas,Corredores,Paso Canoas,8.5309,-82.8415,1,National,0,CRI
CRI1904,2023-08-30,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Guanacaste,Abangares,Las Juntas,10.2805,-84.9584,1,National,0,CRI
CRI1905,2023-09-01,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,Guanacaste,Abangares,Las Juntas,10.2805,-84.9584,1,National,0,CRI
CRI1908,2023-09-05,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,Puntarenas,Buenos Aires,Buenos Aires,9.1719,-83.3342,1,National,0,CRI
CRI1913,2023-09-12,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Guanacaste,Nicoya,Nicoya,10.1504,-85.4509,1,National,0,CRI
CRI1917,2023-09-20,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Alajuela,San Carlos,Venecia,10.3537,-84.2739,1,National,0,CRI
CRI1918,2023-09-20,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Guanacaste,Liberia,Liberia,10.635,-85.4377,2,National,0,CRI
CRI1920,2023-09-20,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Siquirres,Siquirres,10.0975,-83.5066,1,National,0,CRI
CRI1921,2023-09-20,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Puntarenas,Puntarenas,Puntarenas,9.9763,-84.8384,1,National,0,CRI
CRI1925,2023-08-22,1,Riots,Mob violence,Rioters (Costa Rica),,,,Costa Rica,Puntarenas,Garabito,Herradura,9.6545,-84.6606,2,National,0,CRI
CRI1926,2023-09-23,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Alajuela,San Carlos,Ciudad Quesada,10.3238,-84.4271,1,National,0,CRI
CRI1927,2023-09-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Pococi,Cariari,10.3571,-83.7362,1,National,0,CRI
CRI1931,2023-09-28,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Puntarenas,Osa,Puerto Cortes,8.9617,-83.5246,1,National,0,CRI
CRI1937,2023-09-30,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Puntarenas,Puntarenas,Chacarita,9.9867,-84.77,1,National,0,CRI
CRI1938,2023-10-03,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Alajuela,Los Chiles,Los Chiles,11.0287,-84.7115,1,National,0,CRI
CRI1943,2023-10-09,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,Puntarenas,Corredores,Paso Canoas,8.5309,-82.8415,2,National,0,CRI
CRI1947,2023-10-21,1,Strategic developments,Looting/property destruction,Police Forces of Costa Rica (2022-),,Unidentified Gang (International),,Costa Rica,Limon,Limon,Moin,9.9927,-83.095,1,National,0,CRI
CRI1952,2023-10-22,2,Protests,Peaceful protest,Protesters (Costa Rica),Police Forces of Costa Rica (2022-); Labor Group (Costa Rica),,,Costa Rica,Alajuela,San Carlos,Ciudad Quesada,10.3238,-84.4271,1,National,0,CRI
CRI1966,2023-10-27,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Puntarenas,Buenos Aires,Cabagra,9.1374,-83.1956,1,National,0,CRI
CRI1972,2023-11-07,1,Riots,Violent demonstration,Rioters (Costa Rica),Students (Costa Rica),Police Forces of Costa Rica (2022-),,Costa Rica,Guanacaste,La Cruz,La Cruz,11.0738,-85.6327,1,National,0,CRI
CRI1956,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Alajuela,San Carlos,Ciudad Quesada,10.3238,-84.4271,1,National,0,CRI
CRI1957,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Pococi,Guapiles,10.2168,-83.7848,2,National,0,CRI
CRI1958,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Guanacaste,Liberia,Liberia,10.635,-85.4377,1,National,0,CRI
CRI1959,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Limon,Limon,9.9907,-83.036,1,National,0,CRI
CRI1960,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Guanacaste,Nicoya,Nicoya,10.1504,-85.4509,1,National,0,CRI
CRI1961,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Talamanca,Puerto Viejo de Talamanca,9.6564,-82.7535,1,National,0,CRI
CRI1962,2023-10-25,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,Perez Zeledon,San Isidro de El General,9.3669,-83.6954,2,National,0,CRI
CRI1737,2023-02-08,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Limon,Matina,Matina,10.0778,-83.2901,1,National,0,CRI
CRI1785,2023-04-21,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,Cartago,La Union,San Rafael,9.9068,-83.9754,2,National,0,CRI
CRI1838,2023-05-05,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Cartago,Cartago,Quebradilla,9.8446,-83.9929,1,National,0,CRI
CRI1880,2023-08-04,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Limon,Guacimo,Guacimo,10.2125,-83.6875,1,National,0,CRI
CRI1903,2023-08-29,1,Violence against civilians,Attack,Unidentified Armed Group (Costa Rica),,Civilians (Costa Rica),Government of Costa Rica (2022-); National Liberation Party (PLN),Costa Rica,Puntarenas,Esparza,Esparza,9.9905,-84.6665,1,National,0,CRI
CRI1730,2023-01-08,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1731,2023-01-20,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1732,2023-01-27,1,Protests,Peaceful protest,Protesters (Costa Rica),Teachers (Costa Rica),,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1734,2023-02-07,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1735,2023-02-07,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1739,2023-02-09,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,Regional,0,CRI
CRI1741,2023-02-16,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1742,2023-02-22,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1743,2023-02-24,1,Protests,Peaceful protest,Protesters (Costa Rica),ANEP: National Association of Public and Private Employees; BUSSCO: Costa Rican Union and Social Unitary Bloc; Labor Group (Costa Rica); SEC: Costa Rica Education Workers' Union; UNDECA: National Union of Employees of the Fund and Social Security,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1744,2023-02-18,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1745,2023-03-02,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Heredia,Heredia,Heredia,10.0024,-84.1165,1,National,0,CRI
CRI1747,2023-02-28,1,Protests,Peaceful protest,Protesters (Nicaragua),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National-Regional,0,CRI
CRI1748,2023-03-08,1,Protests,Peaceful protest,Protesters (Costa Rica),National Liberation Party (PLN); Protesters (Nicaragua); Women (Costa Rica); Women (Nicaragua),Protesters (Costa Rica),Women (Costa Rica),Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National-Regional,0,CRI
CRI1749,2023-03-10,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica),,,Costa Rica,Heredia,Heredia,Heredia,10.0024,-84.1165,1,National,0,CRI
CRI1750,2023-03-09,1,Protests,Peaceful protest,Protesters (Costa Rica),ANDE: National Association of Educators; APSE: Association for Secondary School Teachers; BUSSCO: Costa Rican Union and Social Unitary Bloc; CGT: General Workers Central (Costa Rica); Labor Group (Costa Rica); SEC: Costa Rica Education Workers' Union; Teachers (Costa Rica); UNDECA: National Union of Employees of the Fund and Social Security; UNT: National Union of Workers,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1751,2023-03-10,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1753,2023-03-10,1,Protests,Peaceful protest,Protesters (Costa Rica),Students (Costa Rica),,,Costa Rica,Heredia,Heredia,Heredia,10.0024,-84.1165,1,National,0,CRI
CRI1755,2023-03-13,1,Protests,Peaceful protest,Protesters (Costa Rica),Labor Group (Costa Rica); UNDECA: National Union of Employees of the Fund and Social Security,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
CRI1756,2023-03-15,1,Protests,Peaceful protest,Protesters (Costa Rica),,,,Costa Rica,San Jose,San Jose,San Jose,9.9356,-84.0986,1,National,0,CRI
