event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
CUB438,2022-01-06,1,Protests,Peaceful protest,Protesters (Cuba),,,,Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
CUB437,2022-01-01,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),Ladies in White; Women (Cuba),Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
CUB444,2022-01-12,1,Protests,Protest with intervention,Protesters (Cuba),,Police Forces of El Salvador (2019-),Government of El Salvador (2019-),Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB446,2022-01-14,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB440,2022-01-11,2,Protests,Peaceful protest,Protesters (Cuba),Women (Cuba),,,Cuba,Camaguey,Camaguey,Camaguey,21.3825,-77.9187,1,National,0,CUB
CUB439,2022-01-10,1,Protests,Peaceful protest,Protesters (Cuba),,,,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB442,2022-01-11,1,Protests,Peaceful protest,Protesters (Cuba),,,,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB443,2022-01-12,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),FANTU: United Antitotalitarian Forum,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB445,2022-01-13,1,Protests,Peaceful protest,Protesters (Cuba),,,,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB447,2022-01-14,1,Protests,Peaceful protest,Protesters (Cuba),,,,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB441,2022-01-11,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),Women (Cuba),Cuba,Holguin,Holguin,Holguin,20.8872,-76.263,1,National,0,CUB
CUB451,2022-01-19,1,Protests,Peaceful protest,Protesters (Cuba),,,,Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
CUB448,2022-01-15,1,Violence against civilians,Attack,Police Forces of Cuba (1959-),,Civilians (Cuba),,Cuba,Holguin,Holguin,Holguin,20.8872,-76.263,1,National,0,CUB
CUB449,2022-01-17,1,Protests,Protest with intervention,Protesters (Cuba),,Police Forces of Cuba (1959-),,Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
CUB450,2022-01-16,1,Protests,Peaceful protest,Protesters (Cuba),LGBTQ+ (Cuba),,,Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
CUB453,2022-01-26,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),,Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
CUB455,2022-01-23,1,Protests,Peaceful protest,Protesters (Cuba),Women (Cuba); Ladies in White,,,Cuba,Camaguey,Camaguey,Camaguey,21.3825,-77.9187,1,National,0,CUB
CUB454,2022-01-28,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),FANTU: United Antitotalitarian Forum,Cuba,Villa Clara,Santa Clara,Santa Clara,22.4069,-79.9647,1,National,0,CUB
CUB462,2022-02-01,1,Strategic developments,Arrests,Police Forces of Cuba (1959-),,Civilians (Cuba),Ladies in White; Women (Cuba),Cuba,La Habana,Plaza de la Revolucion,Habana,23.133,-82.383,1,National,0,CUB
