event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
DNK601,2021-01-15,1,Protests,Peaceful protest,Protesters (Denmark),SK: Hard Line,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,New media,0,DNK
DNK615,2021-01-20,1,Protests,Peaceful protest,Protesters (Denmark),AI: Amnesty International,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Other,0,DNK
DNK603,2021-01-08,1,Protests,Peaceful protest,Protesters (Denmark),DA: The Animal Alliance,,,Denmark,Nordjylland,Aalborg,Aalborg,57.0429,9.9168,1,Other,0,DNK
DNK611,2021-01-17,2,Protests,Peaceful protest,Protesters (Denmark),DA: The Animal Alliance,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Other,0,DNK
DNK609,2021-01-16,1,Protests,Peaceful protest,Protesters (Denmark),GI: Identitarian Movement Denmark,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Other,0,DNK
DNK606,2021-01-15,1,Protests,Peaceful protest,Protesters (Denmark),NMB: Nordic Resistance Movement (Denmark),,,Denmark,Midtjylland,Skanderborg,Lindbjerg,55.9767,9.832,1,Other,0,DNK
DNK605,2021-01-15,1,Protests,Peaceful protest,Protesters (Denmark),NMB: Nordic Resistance Movement (Denmark),,,Denmark,Midtjylland,Viborg,Bjerringbro,56.3758,9.6565,2,Other,0,DNK
DNK613,2021-01-17,1,Protests,Peaceful protest,Protesters (Denmark),SK: Hard Line,,,Denmark,Hovedstaden,Hillerod,Skaevinge,55.9087,12.1552,1,New media,0,DNK
DNK621,2021-01-23,1,Protests,Peaceful protest,Protesters (Denmark),NMB: Nordic Resistance Movement (Denmark),,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Other,0,DNK
DNK622,2021-01-22,1,Protests,Peaceful protest,Protesters (Denmark),Time for Peace,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Other,0,DNK
DNK619,2021-01-23,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,New media,0,DNK
DNK627,2021-02-03,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,National,0,DNK
DNK623,2021-02-04,1,Protests,Peaceful protest,Protesters (Denmark),"BJMF: Construction, Land and Environmental Workers' Union; Labor Group (Denmark)",,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Other,0,DNK
DNK626,2021-01-31,1,Protests,Peaceful protest,Protesters (Denmark),DA: The Animal Alliance,,,Denmark,Nordjylland,Aalborg,Aalborg,57.0429,9.9168,1,Other,0,DNK
DNK634,2021-02-09,1,Protests,Peaceful protest,Protesters (Denmark),Protesters (Myanmar),,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,Subnational-National,0,DNK
DNK637,2021-02-11,1,Protests,Peaceful protest,Protesters (Denmark),Protesters (Myanmar),,,Denmark,Hovedstaden,Bornholm,Ronne,55.1024,14.7087,1,Subnational,0,DNK
DNK640,2021-02-12,1,Protests,Peaceful protest,Protesters (Denmark),Labor Group (Denmark),,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,New media,0,DNK
DNK631,2021-02-05,1,Protests,Peaceful protest,Protesters (Denmark),,,,Denmark,Hovedstaden,Kobenhavn,Copenhagen,55.6879,12.5697,1,National,0,DNK
DNK630,2021-02-05,1,Protests,Peaceful protest,Protesters (Denmark),DA: The Animal Alliance,,,Denmark,Midtjylland,Aarhus,Aarhus,56.1496,10.2044,1,Other,0,DNK
