event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
ESP12205,2023-01-14,1,Protests,Peaceful protest,Protesters (Spain),White Tide; More Madrid,,,Spain,Madrid,Madrid,Madrid - Centro,40.4156,-3.703,1,National,0,ESP
ESP12579,2023-02-27,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CCOO: Workers Commissions; UGT: General Union of Workers (Spain),,,Spain,Extremadura,Badajoz,Badajoz,38.8807,-6.9717,1,Subnational,0,ESP
ESP12684,2023-03-08,1,Protests,Peaceful protest,Protesters (Spain),Women (Spain),,,Spain,Cataluna,Lleida,Seu d'Urgell,42.3577,1.4551,1,International,0,ESP
ESP12793,2023-03-21,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),,,Spain,Andalucia,Cadiz,Cadiz,36.5282,-6.2895,1,Subnational,0,ESP
ESP12812,2023-03-21,1,Protests,Peaceful protest,Protesters (Spain),Police Forces of Spain (2020-) Prison Guards; Labor Group (Spain); UGT: General Union of Workers (Spain),,,Spain,Cataluna,Barcelona,Sant Esteve Sesrovires,41.4933,1.8747,1,National,0,ESP
ESP12813,2023-03-23,1,Protests,Peaceful protest,Protesters (Spain),Sahrawi Ethnic Group (Spain); IU: United Left,,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,International,0,ESP
ESP12814,2023-03-17,1,Protests,Peaceful protest,Protesters (Spain),Sahrawi Ethnic Group (Spain); Labor Group (Spain),,,Spain,Madrid,Madrid,Madrid - Centro,40.4156,-3.703,1,International,0,ESP
ESP12936,2023-03-29,1,Protests,Peaceful protest,Protesters (Spain),,,,Spain,Cataluna,Barcelona,Barcelona - L'Eixample,41.3947,2.1634,1,International,0,ESP
ESP12474,2023-02-24,1,Protests,Peaceful protest,Protesters (Spain),Ukrainian Group (Spain); Government of Spain (2020-); FEMP: Spanish Federation of Municipalities and Provinces,,,Spain,Valencia,Alicante,Calp,38.6449,0.0454,1,Subnational,0,ESP
ESP12943,2023-04-06,1,Protests,Peaceful protest,Protesters (Spain),,,,Spain,Cataluna,Barcelona,Barcelona - Sant Marti,41.408,2.2012,1,International,0,ESP
ESP12964,2023-04-01,1,Protests,Peaceful protest,Protesters (Spain),Sahrawi Ethnic Group (Spain),,,Spain,Pais Vasco,Gipuzkoa,San Sebastian,43.3182,-1.9792,1,International,0,ESP
ESP13000,2023-04-11,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain),,,Spain,Cataluna,Barcelona,Barcelona - Ciutat Vella,41.3799,2.1701,1,International,0,ESP
ESP13060,2023-04-17,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CSIF: Public Official's Independent Trade Union; UGT: General Union of Workers (Spain); CCOO: Workers Commissions; STAJ: Justice Administration Workers Union,,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,Subnational,0,ESP
ESP13135,2023-04-19,1,Protests,Peaceful protest,Protesters (Spain),Women (Spain),,,Spain,Madrid,Madrid,Madrid - Centro,40.4156,-3.703,1,National,0,ESP
ESP13261,2023-04-23,1,Protests,Peaceful protest,Protesters (Spain),,,,Spain,Extremadura,Badajoz,Novelda del Guadiana,38.9392,-6.8347,1,Subnational,0,ESP
ESP13266,2023-04-23,1,Protests,Peaceful protest,Protesters (Spain),,,,Spain,Andalucia,Cadiz,San Fernando,36.4644,-6.1997,1,Subnational,0,ESP
ESP13304,2023-05-11,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CSIF: Public Official's Independent Trade Union; CCOO: Workers Commissions; UGT: General Union of Workers (Spain); STAJ: Justice Administration Workers Union,,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,Subnational,0,ESP
ESP13305,2023-05-13,1,Protests,Peaceful protest,Protesters (Spain),,,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,Subnational,0,ESP
ESP13306,2023-05-14,1,Protests,Peaceful protest,Protesters (Spain),,,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,Subnational,0,ESP
ESP13307,2023-05-16,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); CSIF: Public Official's Independent Trade Union; CCOO: Workers Commissions; UGT: General Union of Workers (Spain),,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,Subnational,0,ESP
ESP13444,2023-05-02,1,Protests,Peaceful protest,Protesters (Spain),Podemos,,,Spain,Madrid,Madrid,Madrid - Centro,40.4156,-3.703,1,National,0,ESP
ESP13621,2023-05-26,1,Protests,Peaceful protest,Protesters (Spain),Labor Group (Spain); UGT: General Union of Workers (Spain); CCOO: Workers Commissions; CSIF: Public Official's Independent Trade Union,,,Spain,Valencia,Alicante,Alicante,38.3472,-0.4895,1,Subnational,0,ESP
