event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
FIN1176,2024-01-06,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Keski-Suomi,Jyvaskyla,Jyvaskyla,62.242,25.7559,1,Subnational,0,FIN
FIN1177,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0,FIN
FIN1178,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Pohjois-Karjala,Joensuu,Joensuu,62.6009,29.7771,1,National,0,FIN
FIN1179,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Keski-Suomi,Jyvaskyla,Jyvaskyla,62.242,25.7559,1,National,0,FIN
FIN1180,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Etela-Karjala,Lappeenranta,Lappeenranta,61.0583,28.1873,1,Subnational,0,FIN
FIN1181,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Pohjois-Pohjanmaa,Oulu,Oulu,65.0111,25.4773,1,National,0,FIN
FIN1182,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Satakunta,Pori,Pori,61.4868,21.7962,1,National,0,FIN
FIN1183,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Lappi,Rovaniemi,Rovaniemi,66.4983,25.7053,1,National,0,FIN
FIN1184,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Pirkanmaa,Tampere,Tampere,61.4967,23.7634,1,National,0,FIN
FIN1185,2024-01-07,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Varsinais-Suomi,Turku,Turku,60.4527,22.2665,1,National,0,FIN
FIN1189,2024-01-13,1,Protests,Peaceful protest,Protesters (Finland),Palestinian Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0,FIN
FIN1190,2024-01-13,1,Protests,Peaceful protest,Protesters (Finland),Russian Group (Finland); Ukrainian Group (Finland),,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0,FIN
FIN1191,2024-01-12,1,Protests,Peaceful protest,Protesters (Finland),Palestinian Group (Finland),,,Finland,Keski-Suomi,Jyvaskyla,Jyvaskyla,62.242,25.7559,1,Subnational,0,FIN
FIN1192,2024-01-13,2,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Pirkanmaa,Tampere,Tampere,61.4967,23.7634,1,Subnational,0,FIN
FIN1193,2024-01-14,1,Protests,Peaceful protest,Protesters (Finland),,,,Finland,Uusimaa,Helsinki,Helsinki,60.1689,24.9445,1,National,0,FIN
