event_id_cnty,event_date,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,country,admin1,admin2,location,latitude,longitude,geo_precision,source_scale,fatalities,iso3
GHA1192,2021-02-01,1,Protests,Peaceful protest,Protesters (Ghana),Teachers (Ghana),,,Ghana,Northern,Tamale,Tamale,9.4008,-0.8393,1,National,0,GHA
GHA1200,2021-04-25,1,Battles,Armed clash,Fulani Ethnic Militia (Ghana),Pastoralists (Ghana),Unidentified Communal Militia (Ghana),Farmers (Ghana),Ghana,Oti,Jasikan,Guaman,7.4482,0.4386,1,National,1,GHA
GHA1203,2021-05-06,1,Battles,Armed clash,Konkomba Ethnic Militia (Ghana),,Konkomba Ethnic Militia (Ghana),,Ghana,Northern,Saboba,Saboba,9.7074,0.3184,2,National,1,GHA
GHA1205,2021-05-10,1,Protests,Peaceful protest,Protesters (Ghana),Students (Ghana),,,Ghana,Upper East,Bolgatanga,Bolgatanga,10.7856,-0.8514,1,National,0,GHA
GHA1212,2021-05-24,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,Upper West,Sissala East,Sakai,10.7455,-2.0351,1,National,0,GHA
GHA1215,2021-06-03,1,Battles,Armed clash,Nangrumah Communal Militia (Ghana),,Private Security Forces (Ghana),Galamseyers,Ghana,North East,Mamprugu Moagduri,Gordi,10.2,-1.2667,2,National,0,GHA
GHA1218,2021-06-18,1,Riots,Mob violence,Rioters (Ghana),Vigilante Group (Ghana),Civilians (Ghana),,Ghana,Upper East,Kasena Nankana East,Biu,10.7762,-1.1087,1,National,3,GHA
GHA1221,2021-06-21,1,Protests,Peaceful protest,Protesters (Ghana),Students (Ghana); Women (Ghana); Muslim Group (Ghana),,,Ghana,Upper West,Wa,Wa,10.0607,-2.5019,1,National,0,GHA
GHA1227,2021-06-28,1,Protests,Peaceful protest,Protesters (Ghana),,,,Ghana,Ashanti,Ejura Sekyedumase,Ejura,7.3856,-1.3562,1,National,0,GHA
GHA1226,2021-06-26,1,Riots,Mob violence,Rioters (Ghana),,Civilians (Ghana),,Ghana,Ashanti,Ejura Sekyedumase,Ejura,7.3856,-1.3562,1,National,1,GHA
GHA1231,2021-07-08,1,Riots,Mob violence,Rioters (Ghana),Taxi Drivers (Ghana); Vigilante Group (Ghana),Civilians (Ghana),,Ghana,Upper West,Wa,Wa,10.0607,-2.5019,1,National,0,GHA
